model,chromosome,fitness
model0,"(256, 'Adam', 0.0007, 5e-05, 'ExponentialLR')",0.6141232772612236
model1,"(256, 'Adam', 0.0007, 5e-05, 'ReduceLROnPlateau')",0.6253585815429688
model2,"(256, 'Adam', 0.0015, 8e-05, 'ReduceLROnPlateau')",0.6600033934687225
model3,"(192, 'Adam', 0.0001, 1e-05, 'ReduceLROnPlateau')",0.628861387011031
model4,"(192, 'Adam', 0.0001, 1e-05, 'ReduceLROnPlateau')",0.6298349944638534
model5,"(96, 'RMSprop', 0.0021, 0.00049, 'ExponentialLR')",0.7445118326536366
model6,"(192, 'Adam', 0.0004, 0.00026, 'ReduceLROnPlateau')",0.6475718323613556
model7,"(96, 'RMSprop', 0.0021, 2e-05, 'CyclicLR')",0.6972317762777839
model8,"(192, 'Adam', 0.0007, 2e-05, 'ReduceLROnPlateau')",0.6186974753796215
model9,"(256, 'Adam', 0.0007, 1e-05, 'ReduceLROnPlateau')",0.6341918085662412
model10,"(128, 'RMSprop', 0.0007, 5e-05, 'ReduceLROnPlateau')",0.7013364979918574
model11,"(96, 'Adam', 0.0007, 0.00044, 'CyclicLR')",0.6840245421503631
model12,"(256, 'Adam', 0.0007, 5e-05, 'ExponentialLR')",0.6068766419316681
model13,"(256, 'Adam', 0.0015, 0.00026, 'ExponentialLR')",0.6668832805794729
model14,"(192, 'RMSprop', 0.0001, 1e-05, 'CyclicLR')",0.6303523426324549
model15,"(96, 'RMSprop', 0.0001, 1e-05, 'ReduceLROnPlateau')",0.6486926548917529
