model,chromosome,fitness
model0,"(192, 'RMSprop', 0.0048, 3e-05, 'ReduceLROnPlateau')",0.7053427360427211
model1,"(192, 'Adadelta', 0.0001, 0.00021, 'ReduceLROnPlateau')",0.9816179947114326
model2,"(96, 'Adam', 0.0002, 6e-05, 'ReduceLROnPlateau')",0.6307157059790383
model3,"(256, 'RMSprop', 0.0002, 1e-05, 'ReduceLROnPlateau')",0.6258499790245379
model4,"(96, 'RMSprop', 0.0002, 3e-05, 'CyclicLR')",0.6377214243714239
model5,"(256, 'Adam', 0.0004, 0.00046, 'CyclicLR')",0.6241646350269586
model6,"(256, 'Adam', 0.0016, 2e-05, 'ExponentialLR')",0.5912417559556558
model7,"(128, 'Adam', 0.0002, 0.00037, 'ReduceLROnPlateau')",0.6009867493535431
model8,"(128, 'RMSprop', 0.0005, 0.00051, 'ExponentialLR')",0.6888683480276189
model9,"(192, 'Adadelta', 0.0047, 0.00095, 'ExponentialLR')",0.7951788085868259
model10,"(96, 'Adam', 0.0002, 2e-05, 'ReduceLROnPlateau')",0.6248824428504621
model11,"(192, 'Adam', 0.0013, 0.00016, 'ExponentialLR')",0.6307769560478103
model12,"(128, 'RMSprop', 0.0006, 0.00012, 'ReduceLROnPlateau')",0.6593862184336488
model13,"(96, 'Adam', 0.0018, 9e-05, 'CyclicLR')",0.6482629910321303
model14,"(96, 'RMSprop', 0.0012, 0.00073, 'CyclicLR')",0.6999618100448394
model15,"(192, 'Adadelta', 0.0051, 0.00016, 'ExponentialLR')",0.7711966121498356
