model,chromosome,fitness
model0,"(192, 'Adam', 0.0001, 3e-05, 'ReduceLROnPlateau')",0.586569606667698
model1,"(256, 'RMSprop', 0.0002, 0.00019, 'ExponentialLR')",0.5970632420908106
model2,"(96, 'RMSprop', 0.0003, 5e-05, 'CyclicLR')",0.6431885974241955
model3,"(256, 'RMSprop', 0.0003, 0.00013, 'CyclicLR')",0.6441517442759901
model4,"(128, 'RMSprop', 0.0008, 2e-05, 'CyclicLR')",0.665077254795792
model5,"(128, 'RMSprop', 0.0003, 0.00013, 'CyclicLR')",0.6662867177831064
model6,"(256, 'Adam', 0.0002, 3e-05, 'ExponentialLR')",0.583401882058323
model7,"(256, 'RMSprop', 0.0032, 2e-05, 'CyclicLR')",0.7002289120513614
model8,"(128, 'RMSprop', 0.0014, 0.00035, 'ReduceLROnPlateau')",0.7101757691638304
model9,"(256, 'Adadelta', 0.0094, 1e-05, 'ReduceLROnPlateau')",0.7024937380829513
model10,"(192, 'RMSprop', 0.0002, 1e-05, 'ReduceLROnPlateau')",0.6194282758353961
model11,"(96, 'Adadelta', 0.0009, 0.00046, 'ExponentialLR')",0.9223515576655322
model12,"(192, 'RMSprop', 0.0002, 0.00019, 'ExponentialLR')",0.6658252073986696
model13,"(256, 'Adadelta', 0.0013, 0.00092, 'ExponentialLR')",0.9346787858717512
model14,"(192, 'RMSprop', 0.0028, 3e-05, 'ExponentialLR')",0.7052515011022586
model15,"(128, 'RMSprop', 0.0005, 0.00013, 'CyclicLR')",0.6712061513768565
