model,chromosome,fitness
model0,"(256, 'Adam', 0.0007, 5e-05, 'ExponentialLR')",0.6112929868026519
model1,"(256, 'Adam', 0.0007, 5e-05, 'ExponentialLR')",0.61273300815636
model2,"(192, 'Adam', 0.0007, 2e-05, 'ReduceLROnPlateau')",0.6192508751237896
model3,"(256, 'Adam', 0.0007, 5e-05, 'ReduceLROnPlateau')",0.6162746590627751
model4,"(192, 'Adam', 0.0001, 1e-05, 'ReduceLROnPlateau')",0.6270497819067726
model5,"(256, 'Adadelta', 0.0013, 0.00026, 'CyclicLR')",0.9780903131189481
model6,"(256, 'RMSprop', 0.0001, 1e-05, 'ReduceLROnPlateau')",0.6402613680127641
model7,"(192, 'Adam', 0.0007, 0.00026, 'ExponentialLR')",0.6465253158354424
model8,"(192, 'Adam', 0.0007, 1e-05, 'ExponentialLR')",0.6326997783822073
model9,"(192, 'Adam', 0.0001, 5e-05, 'ExponentialLR')",0.6493889714630556
model10,"(96, 'Adam', 0.0019, 0.00044, 'CyclicLR')",0.6944036349444322
model11,"(256, 'Adam', 0.0007, 1e-05, 'CyclicLR')",0.6325568615550726
model12,"(192, 'Adam', 0.0007, 3e-05, 'ReduceLROnPlateau')",0.6463287246059364
model13,"(256, 'Adam', 0.0008, 1e-05, 'ExponentialLR')",0.618652128837478
model14,"(256, 'Adam', 0.0015, 0.00092, 'ReduceLROnPlateau')",0.6968629326618893
model15,"(256, 'Adam', 0.0007, 0.00064, 'ExponentialLR')",0.6406439660300671
