feature,mean_auc_drop
jet1_btagged,0.07222150744260902
jet2_btagged,0.058619756922371646
lep1_pt,0.03496947046932297
dR_lep1_lep2,0.022933802073918153
lep3_pt,0.019642466751034537
jet1_pt,0.015599270971788926
jet3_btagged,0.012722800072270668
lep2_pt,0.012710156896549307
dR_lep1_lep3,0.011514111889098344
lep3_isMuon,0.007529174215120893
jet2_pt,0.005558419996733011
lep2_charge,0.004753760846657573
ptmiss_proxy,0.004388771977339112
dR_lep1_jet1,0.00420811212505523
lep2_isMuon,0.003693603048327443
lep1_charge,0.0034055502954274397
dR_lep1_jet2,0.0033780823014404326
dR_lep2_lep3,0.0032621795756972993
lep1_isMuon,0.0031145001019466934
dR_lep2_jet1,0.0028853423509138665
lep3_charge,0.0027671905792848728
jet3_pt,0.002074881963339159
jet4_btagged,0.0018457040166737215
jet1_eta,0.0017699958887101852
jet2_eta,0.00176540066270936
dR_lep1_jet3,0.0011305310179557937
lep3_isElectron,0.001057288171796622
mt_lep2_ptmiss,0.0010541295627538583
mt_lep1_ptmiss,0.0009800850275439865
era_2022EE,0.0009254250270093189
lep3_eta,0.0009062024770042365
dR_lep3_jet1,0.0008626694049581607
dR_lep3_jet2,0.0008528937073085663
dR_lep3_jet3,0.0008258393477874604
dR_lep2_jet2,0.0008212961780090788
dR_lep2_jet3,0.0007698999192591316
era_2022,0.0007529982281241354
jet4_pt,0.0006822300037278017
dR_lep1_jet4,0.0005888080873569512
lep1_eta,0.00058780359371291
mt_lep3_ptmiss,0.0005770474985813401
dR_lep1_jet5,0.0005442581565122673
lep2_isElectron,0.0005305201926287806
jet5_btagged,0.0004891305297155535
lep1_isElectron,0.0003711360374722972
era_2023BPix,0.0003613791587770976
jet3_phi,0.00032522803426537905
dR_lep2_jet4,0.00031494179169255787
era_2023,0.00028966837404242884
lep2_eta,0.0002506514474190924
dR_lep3_jet4,0.00023619410608322067
era_2017,0.0001787180902574903
jet5_eta,0.0001506299440566794
dR_lep2_jet5,5.719955922822706e-05
era_2016postVFP,2.8696227177160694e-05
dR_lep1_jet6,2.5782529903373153e-05
dR_lep2_jet6,2.0156037201624066e-05
jet1_charge,0.0
jet2_charge,0.0
jet3_charge,0.0
jet4_charge,0.0
jet5_charge,0.0
jet6_charge,0.0
era_2018,-1.5063429021910935e-05
jet1_phi,-1.7406882769854803e-05
jet6_eta,-2.8360404376370774e-05
jet4_phi,-3.0011848968114485e-05
jet5_phi,-3.608212737893357e-05
dR_lep3_jet6,-3.9756788069333915e-05
jet2_phi,-4.820519977055682e-05
jet6_btagged,-5.5454412027811095e-05
era_2016preVFP,-5.6787276669578723e-05
jet6_phi,-6.410011874236066e-05
lep2_phi,-8.248788777487359e-05
dR_lep3_jet5,-8.434152574332554e-05
lep1_phi,-8.964160376578878e-05
jet4_eta,-0.00011464504607028303
jet6_pt,-0.00012507023444208176
jet5_pt,-0.0001324371018954773
ptmiss_phi_proxy,-0.000166443526774529
jet3_eta,-0.0001681225565816069
lep3_phi,-0.0003766698765638177
