model,chromosome,fitness
model0,"(256, 'Adadelta', 0.0085, 0.0009, 'ExponentialLR')",1.1969237184819639
model1,"(128, 'Adadelta', 0.001, 1e-05, 'ReduceLROnPlateau')",0.9605088490049553
model2,"(192, 'Adadelta', 0.0001, 0.00021, 'ExponentialLR')",1.167507786275176
model3,"(96, 'RMSprop', 0.0017, 2e-05, 'ReduceLROnPlateau')",0.7865216579583599
model4,"(256, 'RMSprop', 0.0007, 0.00013, 'ExponentialLR')",0.7910999190776854
model5,"(256, 'Adadelta', 0.0002, 0.0003, 'ExponentialLR')",1.0422302402193895
model6,"(96, 'Adam', 0.0036, 3e-05, 'ReduceLROnPlateau')",0.7578841499660326
model7,"(128, 'RMSprop', 0.0003, 0.00021, 'ReduceLROnPlateau')",0.7125408045776055
model8,"(96, 'Adam', 0.0041, 0.00012, 'CyclicLR')",0.7852088557484814
model9,"(128, 'RMSprop', 0.0002, 2e-05, 'CyclicLR')",0.7092401450857178
model10,"(192, 'Adadelta', 0.0002, 0.00026, 'ReduceLROnPlateau')",1.0674095056246005
model11,"(256, 'RMSprop', 0.0005, 4e-05, 'ReduceLROnPlateau')",0.7641065358505834
model12,"(128, 'RMSprop', 0.0087, 0.00021, 'ReduceLROnPlateau')",0.7930926935142263
model13,"(256, 'Adadelta', 0.008, 0.00055, 'CyclicLR')",1.2740810400513802
model14,"(96, 'Adam', 0.0002, 0.0003, 'CyclicLR')",0.711970570752078
model15,"(128, 'RMSprop', 0.0062, 8e-05, 'CyclicLR')",0.8116996745624201
