model,chromosome,fitness
model0,"(128, 'Adam', 0.0063, 2e-05, 'CyclicLR')",0.6495007797026299
model1,"(192, 'Adadelta', 0.0003, 9e-05, 'ReduceLROnPlateau')",0.914549061949824
model2,"(128, 'RMSprop', 0.0023, 0.00056, 'ExponentialLR')",0.717880732576612
model3,"(96, 'Adam', 0.0002, 0.00013, 'ReduceLROnPlateau')",0.6183221306599361
model4,"(96, 'Adam', 0.0009, 1e-05, 'CyclicLR')",0.6232382546008473
model5,"(96, 'Adam', 0.0011, 0.00029, 'ReduceLROnPlateau')",0.6534366339025363
model6,"(128, 'Adam', 0.0009, 1e-05, 'ReduceLROnPlateau')",0.6186178502902179
model7,"(96, 'Adam', 0.0006, 0.00021, 'ReduceLROnPlateau')",0.6191358969245159
model8,"(256, 'Adadelta', 0.0001, 0.00012, 'ExponentialLR')",0.9293487978653169
model9,"(192, 'RMSprop', 0.0066, 1e-05, 'ExponentialLR')",0.7394733160314425
model10,"(256, 'RMSprop', 0.0004, 2e-05, 'CyclicLR')",0.6279350603130501
model11,"(192, 'Adadelta', 0.0004, 0.00021, 'ReduceLROnPlateau')",0.8830035572320643
model12,"(192, 'Adam', 0.0001, 0.00016, 'CyclicLR')",0.6036598313022667
model13,"(96, 'RMSprop', 0.0036, 3e-05, 'CyclicLR')",0.6744624930368343
model14,"(128, 'Adam', 0.002, 0.00066, 'ReduceLROnPlateau')",0.6678456588530205
model15,"(192, 'RMSprop', 0.0021, 2e-05, 'CyclicLR')",0.6698572937871369
