ma,model,background,mass,dcor_lr_mass
85,baseline,nonprompt,mass1,0.11686552315950394
85,parametric,nonprompt,mass1,0.1026693731546402
85,baseline,diboson,mass1,0.06860294938087463
85,parametric,diboson,mass1,0.07488172501325607
85,baseline,ttX,mass1,0.040224313735961914
85,parametric,ttX,mass1,0.030514927580952644
85,baseline,nonprompt,mass2,0.04906785860657692
85,parametric,nonprompt,mass2,0.044313713908195496
85,baseline,diboson,mass2,0.07514771819114685
85,parametric,diboson,mass2,0.10287865251302719
85,baseline,ttX,mass2,0.05108015239238739
85,parametric,ttX,mass2,0.059977900236845016
90,baseline,nonprompt,mass1,0.11841408908367157
90,parametric,nonprompt,mass1,0.0767320841550827
90,baseline,diboson,mass1,0.08343138545751572
90,parametric,diboson,mass1,0.07080760598182678
90,baseline,ttX,mass1,0.030395817011594772
90,parametric,ttX,mass1,0.044851627200841904
90,baseline,nonprompt,mass2,0.06374438107013702
90,parametric,nonprompt,mass2,0.048965152353048325
90,baseline,diboson,mass2,0.06800011545419693
90,parametric,diboson,mass2,0.08559980988502502
90,baseline,ttX,mass2,0.05424226447939873
90,parametric,ttX,mass2,0.04936822131276131
95,baseline,nonprompt,mass1,0.07763095945119858
95,parametric,nonprompt,mass1,0.08142949640750885
95,baseline,diboson,mass1,0.08096349984407425
95,parametric,diboson,mass1,0.06270921975374222
95,baseline,ttX,mass1,0.046218737959861755
95,parametric,ttX,mass1,0.05379677936434746
95,baseline,nonprompt,mass2,0.06515078991651535
95,parametric,nonprompt,mass2,0.05574299767613411
95,baseline,diboson,mass2,0.06615731865167618
95,parametric,diboson,mass2,0.09044550359249115
95,baseline,ttX,mass2,0.044875696301460266
95,parametric,ttX,mass2,0.04990311339497566
