ma,model,background,auc
85,baseline,nonprompt,0.8913083141533727
85,parametric,nonprompt,0.8902541989288959
85,baseline,diboson,0.9429156761091857
85,parametric,diboson,0.944553812389994
85,baseline,ttX,0.9189749955325901
85,parametric,ttX,0.9170876387327865
90,baseline,nonprompt,0.891047285843038
90,parametric,nonprompt,0.8891947455534874
90,baseline,diboson,0.94074244317339
90,parametric,diboson,0.9421769722458655
90,baseline,ttX,0.9198021209357655
90,parametric,ttX,0.9176248718671243
95,baseline,nonprompt,0.8937044498128623
95,parametric,nonprompt,0.8914162962763339
95,baseline,diboson,0.9423494283268529
95,parametric,diboson,0.9431661831536094
95,baseline,ttX,0.9245179195872842
95,parametric,ttX,0.9192858504966186
