signal,model,display,split,dcor_psig_mass1,dcor_psig_mass2,dcor_lr_background_mass1,dcor_lr_background_mass2
MHc100_MA95,BDT,BDT,train,0.18232716619968414,0.10982788354158401,0.08092237263917923,0.06453365087509155
MHc100_MA95,BDT,BDT,test,0.19439002871513367,0.10832206159830093,0.09877610951662064,0.0884343683719635
MHc100_MA95,DNN,DNN,train,0.1785375475883484,0.10241545736789703,0.11149632930755615,0.06493077427148819
MHc100_MA95,DNN,DNN,test,0.2034050077199936,0.10836036503314972,0.08990252017974854,0.075302854180336
MHc100_MA95,DNN_MD,DNN MD,train,0.13406626880168915,0.1247795894742012,0.048383913934230804,0.05072380229830742
MHc100_MA95,DNN_MD,DNN MD,test,0.1475195735692978,0.07852429151535034,0.048913225531578064,0.0920143723487854
MHc100_MA95,ParticleNet,ParticleNet,train,0.1865440011024475,0.09837006032466888,0.08262734115123749,0.08897984772920609
MHc100_MA95,ParticleNet,ParticleNet,test,0.1728820502758026,0.09819027781486511,0.08320638537406921,0.06190294772386551
MHc100_MA95,ParticleNet_MD,ParticleNet MD,train,0.15071958303451538,0.1051323190331459,0.041394300758838654,0.058173324912786484
MHc100_MA95,ParticleNet_MD,ParticleNet MD,test,0.13969121873378754,0.07029697299003601,0.039278265088796616,0.05641354247927666
