feature,mean_auc_drop
jet1_btagged,0.06009055188110257
jet2_btagged,0.053052081589025635
jet1_pt,0.02860195082809036
lep3_pt,0.027687165261584212
lep1_pt,0.016739208775698122
jet3_btagged,0.010848906138259728
dR_lep1_lep2,0.009077960531219786
lep2_pt,0.008533476105651472
ptmiss_proxy,0.008227918614857721
dR_lep1_jet1,0.008186530860193164
dR_lep1_lep3,0.007560997916169709
dR_lep1_jet2,0.007274991480860193
jet2_pt,0.006953104179871383
dR_lep2_jet1,0.00492202861023372
lep3_isMuon,0.004534941926457203
lep2_isMuon,0.004238865695379679
lep1_isMuon,0.0038059076553824678
lep2_charge,0.0036831862688287975
dR_lep2_lep3,0.003489810653867109
jet3_pt,0.0033576299054839387
dR_lep2_jet2,0.002567207425896445
dR_lep1_jet3,0.002063642511961339
lep1_charge,0.0020265776186784157
jet4_btagged,0.0019555776811577275
mt_lep1_ptmiss,0.0017323484182346638
mt_lep3_ptmiss,0.001521745398642027
lep3_charge,0.0014130253078636912
jet1_eta,0.0013724386064921656
dR_lep3_jet1,0.0013567885996351725
lep1_eta,0.0012963007804315252
jet4_pt,0.0011056621164188263
lep3_eta,0.0010901819525850343
era_2023,0.0010317884262546206
lep2_eta,0.0009281487584912318
lep1_isElectron,0.0008176394658162556
dR_lep3_jet2,0.0007910251481736408
mt_lep2_ptmiss,0.0007659415898149113
era_2022EE,0.0007578955427262057
lep2_isElectron,0.0006894355070435898
lep3_isElectron,0.000677310312405921
jet2_eta,0.0006054993082524884
dR_lep2_jet3,0.0005193350833833099
dR_lep3_jet3,0.0004506756954103519
jet3_eta,0.00029492066506686676
jet4_phi,0.0002911886890908377
era_2023BPix,0.000280906899884914
lep3_phi,0.00023741673734389845
jet5_btagged,0.0002215402141381162
dR_lep2_jet4,0.00015870892611635767
lep1_phi,0.00013247763070234342
jet2_phi,0.0001227314022383963
jet1_phi,0.0001169635426376825
dR_lep1_jet6,0.00010614565685906907
lep2_phi,9.593481660896686e-05
era_2017,9.564076212020822e-05
ptmiss_phi_proxy,8.088912938486459e-05
dR_lep1_jet5,6.597240876549115e-05
era_2016preVFP,5.684932611804694e-05
dR_lep2_jet5,3.9523994646795124e-05
jet6_pt,3.737601108388944e-05
dR_lep1_jet4,3.144080076311617e-05
jet4_eta,2.7813895296602276e-05
era_2022,2.5908918043660023e-05
jet6_eta,2.349322268990761e-05
jet1_charge,0.0
jet2_charge,0.0
jet3_charge,0.0
jet4_charge,0.0
jet5_charge,0.0
jet6_charge,0.0
jet3_phi,-4.203091790722091e-06
jet6_btagged,-1.0790436154040073e-05
dR_lep3_jet6,-2.034552695751035e-05
dR_lep3_jet4,-2.37296338376769e-05
jet5_eta,-3.0483874289499724e-05
dR_lep2_jet6,-3.5527975700500036e-05
jet6_phi,-4.531435104315751e-05
era_2016postVFP,-8.493617187199654e-05
jet5_phi,-0.00011298960185668339
dR_lep3_jet5,-0.00014918739892311184
era_2018,-0.00024089240644920018
jet5_pt,-0.00029964871554000183
