model,chromosome,fitness
model0,"(256, 'Adadelta', 0.007, 0.00028, 'ExponentialLR')",1.2689125721463965
model1,"(96, 'RMSprop', 0.0002, 2e-05, 'ExponentialLR')",0.702316869555227
model2,"(256, 'RMSprop', 0.0026, 0.00054, 'ReduceLROnPlateau')",0.819394787254236
model3,"(192, 'RMSprop', 0.0003, 4e-05, 'CyclicLR')",0.7123010347566336
model4,"(128, 'RMSprop', 0.0008, 9e-05, 'CyclicLR')",0.7740355196511349
model5,"(192, 'Adam', 0.0002, 0.0005, 'ReduceLROnPlateau')",0.671433080492727
model6,"(192, 'RMSprop', 0.0015, 0.00055, 'ExponentialLR')",0.8259676960118286
model7,"(192, 'Adam', 0.0087, 3e-05, 'CyclicLR')",0.7431456426830243
model8,"(96, 'Adam', 0.0046, 1e-05, 'ExponentialLR')",0.7152605373841112
model9,"(128, 'Adadelta', 0.0003, 0.00097, 'CyclicLR')",1.096590398217711
model10,"(256, 'Adadelta', 0.0002, 5e-05, 'ExponentialLR')",1.36521529849689
model11,"(256, 'Adadelta', 0.0007, 2e-05, 'ReduceLROnPlateau')",0.9896792828884271
model12,"(128, 'Adam', 0.0045, 0.00015, 'ExponentialLR')",0.7787139190127478
model13,"(192, 'Adadelta', 0.0013, 0.00022, 'CyclicLR')",0.9851013339693894
model14,"(256, 'RMSprop', 0.0005, 0.0004, 'ExponentialLR')",0.7908699835657769
model15,"(128, 'Adam', 0.0002, 1e-05, 'ExponentialLR')",0.7242857794017743
