model,chromosome,fitness
model0,"(256, 'Adam', 0.0006, 1e-05, 'ExponentialLR')",0.6565973228200928
model1,"(128, 'Adam', 0.0002, 0.00059, 'ExponentialLR')",0.6946629673013907
model2,"(128, 'Adam', 0.0016, 1e-05, 'ExponentialLR')",0.6808317140545077
model3,"(256, 'Adam', 0.0008, 0.00012, 'ReduceLROnPlateau')",0.702192457740569
model4,"(96, 'RMSprop', 0.0002, 9e-05, 'ExponentialLR')",0.7689840409456922
model5,"(128, 'Adam', 0.0002, 0.00039, 'ExponentialLR')",0.6881581182065217
model6,"(96, 'Adam', 0.0002, 0.00066, 'ExponentialLR')",0.7129254353320812
model7,"(256, 'RMSprop', 0.0002, 0.00039, 'ReduceLROnPlateau')",0.7492998908547794
model8,"(96, 'Adam', 0.0011, 4e-05, 'ExponentialLR')",0.7004241553109015
model9,"(96, 'RMSprop', 0.0079, 0.00015, 'ReduceLROnPlateau')",0.7916141129515665
model10,"(96, 'Adam', 0.0079, 4e-05, 'CyclicLR')",0.7819116304597586
model11,"(256, 'Adadelta', 0.0053, 0.00054, 'ReduceLROnPlateau')",1.4746467049375773
model12,"(256, 'Adam', 0.0002, 4e-05, 'ExponentialLR')",0.6719871579533647
model13,"(128, 'Adam', 0.008, 2e-05, 'ExponentialLR')",0.7841824192525176
model14,"(128, 'Adam', 0.0006, 1e-05, 'ExponentialLR')",0.6862217739719869
model15,"(128, 'RMSprop', 0.0004, 0.00022, 'ExponentialLR')",0.7813583334998402
