model,chromosome,fitness
model0,"(256, 'RMSprop', 0.0009, 4e-05, 'ExponentialLR')",0.685700967278279
model1,"(96, 'Adadelta', 0.0002, 7e-05, 'ReduceLROnPlateau')",1.0775217405507262
model2,"(96, 'Adadelta', 0.0001, 4e-05, 'ExponentialLR')",0.9827509060711928
model3,"(192, 'Adadelta', 0.0002, 6e-05, 'ExponentialLR')",0.9465615715779049
model4,"(96, 'Adam', 0.0006, 1e-05, 'CyclicLR')",0.6268891885247029
model5,"(96, 'Adadelta', 0.0008, 0.00017, 'ExponentialLR')",0.9316732917033451
model6,"(96, 'RMSprop', 0.001, 0.00042, 'CyclicLR')",0.6949872298979424
model7,"(256, 'Adam', 0.0001, 0.00013, 'ReduceLROnPlateau')",0.5814471714933154
model8,"(96, 'Adam', 0.0027, 5e-05, 'ReduceLROnPlateau')",0.671080253493618
model9,"(192, 'Adam', 0.0003, 0.00018, 'ReduceLROnPlateau')",0.5974793769943882
model10,"(96, 'Adadelta', 0.0067, 3e-05, 'ReduceLROnPlateau')",0.9824662544357945
model11,"(192, 'Adam', 0.0058, 0.00037, 'CyclicLR')",0.6887731417803697
model12,"(256, 'Adam', 0.0012, 0.00056, 'ExponentialLR')",0.6465166656064315
model13,"(192, 'Adam', 0.0008, 1e-05, 'CyclicLR')",0.6146341243260344
model14,"(96, 'Adadelta', 0.007, 8e-05, 'CyclicLR')",0.9864979058923856
model15,"(128, 'Adadelta', 0.0023, 3e-05, 'ReduceLROnPlateau')",0.9812783254704005
