model,chromosome,fitness
model0,"(256, 'Adam', 0.0006, 1e-05, 'ExponentialLR')",0.6568891520390425
model1,"(256, 'Adam', 0.0012, 3e-05, 'ExponentialLR')",0.657548753196931
model2,"(256, 'Adam', 0.0002, 4e-05, 'ExponentialLR')",0.6704036000439578
model3,"(192, 'Adam', 0.0016, 4e-05, 'ExponentialLR')",0.673413366917759
model4,"(192, 'Adam', 0.0006, 0.00052, 'ExponentialLR')",0.6768744193074648
model5,"(96, 'Adam', 0.001, 1e-05, 'ExponentialLR')",0.7043223661534926
model6,"(192, 'Adam', 0.0006, 4e-05, 'ExponentialLR')",0.6646295337725783
model7,"(128, 'Adam', 0.004, 0.00019, 'ExponentialLR')",0.7897260817115569
model8,"(128, 'RMSprop', 0.0004, 1e-05, 'CyclicLR')",0.7611885558613731
model9,"(128, 'Adadelta', 0.0029, 0.0005, 'CyclicLR')",1.0627536857225852
model10,"(256, 'Adam', 0.0016, 0.00039, 'ExponentialLR')",0.694722519506274
model11,"(256, 'Adam', 0.0003, 3e-05, 'ExponentialLR')",0.6577364636199249
model12,"(128, 'Adam', 0.0004, 0.00052, 'ReduceLROnPlateau')",0.6926459192924792
model13,"(256, 'Adam', 0.0006, 0.00052, 'ExponentialLR')",0.6664267147288603
model14,"(128, 'Adam', 0.0087, 0.00039, 'ExponentialLR')",0.7755014561021419
model15,"(256, 'Adadelta', 0.0006, 2e-05, 'ExponentialLR')",1.1112781729539642
