model,chromosome,fitness
model0,"(256, 'RMSprop', 0.0002, 0.00019, 'ExponentialLR')",0.6432212905128404
model1,"(128, 'RMSprop', 0.0008, 2e-05, 'CyclicLR')",0.6647192624535891
model2,"(96, 'Adadelta', 0.0094, 0.00046, 'ReduceLROnPlateau')",0.6977601274669794
model3,"(96, 'Adadelta', 0.0041, 0.0004, 'ReduceLROnPlateau')",1.0316855855507425
model4,"(192, 'Adadelta', 0.0017, 0.00019, 'ReduceLROnPlateau')",0.9172327022741337
model5,"(128, 'RMSprop', 0.0009, 1e-05, 'ExponentialLR')",0.6752301206683168
model6,"(192, 'RMSprop', 0.0019, 0.00029, 'ExponentialLR')",0.7340214795405322
model7,"(128, 'RMSprop', 0.0014, 0.00035, 'ExponentialLR')",0.703256618386448
model8,"(192, 'Adam', 0.0001, 3e-05, 'ReduceLROnPlateau')",0.5899002528426671
model9,"(256, 'Adadelta', 0.0002, 0.00092, 'ExponentialLR')",1.0132983519299195
model10,"(128, 'RMSprop', 0.0005, 0.00046, 'ExponentialLR')",0.6890494469368812
model11,"(256, 'RMSprop', 0.0003, 0.00013, 'CyclicLR')",0.6492838340230508
model12,"(96, 'Adadelta', 0.0004, 0.00037, 'ExponentialLR')",0.9759210265508973
model13,"(128, 'Adadelta', 0.0014, 9e-05, 'CyclicLR')",1.001353650990099
model14,"(96, 'RMSprop', 0.0003, 5e-05, 'CyclicLR')",0.6444931181350557
model15,"(96, 'Adadelta', 0.0014, 0.00027, 'ExponentialLR')",1.0002261322323638
