model,chromosome,fitness
model0,"(128, 'Adam', 0.0002, 5e-05, 'ReduceLROnPlateau')",0.6064299462546765
model1,"(128, 'RMSprop', 0.0001, 0.00013, 'CyclicLR')",0.6458010606362786
model2,"(256, 'RMSprop', 0.0001, 0.00013, 'ReduceLROnPlateau')",0.6310010023520026
model3,"(192, 'RMSprop', 0.0002, 0.00015, 'ReduceLROnPlateau')",0.6484580241458516
model4,"(128, 'RMSprop', 0.0002, 9e-05, 'ReduceLROnPlateau')",0.6516759093378631
model5,"(256, 'Adadelta', 0.0002, 0.00013, 'ReduceLROnPlateau')",0.9966940006739656
model6,"(192, 'RMSprop', 0.0011, 0.00092, 'ReduceLROnPlateau')",0.6886545100682219
model7,"(128, 'Adam', 0.0043, 0.00028, 'ReduceLROnPlateau')",0.6682268062108
model8,"(96, 'Adadelta', 0.0087, 0.00011, 'ReduceLROnPlateau')",0.6693298984581316
model9,"(256, 'RMSprop', 0.001, 2e-05, 'ExponentialLR')",0.6553170110138369
model10,"(128, 'RMSprop', 0.0001, 0.00013, 'CyclicLR')",0.6232086504009408
model11,"(128, 'Adadelta', 0.0007, 3e-05, 'ReduceLROnPlateau')",1.0382872030768595
model12,"(128, 'RMSprop', 0.0007, 0.00013, 'ReduceLROnPlateau')",0.6694976376815581
model13,"(192, 'RMSprop', 0.0001, 0.00015, 'ExponentialLR')",0.6302424686055788
model14,"(128, 'Adam', 0.0003, 0.0001, 'ReduceLROnPlateau')",0.6037601417219135
model15,"(256, 'Adadelta', 0.0007, 5e-05, 'ReduceLROnPlateau')",0.9416298664791484
