era,channel,masspoint,pt_threshold,selection_expr,S,B_total,B_by_process,S_over_sqrtB,S_eff_vs_pt0,B_eff_vs_pt0,S_over_sqrtB_vs_pt0,complete
2018,SR1E2Mu,MHc70_MA15,0.0,pt_selected >= 0,6.2574276640789535,4.123545216361036,"{""WZ"": 0.45525382178482043, ""ZZ"": 0.12590079030820053, ""conversion"": -0.0019458620695330664, ""nonprompt"": 2.449055714532733, ""others"": 0.1280743619123549, ""tZq"": -0.0019709043743142947, ""ttH"": 0.2179466965116982, ""ttW"": 0.10974997849730306, ""ttZ"": 0.6414806192577731}",3.0814878329707343,1.0,1.0,1.0,True
2018,SR1E2Mu,MHc70_MA15,5.0,pt_selected >= 5,6.2574276640789535,4.123545216361036,"{""WZ"": 0.45525382178482043, ""ZZ"": 0.12590079030820053, ""conversion"": -0.0019458620695330664, ""nonprompt"": 2.449055714532733, ""others"": 0.1280743619123549, ""tZq"": -0.0019709043743142947, ""ttH"": 0.2179466965116982, ""ttW"": 0.10974997849730306, ""ttZ"": 0.6414806192577731}",3.0814878329707343,1.0,1.0,1.0,True
2018,SR1E2Mu,MHc70_MA15,10.0,pt_selected >= 10,6.2574276640789535,4.123545216361036,"{""WZ"": 0.45525382178482043, ""ZZ"": 0.12590079030820053, ""conversion"": -0.0019458620695330664, ""nonprompt"": 2.449055714532733, ""others"": 0.1280743619123549, ""tZq"": -0.0019709043743142947, ""ttH"": 0.2179466965116982, ""ttW"": 0.10974997849730306, ""ttZ"": 0.6414806192577731}",3.0814878329707343,1.0,1.0,1.0,True
2018,SR1E2Mu,MHc70_MA15,15.0,pt_selected >= 15,6.255379595937734,4.123545216361036,"{""WZ"": 0.45525382178482043, ""ZZ"": 0.12590079030820053, ""conversion"": -0.0019458620695330664, ""nonprompt"": 2.449055714532733, ""others"": 0.1280743619123549, ""tZq"": -0.0019709043743142947, ""ttH"": 0.2179466965116982, ""ttW"": 0.10974997849730306, ""ttZ"": 0.6414806192577731}",3.08047925606069,0.9996726980716092,1.0,0.9996726980716092,True
2018,SR1E2Mu,MHc70_MA15,20.0,pt_selected >= 20,6.196239247740239,4.06437865181139,"{""WZ"": 0.4116507035024324, ""ZZ"": 0.12242452106111185, ""conversion"": -0.0019458620695330664, ""nonprompt"": 2.449055714532733, ""others"": 0.12576860738122642, ""tZq"": -0.003213217155566472, ""ttH"": 0.2179466965116982, ""ttW"": 0.10792326840977104, ""ttZ"": 0.6347682196375184}",3.07348499715944,0.9902214744422906,0.9856515300681342,0.9974029312315736,True
2018,SR1E2Mu,MHc70_MA15,25.0,pt_selected >= 25,6.006938247303417,2.9593587467132663,"{""WZ"": 0.4564285681449963, ""ZZ"": 0.114379315828645, ""conversion"": -0.0019458620695330664, ""nonprompt"": 1.3478005360811949, ""others"": 0.12382664396992528, ""tZq"": -0.003213217155566472, ""ttH"": 0.2163168254695607, ""ttW"": 0.10514195728960471, ""ttZ"": 0.6006239791544393}",3.491840192605226,0.9599692668900541,0.7176734075744788,1.1331669576118002,True
2018,SR1E2Mu,MHc70_MA15,30.0,pt_selected >= 30,5.691294785101109,2.756480220313372,"{""WZ"": 0.5162675593179554, ""ZZ"": 0.09899337001766673, ""conversion"": -0.0019458620695330664, ""nonprompt"": 1.1510040070861578, ""others"": 0.12087614318265379, ""tZq"": -0.003213217155566472, ""ttH"": 0.208928436962011, ""ttW"": 0.10937791542156947, ""ttZ"": 0.5561918675504575}",3.427943384753637,0.9095262607304666,0.6684733828979139,1.1124312574192121,True
2018,SR1E2Mu,MHc70_MA15,35.0,pt_selected >= 35,5.302272013848871,2.697043726675904,"{""WZ"": 0.5162675593179554, ""ZZ"": 0.08884439754590015, ""conversion"": -0.0019458620695330664, ""nonprompt"": 1.1510040070861578, ""others"": 0.11231465993585787, ""tZq"": -0.002219705100982544, ""ttH"": 0.19785948990419336, ""ttW"": 0.0994839626214147, ""ttZ"": 0.5354352174349404}",3.228628009079884,0.847356501504093,0.6540594525251752,1.0477497183454065,True
2018,SR1E2Mu,MHc70_MA15,40.0,pt_selected >= 40,4.84052859344516,2.559051555615533,"{""WZ"": 0.47359540083418666, ""ZZ"": 0.07511632612934607, ""conversion"": -0.0019458620695330664, ""nonprompt"": 1.1510040070861578, ""others"": 0.10302231295278992, ""tZq"": -0.004529912954362637, ""ttH"": 0.17792322419065812, ""ttW"": 0.09305643643665568, ""ttZ"": 0.4918096230096337}",3.0258909480790996,0.7735652497003573,0.6205950029265972,0.981957778870074,True
2018,SR1E2Mu,MHc70_MA15,45.0,pt_selected >= 45,4.313432601517966,1.9415398574298062,"{""WZ"": 0.30762667386707, ""ZZ"": 0.06070540645742584, ""conversion"": -0.0019458620695330664, ""nonprompt"": 0.79621203802526, ""others"": 0.09519012802488123, ""tZq"": -0.0033386782965698584, ""ttH"": 0.15643384249602713, ""ttW"": 0.07945892029840618, ""ttZ"": 0.45119738862683856}",3.0956358051598305,0.6893299983760772,0.4708423833274186,1.0045912795882945,True
2018,SR1E2Mu,MHc70_MA15,50.0,pt_selected >= 50,3.800927008986366,1.4373964209596777,"{""WZ"": 0.2287495464273274, ""ZZ"": 0.05190152518930761, ""conversion"": -0.10351040301178108, ""nonprompt"": 0.5567598547786474, ""others"": 0.08242523062407152, ""tZq"": -0.0033386782965698584, ""ttH"": 0.14505871709374676, ""ttW"": 0.07283090820989413, ""ttZ"": 0.4065197199450339}",3.170306492860295,0.6074264399100863,0.3485826747470851,1.0288233037752852,True
2018,SR1E2Mu,MHc70_MA15,55.0,pt_selected >= 55,3.2950724388838966,1.3034444558135911,"{""WZ"": 0.16763263299411504, ""ZZ"": 0.046058805604912566, ""conversion"": -0.10351040301178108, ""nonprompt"": 0.5487944055348635, ""others"": 0.07253559782235615, ""tZq"": -0.002166053454565593, ""ttH"": 0.1281036944630348, ""ttW"": 0.07548459704037885, ""ttZ"": 0.37051117882027707}",2.886148693127646,0.5265857818540051,0.3160980145535692,0.9366088232596492,True
2018,SR1E2Mu,MHc70_MA15,60.0,pt_selected >= 60,2.8070297979769734,1.2840518729913835,"{""WZ"": 0.16763263299411504, ""ZZ"": 0.03669786978343214, ""conversion"": -0.10351040301178108, ""nonprompt"": 0.6194096002727747, ""others"": 0.06423611495792061, ""tZq"": -0.002166053454565593, ""ttH"": 0.11098094319979758, ""ttW"": 0.0681746684791981, ""ttZ"": 0.32259649977049176}",2.4771695822724356,0.44859164958323927,0.3113951237630757,0.8038875103668021,True
2018,SR1E2Mu,MHc70_MA15,65.0,pt_selected >= 65,2.379255781433498,0.711278964935933,"{""WZ"": 0.12221772808536352, ""ZZ"": 0.027795614856494563, ""conversion"": -0.10351040301178108, ""nonprompt"": 0.1619392428547144, ""others"": 0.05228301479059333, ""tZq"": -0.002166053454565593, ""ttH"": 0.10445651967310172, ""ttW"": 0.0639317691814822, ""ttZ"": 0.28433153196052996}",2.8211173421575704,0.3802290508433239,0.17249209784672268,0.9155049427658614,True
2018,SR1E2Mu,MHc70_MA15,70.0,pt_selected >= 70,1.9726188974770142,0.6213089457014807,"{""WZ"": 0.12221772808536352, ""ZZ"": 0.018035090300226823, ""conversion"": -0.10351040301178108, ""nonprompt"": 0.1619392428547144, ""others"": 0.0480646427444685, ""tZq"": -0.002166053454565593, ""ttH"": 0.08605290942484019, ""ttW"": 0.05125319247920134, ""ttZ"": 0.23942259627901244}",2.502588162367327,0.31524437890044216,0.15067348921901141,0.8121363114241752,True
2018,SR1E2Mu,MHc70_MA15,75.0,pt_selected >= 75,1.6069145835929142,0.4763648694013243,"{""WZ"": 0.12221772808536352, ""ZZ"": 0.014096568241875941, ""conversion"": -0.10351040301178108, ""nonprompt"": 0.1035870909690857, ""others"": 0.03605136711919196, ""tZq"": -0.002166053454565593, ""ttH"": 0.06721756325624634, ""ttW"": 0.03477083956177185, ""ttZ"": 0.20410016863413563}",2.3282141760218624,0.25680114415344824,0.11552313468305044,0.7555487161464233,True
2018,SR1E2Mu,MHc70_MA15,80.0,pt_selected >= 80,1.2753876939375945,0.4103532920709871,"{""WZ"": 0.12221772808536352, ""ZZ"": 0.0108005517146689, ""conversion"": 0.0, ""nonprompt"": 0.0, ""others"": 0.030077701780713013, ""tZq"": -0.002166053454565593, ""ttH"": 0.05600110986257632, ""ttW"": 0.019434174199734436, ""ttZ"": 0.17398807988249648}",1.9909633304116865,0.20381980622149504,0.09951468227941913,0.6461045567368934,True
2018,SR1E2Mu,MHc70_MA15,85.0,pt_selected >= 85,0.9871664410724253,0.3035684857830244,"{""WZ"": 0.06014584819449737, ""ZZ"": 0.008244539438740393, ""conversion"": 0.0, ""nonprompt"": 0.0, ""others"": 0.025872657663040543, ""tZq"": -0.002166053454565593, ""ttH"": 0.04010898823898626, ""ttW"": 0.017018400656430642, ""ttZ"": 0.15434410504589482}",1.7916865802613213,0.1577591454615287,0.07361832351893521,0.5814355523623894,True
