signal,model,display,split,dcor_psig_mass1,dcor_psig_mass2,dcor_lr_background_mass1,dcor_lr_background_mass2
MHc160_MA85,BDT,BDT,train,0.24800708889961243,0.4213692247867584,0.20688249170780182,0.40186068415641785
MHc160_MA85,BDT,BDT,test,0.3193408250808716,0.36962804198265076,0.22374162077903748,0.4423990845680237
MHc160_MA85,DNN,DNN,train,0.24917259812355042,0.3953118324279785,0.18499545753002167,0.36005714535713196
MHc160_MA85,DNN,DNN,test,0.29698336124420166,0.3551842272281647,0.1884201616048813,0.39139363169670105
MHc160_MA85,DNN_MD,DNN MD,train,0.15557219088077545,0.21899794042110443,0.038251571357250214,0.038238734006881714
MHc160_MA85,DNN_MD,DNN MD,test,0.20012521743774414,0.1454363316297531,0.04712291061878204,0.09105366468429565
MHc160_MA85,ParticleNet,ParticleNet,train,0.15157450735569,0.23745599389076233,0.04669897258281708,0.11390148848295212
MHc160_MA85,ParticleNet,ParticleNet,test,0.18875490128993988,0.17321635782718658,0.048044249415397644,0.15207214653491974
MHc160_MA85,ParticleNet_MD,ParticleNet MD,train,0.13774071633815765,0.1668621301651001,0.0507715605199337,0.05794789269566536
MHc160_MA85,ParticleNet_MD,ParticleNet MD,test,0.1571349799633026,0.1252513974905014,0.041871655732393265,0.06755707412958145
