model,chromosome,fitness
model0,"(256, 'Adam', 0.0016, 2e-05, 'ExponentialLR')",0.5923111069370324
model1,"(128, 'Adam', 0.0002, 0.00037, 'ReduceLROnPlateau')",0.6077076549261389
model2,"(256, 'Adam', 0.0016, 2e-05, 'CyclicLR')",0.6261164705518266
model3,"(96, 'Adam', 0.0002, 2e-05, 'ReduceLROnPlateau')",0.6253102262255171
model4,"(256, 'RMSprop', 0.0002, 1e-05, 'ReduceLROnPlateau')",0.6239563310650033
model5,"(256, 'Adam', 0.0004, 4e-05, 'ReduceLROnPlateau')",0.5937261984381877
model6,"(128, 'RMSprop', 0.0002, 0.00037, 'ReduceLROnPlateau')",0.6816457829005281
model7,"(256, 'RMSprop', 0.0016, 0.00014, 'ReduceLROnPlateau')",0.7078011741100902
model8,"(256, 'Adam', 0.0002, 1e-05, 'CyclicLR')",0.5835184446522887
model9,"(256, 'Adam', 0.0004, 6e-05, 'CyclicLR')",0.5983536411339129
model10,"(96, 'Adadelta', 0.0002, 0.00024, 'ReduceLROnPlateau')",1.0178918972821303
model11,"(256, 'Adam', 0.0002, 0.00024, 'ReduceLROnPlateau')",0.583907812414035
model12,"(256, 'Adadelta', 0.0016, 0.00037, 'ReduceLROnPlateau')",0.9175928679990096
model13,"(96, 'Adam', 0.0016, 0.00062, 'ExponentialLR')",0.6782161551462093
model14,"(128, 'Adam', 0.0016, 0.00037, 'ReduceLROnPlateau')",0.6753422911738006
model15,"(256, 'Adam', 0.0004, 5e-05, 'CyclicLR')",0.6061604996802101
