model,chromosome,fitness
model0,"(256, 'Adam', 0.0009, 2e-05, 'ExponentialLR')",0.674894054832361
model1,"(256, 'Adam', 0.0002, 0.00039, 'ExponentialLR')",0.6820041822350543
model2,"(256, 'Adam', 0.0035, 2e-05, 'ReduceLROnPlateau')",0.7291323766683984
model3,"(128, 'Adam', 0.0002, 0.00011, 'ReduceLROnPlateau')",0.6978280538183343
model4,"(192, 'Adam', 0.0002, 6e-05, 'ExponentialLR')",0.6974050224284687
model5,"(256, 'Adam', 0.0002, 6e-05, 'ExponentialLR')",0.6856574719519262
model6,"(256, 'Adam', 0.0002, 0.00039, 'ExponentialLR')",0.6781552990379236
model7,"(256, 'Adadelta', 0.0046, 2e-05, 'CyclicLR')",1.074917454243926
model8,"(192, 'RMSprop', 0.0004, 5e-05, 'ExponentialLR')",0.7370589858735613
model9,"(128, 'RMSprop', 0.0001, 3e-05, 'ExponentialLR')",0.6889767073609335
model10,"(256, 'RMSprop', 0.0001, 5e-05, 'ExponentialLR')",0.6736770200607417
model11,"(192, 'RMSprop', 0.0094, 3e-05, 'ReduceLROnPlateau')",0.906752876613451
model12,"(256, 'Adam', 0.0001, 4e-05, 'CyclicLR')",0.6782286661055387
model13,"(128, 'Adam', 0.0001, 3e-05, 'ReduceLROnPlateau')",0.715768331152094
model14,"(96, 'Adam', 0.0002, 3e-05, 'ReduceLROnPlateau')",0.7130638181096147
model15,"(128, 'Adam', 0.0035, 5e-05, 'ReduceLROnPlateau')",0.7653238047724185
