model,chromosome,fitness
model0,"(256, 'Adam', 0.0001, 3e-05, 'ReduceLROnPlateau')",0.6071992256272007
model1,"(192, 'Adam', 0.0001, 0.00022, 'ExponentialLR')",0.6291477042184749
model2,"(192, 'Adam', 0.0017, 7e-05, 'ExponentialLR')",0.6253160288636114
model3,"(96, 'Adam', 0.0004, 0.00022, 'ExponentialLR')",0.6440223908760179
model4,"(128, 'Adam', 0.0006, 4e-05, 'CyclicLR')",0.647459433112346
model5,"(96, 'Adam', 0.0002, 0.00013, 'ReduceLROnPlateau')",0.6462165939975792
model6,"(256, 'Adam', 0.0008, 0.00013, 'CyclicLR')",0.6474194056551221
model7,"(192, 'Adam', 0.0017, 7e-05, 'ExponentialLR')",0.6344815106459067
model8,"(96, 'Adam', 0.0001, 0.00022, 'ExponentialLR')",0.6715194809604699
model9,"(192, 'Adadelta', 0.0016, 0.00014, 'ReduceLROnPlateau')",1.0135072520081425
model10,"(96, 'RMSprop', 0.0006, 4e-05, 'CyclicLR')",0.6863318967147612
model11,"(192, 'Adam', 0.0004, 0.00014, 'CyclicLR')",0.6390431363817671
model12,"(96, 'Adadelta', 0.0004, 0.00022, 'ExponentialLR')",1.0281004569899868
model13,"(192, 'Adam', 0.0017, 0.00022, 'ExponentialLR')",0.6591919375137544
model14,"(96, 'RMSprop', 0.0001, 1e-05, 'ReduceLROnPlateau')",0.6466190176950374
model15,"(192, 'Adam', 0.0001, 2e-05, 'ExponentialLR')",0.6513938366527289
