model,chromosome,fitness
model0,"(128, 'RMSprop', 0.0006, 2e-05, 'CyclicLR')",0.6698656216473646
model1,"(256, 'Adadelta', 0.0003, 0.00021, 'CyclicLR')",0.9676260075099031
model2,"(96, 'Adam', 0.001, 0.00051, 'ExponentialLR')",0.6394564668897172
model3,"(192, 'Adadelta', 0.0028, 1e-05, 'ExponentialLR')",0.9865593708736796
model4,"(256, 'Adadelta', 0.0007, 0.00027, 'ExponentialLR')",0.9998998507647447
model5,"(128, 'Adam', 0.0059, 7e-05, 'ExponentialLR')",0.684920996007785
model6,"(128, 'Adadelta', 0.0065, 0.0002, 'CyclicLR')",0.7262462906980562
model7,"(192, 'Adadelta', 0.0004, 0.00019, 'CyclicLR')",1.0436045686963578
model8,"(256, 'Adam', 0.0079, 8e-05, 'CyclicLR')",0.6862576981665383
model9,"(96, 'Adadelta', 0.0005, 0.00065, 'CyclicLR')",1.0998580287879622
model10,"(256, 'RMSprop', 0.0009, 0.0002, 'ExponentialLR')",0.6993443126409826
model11,"(192, 'Adadelta', 0.0018, 0.00038, 'CyclicLR')",0.9563971506038182
model12,"(256, 'RMSprop', 0.0011, 7e-05, 'ReduceLROnPlateau')",0.7090675998741472
model13,"(96, 'Adadelta', 0.0028, 0.00022, 'ReduceLROnPlateau')",0.9183247525927046
model14,"(128, 'Adadelta', 0.0067, 5e-05, 'ExponentialLR')",0.7812229485035943
model15,"(128, 'RMSprop', 0.0001, 0.0002, 'CyclicLR')",0.6371101057025749
