model,chromosome,fitness
model0,"(256, 'Adam', 0.0002, 0.00019, 'ExponentialLR')",0.571775470393719
model1,"(256, 'Adam', 0.0002, 3e-05, 'ExponentialLR')",0.5784197212445854
model2,"(192, 'Adam', 0.0001, 3e-05, 'ReduceLROnPlateau')",0.5908313713451423
model3,"(192, 'Adam', 0.0001, 3e-05, 'ReduceLROnPlateau')",0.5919890450959159
model4,"(192, 'Adam', 0.0001, 3e-05, 'CyclicLR')",0.5899981508160582
model5,"(192, 'RMSprop', 0.0003, 7e-05, 'ExponentialLR')",0.662875759011448
model6,"(128, 'RMSprop', 0.0002, 0.00019, 'CyclicLR')",0.6464429194384282
model7,"(256, 'Adam', 0.0001, 1e-05, 'ExponentialLR')",0.6128688698948019
model8,"(256, 'Adam', 0.0002, 3e-05, 'ExponentialLR')",0.5825514387376237
model9,"(128, 'Adam', 0.001, 0.00019, 'CyclicLR')",0.6378818020962252
model10,"(192, 'RMSprop', 0.0002, 0.00037, 'ExponentialLR')",0.6250546899172339
model11,"(192, 'RMSprop', 0.0001, 2e-05, 'ExponentialLR')",0.5947622771310335
model12,"(256, 'Adam', 0.0002, 0.0009, 'CyclicLR')",0.5988157971070545
model13,"(256, 'Adam', 0.0005, 3e-05, 'CyclicLR')",0.5870799451771349
model14,"(128, 'RMSprop', 0.0002, 0.00019, 'ExponentialLR')",0.6352116046565595
model15,"(192, 'RMSprop', 0.0017, 7e-05, 'ExponentialLR')",0.7143881014077971
