model,chromosome,fitness
model0,"(192, 'Adam', 0.001, 7e-05, 'ExponentialLR')",0.5809027039178527
model1,"(128, 'Adam', 0.0002, 2e-05, 'ReduceLROnPlateau')",0.603331733930229
model2,"(256, 'Adam', 0.0002, 0.00047, 'CyclicLR')",0.6047596544322401
model3,"(256, 'Adam', 0.0008, 0.00047, 'ExponentialLR')",0.6232954270768873
model4,"(128, 'Adam', 0.0002, 7e-05, 'ExponentialLR')",0.613951851117729
model5,"(256, 'Adam', 0.0026, 7e-05, 'CyclicLR')",0.6410701940555383
model6,"(256, 'Adam', 0.0099, 7e-05, 'ExponentialLR')",0.6914653513691212
model7,"(128, 'Adam', 0.0016, 0.0004, 'ReduceLROnPlateau')",0.6272401715269184
model8,"(128, 'Adam', 0.0002, 3e-05, 'ReduceLROnPlateau')",0.5980960657100867
model9,"(256, 'Adam', 0.0002, 0.00047, 'ExponentialLR')",0.5692480710473391
model10,"(192, 'Adam', 0.0004, 3e-05, 'ExponentialLR')",0.5824578917852723
model11,"(96, 'Adadelta', 0.0008, 5e-05, 'ReduceLROnPlateau')",0.9076882541769802
model12,"(96, 'Adam', 0.0002, 2e-05, 'ReduceLROnPlateau')",0.6167748781714109
model13,"(256, 'Adam', 0.0008, 7e-05, 'ExponentialLR')",0.5762280152575805
model14,"(256, 'Adam', 0.0004, 2e-05, 'ExponentialLR')",0.5677719871596535
model15,"(128, 'Adam', 0.0002, 7e-05, 'ExponentialLR')",0.6144131197787748
