ma,model,background,mass,dcor_lr_mass
85,baseline,nonprompt,mass1,0.07039014250040054
85,parametric,nonprompt,mass1,0.10762257128953934
85,baseline,diboson,mass1,0.07000526040792465
85,parametric,diboson,mass1,0.05044424906373024
85,baseline,ttX,mass1,0.060073599219322205
85,parametric,ttX,mass1,0.06339969485998154
85,baseline,nonprompt,mass2,0.08156111091375351
85,parametric,nonprompt,mass2,0.06137659400701523
85,baseline,diboson,mass2,0.06951338797807693
85,parametric,diboson,mass2,0.06358213722705841
85,baseline,ttX,mass2,0.05235083028674126
85,parametric,ttX,mass2,0.07111582905054092
90,baseline,nonprompt,mass1,0.08943027257919312
90,parametric,nonprompt,mass1,0.0928470566868782
90,baseline,diboson,mass1,0.11907503008842468
90,parametric,diboson,mass1,0.05378393083810806
90,baseline,ttX,mass1,0.05821418762207031
90,parametric,ttX,mass1,0.06469415873289108
90,baseline,nonprompt,mass2,0.04877166450023651
90,parametric,nonprompt,mass2,0.07718776166439056
90,baseline,diboson,mass2,0.08735402673482895
90,parametric,diboson,mass2,0.1355525702238083
90,baseline,ttX,mass2,0.04691612347960472
90,parametric,ttX,mass2,0.06151699274778366
95,baseline,nonprompt,mass1,0.12144013494253159
95,parametric,nonprompt,mass1,0.08252984285354614
95,baseline,diboson,mass1,0.04891867935657501
95,parametric,diboson,mass1,0.06778646260499954
95,baseline,ttX,mass1,0.05756477639079094
95,parametric,ttX,mass1,0.061964184045791626
95,baseline,nonprompt,mass2,0.07521146535873413
95,parametric,nonprompt,mass2,0.07425373047590256
95,baseline,diboson,mass2,0.06458542495965958
95,parametric,diboson,mass2,0.07024736702442169
95,baseline,ttX,mass2,0.04137226939201355
95,parametric,ttX,mass2,0.07565265893936157
