model,chromosome,fitness
model0,"(128, 'Adam', 0.0061, 0.00074, 'ReduceLROnPlateau')",0.7026802893912438
model1,"(128, 'Adam', 0.001, 5e-05, 'ReduceLROnPlateau')",0.622361951771349
model2,"(96, 'Adadelta', 0.0004, 1e-05, 'ExponentialLR')",0.9035788960976175
model3,"(96, 'RMSprop', 0.0009, 0.00037, 'CyclicLR')",0.697379476717203
model4,"(96, 'Adam', 0.0014, 2e-05, 'ReduceLROnPlateau')",0.6505820699257425
model5,"(96, 'Adadelta', 0.0003, 7e-05, 'CyclicLR')",0.8671288820776609
model6,"(96, 'Adadelta', 0.0077, 4e-05, 'ReduceLROnPlateau')",0.9913142742496905
model7,"(128, 'Adadelta', 0.0078, 0.00066, 'ReduceLROnPlateau')",0.7023042363826537
model8,"(256, 'Adam', 0.0009, 0.00016, 'CyclicLR')",0.6261264310024752
model9,"(256, 'Adam', 0.0008, 0.00047, 'ExponentialLR')",0.6119792069538985
model10,"(128, 'Adadelta', 0.0002, 0.00016, 'ExponentialLR')",0.989065158957302
model11,"(256, 'Adadelta', 0.0036, 3e-05, 'ExponentialLR')",1.3571296314201733
model12,"(192, 'Adam', 0.0026, 6e-05, 'CyclicLR')",0.6395195989325495
model13,"(128, 'Adam', 0.0002, 7e-05, 'ExponentialLR')",0.6125667156559406
model14,"(256, 'Adam', 0.0036, 0.00035, 'ExponentialLR')",0.6885411630762686
model15,"(96, 'Adadelta', 0.0004, 0.00035, 'ExponentialLR')",0.9020353713838181
