model,chromosome,fitness
model0,"(128, 'Adam', 0.0009, 1e-05, 'ReduceLROnPlateau')",0.6287882092972876
model1,"(128, 'Adam', 0.0009, 0.0009, 'ExponentialLR')",0.666107177734375
model2,"(128, 'Adam', 0.0003, 1e-05, 'CyclicLR')",0.6265633274132097
model3,"(128, 'Adam', 0.0009, 0.00061, 'ExponentialLR')",0.6335053242428202
model4,"(128, 'Adam', 0.0003, 0.0004, 'CyclicLR')",0.6363661860076475
model5,"(256, 'Adam', 0.001, 0.00061, 'ExponentialLR')",0.6483311183016065
model6,"(128, 'Adam', 0.0027, 0.00061, 'ExponentialLR')",0.7004719049158231
model7,"(128, 'Adam', 0.0005, 1e-05, 'ExponentialLR')",0.6119340708557989
model8,"(128, 'Adam', 0.0014, 0.00019, 'CyclicLR')",0.6525291657783616
model9,"(128, 'Adam', 0.0003, 2e-05, 'CyclicLR')",0.6186191397653499
model10,"(128, 'RMSprop', 0.001, 0.00031, 'ReduceLROnPlateau')",0.721373652068662
model11,"(256, 'Adadelta', 0.0009, 0.00048, 'ReduceLROnPlateau')",1.0943449853171765
model12,"(256, 'RMSprop', 0.0003, 1e-05, 'CyclicLR')",0.6272999400823889
model13,"(192, 'Adam', 0.0003, 0.00033, 'CyclicLR')",0.6208952782859265
model14,"(256, 'RMSprop', 0.0014, 2e-05, 'ExponentialLR')",0.6976214664083131
model15,"(96, 'RMSprop', 0.0009, 1e-05, 'ExponentialLR')",0.6833780315560354
