model,chromosome,fitness
model0,"(256, 'Adam', 0.0004, 3e-05, 'ReduceLROnPlateau')",0.6683504148517423
model1,"(256, 'Adam', 0.0004, 2e-05, 'ExponentialLR')",0.679197033347986
model2,"(256, 'Adam', 0.0004, 3e-05, 'ReduceLROnPlateau')",0.673858720628197
model3,"(256, 'Adam', 0.0004, 5e-05, 'ReduceLROnPlateau')",0.6690363969339435
model4,"(256, 'RMSprop', 0.0002, 2e-05, 'ExponentialLR')",0.6831302886728741
model5,"(256, 'Adam', 0.0004, 5e-05, 'ReduceLROnPlateau')",0.6861480166540121
model6,"(256, 'RMSprop', 0.0004, 3e-05, 'ReduceLROnPlateau')",0.7777274441536125
model7,"(128, 'RMSprop', 0.0002, 4e-05, 'CyclicLR')",0.7233295879705482
model8,"(192, 'RMSprop', 0.0004, 8e-05, 'ExponentialLR')",0.7385441226422634
model9,"(192, 'Adam', 0.0002, 0.0003, 'ExponentialLR')",0.6835254561870604
model10,"(96, 'Adam', 0.0004, 4e-05, 'ExponentialLR')",0.7227791008132193
model11,"(128, 'Adam', 0.0002, 0.00063, 'ReduceLROnPlateau')",0.7071113293738012
model12,"(128, 'Adadelta', 0.0043, 3e-05, 'ReduceLROnPlateau')",0.9932617175512788
model13,"(256, 'Adam', 0.0002, 4e-05, 'CyclicLR')",0.6761569830462756
model14,"(256, 'RMSprop', 0.0001, 2e-05, 'ExponentialLR')",0.6744223982476822
model15,"(96, 'Adam', 0.001, 1e-05, 'ExponentialLR')",0.7136881406349904
