model,chromosome,fitness
model0,"(256, 'Adam', 0.0002, 1e-05, 'CyclicLR')",0.5863579226211763
model1,"(256, 'Adam', 0.0002, 0.00024, 'ReduceLROnPlateau')",0.5812426285004951
model2,"(256, 'Adam', 0.0016, 2e-05, 'ExponentialLR')",0.5917503464389855
model3,"(256, 'Adam', 0.0004, 4e-05, 'ReduceLROnPlateau')",0.5927983673525529
model4,"(256, 'Adam', 0.0004, 6e-05, 'CyclicLR')",0.6045127653739821
model5,"(256, 'Adam', 0.0004, 2e-05, 'CyclicLR')",0.5950894960215394
model6,"(256, 'RMSprop', 0.0002, 0.00057, 'ExponentialLR')",0.6860240882551166
model7,"(192, 'Adam', 0.0016, 0.00075, 'CyclicLR')",0.6800800914495764
model8,"(256, 'Adam', 0.0002, 0.00024, 'CyclicLR')",0.6010569182919784
model9,"(128, 'RMSprop', 0.0016, 0.00039, 'ReduceLROnPlateau')",0.703415400545362
model10,"(192, 'Adadelta', 0.0004, 0.00037, 'ReduceLROnPlateau')",1.2636858443139305
model11,"(256, 'Adadelta', 0.0002, 0.00037, 'CyclicLR')",0.9792864087601783
model12,"(96, 'Adam', 0.0001, 2e-05, 'ReduceLROnPlateau')",0.635161171496754
model13,"(128, 'Adam', 0.0004, 7e-05, 'ReduceLROnPlateau')",0.6231062445842045
model14,"(256, 'Adam', 0.0002, 0.00037, 'ReduceLROnPlateau')",0.60299843801579
model15,"(128, 'Adadelta', 0.0002, 0.00037, 'ReduceLROnPlateau')",0.9413409165933099
