model,chromosome,fitness
model0,"(128, 'Adadelta', 0.0011, 1e-05, 'CyclicLR')",0.9809058304028133
model1,"(256, 'Adadelta', 0.002, 0.00066, 'CyclicLR')",0.9639714623960998
model2,"(256, 'Adam', 0.0001, 4e-05, 'ReduceLROnPlateau')",0.6738385837096388
model3,"(192, 'Adadelta', 0.0003, 3e-05, 'ExponentialLR')",0.9873744642643063
model4,"(96, 'RMSprop', 0.0008, 1e-05, 'CyclicLR')",0.7633931581931346
model5,"(96, 'Adadelta', 0.0017, 9e-05, 'CyclicLR')",1.044717107652805
model6,"(256, 'RMSprop', 0.0001, 0.0001, 'ExponentialLR')",0.6703046325527494
model7,"(96, 'RMSprop', 0.0004, 0.00012, 'CyclicLR')",0.7726516918757992
model8,"(192, 'RMSprop', 0.0059, 0.0001, 'ExponentialLR')",0.8381566196451407
model9,"(128, 'Adam', 0.0001, 0.00013, 'CyclicLR')",0.7044776857966353
model10,"(192, 'RMSprop', 0.0016, 2e-05, 'ReduceLROnPlateau')",0.7394278055566657
model11,"(96, 'Adam', 0.0056, 0.00016, 'CyclicLR')",0.778702445652174
model12,"(256, 'RMSprop', 0.0005, 2e-05, 'ExponentialLR')",0.7358606050691336
model13,"(256, 'Adam', 0.0007, 0.00069, 'CyclicLR')",0.7248628816336317
model14,"(128, 'RMSprop', 0.0009, 6e-05, 'CyclicLR')",0.7702698378306826
model15,"(256, 'Adadelta', 0.0057, 0.00011, 'CyclicLR')",1.1881172980189019
