model,chromosome,fitness
model0,"(192, 'RMSprop', 0.0023, 0.0007, 'ReduceLROnPlateau')",0.7325657589334837
model1,"(96, 'Adadelta', 0.0024, 0.00052, 'ReduceLROnPlateau')",0.9347378368109045
model2,"(192, 'RMSprop', 0.0002, 0.00015, 'ReduceLROnPlateau')",0.6391687527508803
model3,"(128, 'RMSprop', 0.0002, 9e-05, 'ReduceLROnPlateau')",0.6473951742682659
model4,"(128, 'Adam', 0.0002, 5e-05, 'ReduceLROnPlateau')",0.6103565592161366
model5,"(256, 'RMSprop', 0.0001, 0.00013, 'ReduceLROnPlateau')",0.6294402001609265
model6,"(256, 'RMSprop', 0.0034, 0.00019, 'CyclicLR')",0.6862456093371754
model7,"(128, 'RMSprop', 0.0001, 0.00013, 'CyclicLR')",0.627807832100022
model8,"(256, 'RMSprop', 0.0007, 2e-05, 'ReduceLROnPlateau')",0.6609799559687225
model9,"(256, 'RMSprop', 0.0018, 0.00035, 'ExponentialLR')",0.7301494974485585
model10,"(96, 'Adadelta', 0.0087, 0.00053, 'ReduceLROnPlateau')",0.6633418983137104
model11,"(128, 'Adam', 0.0043, 0.00011, 'ReduceLROnPlateau')",0.6557123963261994
model12,"(192, 'Adadelta', 0.001, 2e-05, 'ExponentialLR')",0.9447411550602443
model13,"(96, 'RMSprop', 0.0003, 0.0001, 'CyclicLR')",0.6515863982724471
model14,"(256, 'RMSprop', 0.0035, 0.00092, 'ExponentialLR')",0.7194790907309089
model15,"(96, 'RMSprop', 0.001, 0.00015, 'ExponentialLR')",0.6722148841535541
