model,chromosome,fitness
model0,"(192, 'Adam', 0.0001, 0.0003, 'CyclicLR')",0.6763798940517104
model1,"(128, 'Adam', 0.0002, 6e-05, 'ReduceLROnPlateau')",0.6930014373701247
model2,"(128, 'Adam', 0.0006, 5e-05, 'CyclicLR')",0.7037362881633632
model3,"(192, 'Adam', 0.0017, 2e-05, 'ReduceLROnPlateau')",0.6786829955742487
model4,"(128, 'Adam', 0.0002, 0.0003, 'CyclicLR')",0.701064556151095
model5,"(128, 'Adam', 0.0006, 2e-05, 'CyclicLR')",0.701471431176071
model6,"(128, 'Adam', 0.001, 0.00021, 'ExponentialLR')",0.6983064227091992
model7,"(128, 'Adam', 0.0001, 0.0004, 'CyclicLR')",0.7006698569373402
model8,"(192, 'RMSprop', 0.0004, 0.00015, 'ReduceLROnPlateau')",0.7691417801410646
model9,"(96, 'Adam', 0.0002, 0.00018, 'CyclicLR')",0.7109858910445972
model10,"(128, 'Adam', 0.0006, 5e-05, 'ExponentialLR')",0.694134802464634
model11,"(128, 'Adam', 0.0006, 5e-05, 'CyclicLR')",0.702728193434303
model12,"(256, 'Adadelta', 0.0002, 0.0004, 'CyclicLR')",1.0753620274536444
model13,"(96, 'Adam', 0.0006, 8e-05, 'CyclicLR')",0.7143560151005035
model14,"(128, 'Adam', 0.0001, 2e-05, 'ExponentialLR')",0.765385386279172
model15,"(128, 'Adam', 0.0001, 0.0003, 'ReduceLROnPlateau')",0.7000097094289482
