feature,mean_auc_drop
jet1_btagged,0.052916631692192184
jet2_btagged,0.04302878868967541
jet1_pt,0.022390285798386533
lep1_pt,0.02141370572385637
lep3_pt,0.015935799554575913
dR_lep1_lep2,0.014886715993289945
dR_lep1_lep3,0.011127721394629253
jet3_btagged,0.010929997310857531
dR_lep1_jet2,0.010687318986948413
lep2_pt,0.010649947189308784
ptmiss_proxy,0.00695035329121052
jet2_pt,0.006147030925051977
dR_lep2_lep3,0.006139766892406806
lep3_isMuon,0.00605394260779013
lep2_isMuon,0.005503919513881184
dR_lep2_jet2,0.004353427723349346
dR_lep1_jet1,0.004256405073692626
lep2_charge,0.0042054960594489765
dR_lep2_jet1,0.0035820144205260807
dR_lep1_jet3,0.0035718749899708024
lep1_charge,0.003347845741767941
lep1_isMuon,0.003057374833053794
mt_lep1_ptmiss,0.0027534802979741757
jet4_btagged,0.002233139799626138
dR_lep1_jet4,0.002225196033295185
jet3_pt,0.001881080328960394
dR_lep3_jet2,0.001577969645810251
era_2022EE,0.001556854928766116
mt_lep2_ptmiss,0.0015415934953177945
dR_lep3_jet1,0.0014429894997310955
lep3_charge,0.0011680448201679683
jet1_eta,0.0011454588301174073
era_2023,0.0011257281590670853
lep1_isElectron,0.0010464944462325043
lep3_isElectron,0.0007810366304534799
mt_lep3_ptmiss,0.0007661946535550967
era_2023BPix,0.0007149924513418782
lep2_isElectron,0.0006644869427891997
jet5_btagged,0.000651717326344281
dR_lep2_jet5,0.0006374956407310117
lep1_eta,0.0005975024156761322
jet3_eta,0.0005584918492843594
dR_lep3_jet3,0.0005022177780210635
dR_lep2_jet3,0.0004926475837947475
era_2022,0.00044808036365351356
dR_lep2_jet4,0.0004423484001743194
jet3_phi,0.0004387347069926273
lep3_eta,0.00039531412644633335
dR_lep1_jet6,0.0003381569238316562
lep1_phi,0.0002857831648024334
ptmiss_phi_proxy,0.0002789927192577979
jet6_btagged,0.0002774765214414998
jet2_eta,0.00026027982865495236
dR_lep3_jet4,0.00023419074083019797
era_2016preVFP,0.00021743866129875222
era_2016postVFP,0.00021080644130155868
jet4_eta,0.0001898914293241294
dR_lep1_jet5,0.0001847484655410625
jet1_phi,0.0001583756466031483
jet5_phi,0.00015128427283817025
dR_lep3_jet5,0.0001361686618773783
jet5_eta,0.00012374993787367394
jet2_phi,0.00010706821362016505
dR_lep3_jet6,0.00010096863882202989
lep2_eta,9.944136572270779e-05
jet5_pt,8.808279033267752e-05
era_2017,7.58060767254154e-05
lep2_phi,5.585532928908954e-05
jet6_phi,3.97583681628344e-05
dR_lep2_jet6,2.9826848228609038e-05
era_2018,2.1936588966209314e-05
jet6_eta,1.5437393729333948e-05
jet6_pt,3.112928544823923e-06
jet1_charge,0.0
jet2_charge,0.0
jet3_charge,0.0
jet4_charge,0.0
jet5_charge,0.0
jet6_charge,0.0
lep3_phi,-4.539361894717597e-05
jet4_pt,-0.00010699924131341021
jet4_phi,-0.00013379923892209433
