MHc,MX,variable,events_A,events_H,entries_A,entries_H,mean_A,mean_H,rms_A,rms_H,max_ratio_deviation
70,15,muon_lead_pt,200000,200000,200000,200000,41.89995149303391,41.388168390407785,30.837154037273947,30.8139760715287,3.9999999999999982
70,15,muon_lead_eta,200000,200000,200000,200000,-0.004976002500399503,0.0023689539809394053,1.3658491844161371,1.367046389158193,0.9
70,15,muon_lead_phi,200000,200000,200000,200000,0.002880085294797223,0.003327674917999768,1.81203577864021,1.8182703518465722,0.059157212317666685
70,15,muon_lead_mass,200000,200000,200000,200000,0.0,0.0,0.0,0.0,0.0
70,15,muon_sublead_pt,200000,200000,200000,200000,16.98448717521328,16.72998447898688,15.641189973456386,15.538672954674707,8.999999999999991
70,15,muon_sublead_eta,200000,200000,200000,200000,-0.0074389136317564875,0.004065355860511159,1.4856325291076353,1.4873799988794834,0.4999999999999998
70,15,muon_sublead_phi,200000,200000,200000,200000,-0.0062633100598884165,0.002045763718887381,1.8121420577355267,1.8178484187188055,0.06708975521305527
70,15,muon_sublead_mass,200000,200000,200000,200000,0.0,0.0,0.0,0.0,0.0
70,15,electron_lead_pt,200000,200000,75393,73627,41.917586917682414,42.29533907970583,33.450774674730106,33.5193534437092,3.095943064364975
70,15,electron_lead_eta,200000,200000,75393,73627,-0.00871433446491113,-0.0010175051389618764,1.4457276752526018,1.445363299646012,1.9256736174035538
70,15,electron_lead_phi,200000,200000,75393,73627,0.007794985535111171,-0.009401738159299245,1.8137961101494835,1.8102002934455304,0.109577594703266
70,15,electron_lead_mass,200000,200000,75393,73627,0.0,0.0,0.0,0.0,0.0
70,15,electron_sublead_pt,200000,200000,4489,4213,23.81090660661418,24.209977520950225,18.96540889644537,19.684352636003325,2.196534535960121
70,15,electron_sublead_eta,200000,200000,4489,4213,-0.010896188836688775,-0.015267319503795609,1.5626612093540972,1.5590936645937676,5.393069071920248
70,15,electron_sublead_phi,200000,200000,4489,4213,-0.02010207870253238,0.05604327092676308,1.8239063494049703,1.7902683646853774,0.41422437045508476
70,15,electron_sublead_mass,200000,200000,4489,4213,0.0,0.0,0.0,0.0,0.0
70,15,udsg_lead_pt,200000,200000,159828,159971,51.32372487910296,51.4085417926169,37.55310124759116,37.606201088624,6.992848703827546
70,15,udsg_lead_eta,200000,200000,159828,159971,-0.006041569273164261,0.003233656175823029,1.400596567797604,1.3998588619053915,0.7983909583612028
70,15,udsg_lead_phi,200000,200000,159828,159971,-0.003955413543994994,0.0024945556055159346,1.8173877778724248,1.8124629955900777,0.06799589983824084
70,15,udsg_lead_mass,200000,200000,159828,159971,0.0,0.0,0.0,0.0,0.0
70,15,udsg_sublead_pt,200000,200000,80277,78244,25.850381096070198,26.01498714304119,19.570246607472523,19.450479749020282,3.616922703338278
70,15,udsg_sublead_eta,200000,200000,80277,78244,-0.00415560423140103,0.012681983419777805,1.546879829774773,1.5520008969782215,0.7362786234776424
70,15,udsg_sublead_phi,200000,200000,80277,78244,-0.0032827971399351347,-0.0013511266439901247,1.8071397762801935,1.8141491273092323,0.13059283628588725
70,15,udsg_sublead_mass,200000,200000,80277,78244,0.0,0.0,0.0,0.0,0.0
70,15,b_lead_pt,200000,200000,200000,200000,95.22650010460357,95.03176567034302,41.982017153821886,41.95451476536252,0.9999999999999991
70,15,b_lead_eta,200000,200000,200000,200000,-0.005759575174675296,0.004065747310848975,1.3119172859442183,1.3133222703525693,4.000000000000001
70,15,b_lead_phi,200000,200000,200000,200000,-0.0018911107312653672,0.005794357530659362,1.8139220864739813,1.811947911060146,0.059171597633136175
70,15,b_lead_mass,200000,200000,200000,200000,0.0,0.0,0.0,0.0,0.0
70,15,b_sublead_pt,200000,200000,200000,200000,55.14647182214865,55.10149898016566,33.04137722191362,33.16186785304797,7.000000000000002
70,15,b_sublead_eta,200000,200000,200000,200000,-0.0072165576631555,-0.0048599049469019405,1.5757464306907263,1.578485131383367,0.3589743589743588
70,15,b_sublead_phi,200000,200000,200000,200000,0.0017703000158097336,-0.0031418604154321477,1.8145836713510874,1.8110099407360973,0.059399877526026046
70,15,b_sublead_mass,200000,200000,200000,200000,0.0,0.0,0.0,0.0,0.0
70,15,top_hplus_b_lead_pt,200000,200000,200000,200000,77.36348714054328,77.20585087820794,43.79262885599498,43.71229823921252,1.6
70,15,top_hplus_b_lead_eta,200000,200000,200000,200000,-0.007944480284814337,-0.0009375585155803469,1.4493337339086012,1.4526162106670788,0.40909090909090917
70,15,top_hplus_b_lead_phi,200000,200000,200000,200000,0.0038116893765600224,0.00010196940030041251,1.8119290588559298,1.8111848998847264,0.05612864077669899
70,15,top_hplus_b_lead_mass,200000,200000,200000,200000,0.0,0.0,0.0,0.0,0.0
70,15,top_w_b_lead_pt,200000,200000,200000,200000,72.93899019030204,72.85426630323336,41.577562031153874,41.66183041622057,1.3333333333333335
70,15,top_w_b_lead_eta,200000,200000,200000,200000,-0.005030551616189183,0.0001507118852433929,1.4501390252769562,1.4511197968335054,0.6874999999999991
70,15,top_w_b_lead_phi,200000,200000,200000,200000,-0.003932500092015603,0.0025505277149268308,1.816567377923166,1.8117832173155883,0.058787878787878944
70,15,top_w_b_lead_mass,200000,200000,200000,200000,0.0,0.0,0.0,0.0,0.0
70,15,hplus_w_electron_lead_pt,200000,200000,1135,1114,39.927439074744356,40.545341424793946,30.59522266064476,31.219832224593603,3.075403949730701
70,15,hplus_w_electron_lead_eta,200000,200000,1135,1114,0.06926954493587187,-0.049108479047164325,1.4737000268857785,1.409270582828309,1.8018402154398583
70,15,hplus_w_electron_lead_phi,200000,200000,1135,1114,-0.01413427013663593,-0.02040498047255824,1.8272391567368846,1.8268801142979247,2.0565529622980248
70,15,hplus_w_electron_lead_mass,200000,200000,1135,1114,0.0,0.0,0.0,0.0,0.0
70,15,hplus_w_muon_lead_pt,200000,200000,1189,1120,40.26732962318034,39.603958558677235,30.01139065662445,31.03064671619319,4.308035714285718
70,15,hplus_w_muon_lead_eta,200000,200000,1189,1120,0.02321381953487149,0.03268986367969558,1.459274946549427,1.4769265572494443,3.2464285714285737
70,15,hplus_w_muon_lead_phi,200000,200000,1189,1120,0.04815950646935846,0.013502994814586123,1.8108362960633047,1.8121447975187908,1.1232142857142864
70,15,hplus_w_muon_lead_mass,200000,200000,1189,1120,0.0,0.0,0.0,0.0,0.0
70,15,top_w_electron_lead_pt,200000,200000,40110,39886,50.790632249209935,50.9207632871246,35.77091387518022,35.62920366920497,3.022464022464031
70,15,top_w_electron_lead_eta,200000,200000,40110,39886,-0.0022284111613356636,-0.0004375220608448914,1.4595837334006994,1.4570572956661232,2.5196560196560194
70,15,top_w_electron_lead_phi,200000,200000,40110,39886,0.004345655646847702,-0.02240199462723528,1.814446625013146,1.8077290045814027,0.16495308088228422
70,15,top_w_electron_lead_mass,200000,200000,40110,39886,0.0,0.0,0.0,0.0,0.0
70,15,top_w_muon_lead_pt,200000,200000,40276,39882,51.061089475663316,51.162743769403676,36.02136306847923,36.2349037037052,5.059274860839487
70,15,top_w_muon_lead_eta,200000,200000,40276,39882,-0.008523481272250177,0.011383691036291155,1.4496777493213797,1.4525229689218515,1.0197582869464932
70,15,top_w_muon_lead_phi,200000,200000,40276,39882,0.002108803366753788,-0.009672935688385266,1.820220566063405,1.815489195950367,0.13363884242829993
70,15,top_w_muon_lead_mass,200000,200000,40276,39882,0.0,0.0,0.0,0.0,0.0
70,15,scalar_muon_lead_pt,200000,200000,200000,200000,34.70241867936798,34.32004133827844,26.799190746050584,26.64900491135228,4.999999999999999
70,15,scalar_muon_lead_eta,200000,200000,200000,200000,-0.0041684423300041105,0.0017695388708324847,1.3816492965804912,1.3827469803780397,1.9999999999999978
70,15,scalar_muon_lead_phi,200000,200000,200000,200000,0.0006468633088268803,0.002211820950465384,1.8108800986431013,1.8178205579551894,0.06430868167202575
70,15,scalar_muon_lead_mass,200000,200000,200000,200000,0.0,0.0,0.0,0.0,0.0
70,15,scalar_muon_sublead_pt,200000,200000,200000,200000,11.974088797589863,11.84551698097431,11.792355351533317,11.621026642112007,4.000000000000001
70,15,scalar_muon_sublead_eta,200000,200000,200000,200000,-0.00859972168137136,0.0032446561721838473,1.5221316671803464,1.5197177481554034,0.357142857142857
