model,chromosome,fitness
model0,"(256, 'Adam', 0.0003, 2e-05, 'ReduceLROnPlateau')",0.5915441916022502
model1,"(192, 'Adam', 0.0001, 0.00016, 'CyclicLR')",0.5995068617270026
model2,"(192, 'Adam', 0.0001, 1e-05, 'CyclicLR')",0.6108942166180678
model3,"(128, 'Adam', 0.0002, 0.00026, 'ReduceLROnPlateau')",0.6147894523513149
model4,"(128, 'Adam', 0.0009, 1e-05, 'ReduceLROnPlateau')",0.6164579794440471
model5,"(96, 'Adam', 0.0002, 0.00016, 'CyclicLR')",0.6234698765714404
model6,"(192, 'Adam', 0.0009, 4e-05, 'CyclicLR')",0.6233106801207636
model7,"(128, 'Adam', 0.0073, 3e-05, 'ReduceLROnPlateau')",0.6535844937176771
model8,"(128, 'Adam', 0.0001, 0.00029, 'ReduceLROnPlateau')",0.6092718957175671
model9,"(128, 'Adam', 0.0002, 0.00026, 'CyclicLR')",0.6220284582863391
model10,"(96, 'Adam', 0.0009, 0.00084, 'CyclicLR')",0.6592493191571303
model11,"(192, 'Adam', 0.0009, 1e-05, 'CyclicLR')",0.6098252417336048
model12,"(256, 'Adam', 0.0001, 0.00016, 'ReduceLROnPlateau')",0.5936358277226838
model13,"(192, 'Adam', 0.0001, 2e-05, 'ReduceLROnPlateau')",0.6003238516794124
model14,"(96, 'Adam', 0.0009, 1e-05, 'CyclicLR')",0.6233333533918354
model15,"(96, 'RMSprop', 0.0002, 0.00021, 'ReduceLROnPlateau')",0.655228789423553
