model,chromosome,fitness
model0,"(256, 'Adam', 0.0003, 1e-05, 'ReduceLROnPlateau')",0.6116878348337093
model1,"(96, 'Adam', 0.0002, 0.00034, 'CyclicLR')",0.651962011632785
model2,"(128, 'Adam', 0.0007, 0.00014, 'CyclicLR')",0.655212187431228
model3,"(256, 'Adam', 0.0023, 2e-05, 'ReduceLROnPlateau')",0.6408324443118673
model4,"(128, 'Adam', 0.0007, 0.00021, 'CyclicLR')",0.6589930897027674
model5,"(96, 'Adadelta', 0.0029, 0.00014, 'CyclicLR')",0.9977941378741197
model6,"(128, 'Adadelta', 0.0013, 2e-05, 'ReduceLROnPlateau')",0.8087752488963974
model7,"(128, 'Adadelta', 0.0002, 0.00037, 'ExponentialLR')",1.1411523953290053
model8,"(96, 'Adam', 0.0013, 0.00028, 'ReduceLROnPlateau')",0.6885706404565086
model9,"(128, 'Adam', 0.0003, 0.00014, 'ReduceLROnPlateau')",0.6455806141168299
model10,"(96, 'Adam', 0.0007, 1e-05, 'CyclicLR')",0.6512880459637709
model11,"(256, 'Adadelta', 0.0018, 0.00093, 'CyclicLR')",1.0002964718241087
model12,"(192, 'Adam', 0.0035, 0.00093, 'CyclicLR')",0.7029374888245489
model13,"(192, 'RMSprop', 0.0003, 2e-05, 'ExponentialLR')",0.6875241776587258
model14,"(256, 'Adadelta', 0.0012, 0.00048, 'ReduceLROnPlateau')",0.9378942570216219
model15,"(192, 'Adam', 0.0002, 2e-05, 'CyclicLR')",0.6225629457285706
