model,chromosome,fitness
model0,"(256, 'Adam', 0.0001, 2e-05, 'ExponentialLR')",0.6210803179673745
model1,"(256, 'RMSprop', 0.0004, 1e-05, 'CyclicLR')",0.6350990617778939
model2,"(192, 'Adam', 0.0018, 0.00016, 'ReduceLROnPlateau')",0.6626229084713359
model3,"(128, 'RMSprop', 0.0005, 3e-05, 'CyclicLR')",0.67605429635921
model4,"(96, 'RMSprop', 0.0006, 3e-05, 'ExponentialLR')",0.6881103515625
model5,"(192, 'Adadelta', 0.0017, 4e-05, 'CyclicLR')",0.9630177457567671
model6,"(128, 'RMSprop', 0.0007, 0.00019, 'CyclicLR')",0.6902133243184694
model7,"(256, 'RMSprop', 0.0057, 3e-05, 'CyclicLR')",0.7294741348481514
model8,"(192, 'RMSprop', 0.0007, 3e-05, 'ExponentialLR')",
model9,"(128, 'RMSprop', 0.0018, 0.00016, 'ReduceLROnPlateau')",0.7263074525645081
model10,"(96, 'RMSprop', 0.0045, 0.00049, 'ExponentialLR')",0.75701796840614
model11,"(96, 'RMSprop', 0.0006, 0.00049, 'ExponentialLR')",0.7078516785527619
model12,"(96, 'RMSprop', 0.0003, 0.00024, 'ExponentialLR')",0.6802304764868508
model13,"(96, 'Adam', 0.0012, 1e-05, 'ExponentialLR')",0.667556064229616
model14,"(192, 'RMSprop', 0.0005, 3e-05, 'ReduceLROnPlateau')",0.6859237241073394
model15,"(256, 'RMSprop', 0.0001, 2e-05, 'ExponentialLR')",0.588271396260866
