Era,Region,LeptonType,miniIso_cut,sip3d_cut,Efficiency,Efficiency_Error,Pass_Events,Total_Events
2016postVFP,InnerBarrel,prompt,0.05,2.0,0.842067023733353,0.001651726967858474,41047.77499615488,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.05,3.0,0.8786087953725705,0.001479176176234893,42829.056506927416,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.05,4.0,0.8917856881688134,0.0014070227505443085,43471.383204689075,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.05,5.0,0.8950013556860491,0.0013884562892195343,43628.13556879986,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.05,6.0,0.8963011305112482,0.0013808372765840345,43691.49497258448,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.08,2.0,0.8787235271726103,0.0014785735251815239,42834.649274462776,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.08,3.0,0.9169966540338373,0.0012495688632642298,44700.32819967909,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.08,4.0,0.9307911610613436,0.0011495700131588208,45372.76139643049,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.08,5.0,0.9341709697755158,0.0011231827677214681,45537.515060591686,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.08,6.0,0.9355239418281668,0.0011123852255004812,45603.467640170304,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.09,2.0,0.8859118805902427,0.0014399386642112123,43185.05595868564,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.09,3.0,0.9245554075058819,0.0011962144647558507,45068.79057028267,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.09,4.0,0.9384794871154103,0.0010883056542177146,45747.53996995214,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.09,5.0,0.9418901240251101,0.0010596284629061986,45913.79639909271,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.09,6.0,0.9432583971833409,0.0010478392430662141,45980.49485319358,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.1,2.0,0.891816738547769,0.0014068453659178393,43472.896800321,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.1,3.0,0.9307398056380289,0.0011499647196522558,45370.25800204306,48746.4463507515
2016postVFP,InnerBarrel,prompt,0.1,4.0,0.9447458641419362,0.0010348285806336557,46053.00358148926,48746.4463507515
