Era,Region,miniIso_cut,sip3d_cut,mva_cut,optimization_metric,n_bins_used,recommendation
2022EE,InnerBarrel,0.4,6.0,-0.8,9.456,5,BEST
2022EE,InnerBarrel,0.4,6.0,-0.7,9.280,5,BEST
2022EE,InnerBarrel,0.4,6.0,-0.6,9.263,5,BEST
2022EE,InnerBarrel,0.4,6.0,-0.5,9.255,5,BEST
2022EE,InnerBarrel,0.4,6.0,-0.4,9.241,5,BEST
2022EE,InnerBarrel,0.4,6.0,-0.3,9.245,5,
2022EE,InnerBarrel,0.4,6.0,-0.2,9.400,5,
2022EE,InnerBarrel,0.4,6.0,-0.1,9.527,5,
2022EE,InnerBarrel,0.4,6.0,0.0,9.703,5,
2022EE,InnerBarrel,0.4,6.0,0.1,9.851,5,
2022EE,InnerBarrel,0.4,6.0,0.2,10.034,5,
2022EE,InnerBarrel,0.4,6.0,0.3,10.127,5,
2022EE,InnerBarrel,0.4,6.0,0.4,10.201,5,
2022EE,InnerBarrel,0.4,6.0,0.5,10.449,5,
2022EE,InnerBarrel,0.4,6.0,0.6,10.568,5,
2022EE,InnerBarrel,0.4,6.0,0.7,10.705,5,
2022EE,InnerBarrel,0.4,6.0,0.8,11.381,5,
2022EE,InnerBarrel,0.4,7.0,-0.8,9.349,5,
2022EE,InnerBarrel,0.4,7.0,-0.7,9.210,5,BEST
2022EE,InnerBarrel,0.4,7.0,-0.6,9.303,5,
2022EE,InnerBarrel,0.4,7.0,-0.5,9.479,5,
2022EE,InnerBarrel,0.4,7.0,-0.4,9.612,5,
2022EE,InnerBarrel,0.4,7.0,-0.3,9.708,5,
2022EE,InnerBarrel,0.4,7.0,-0.2,9.890,5,
2022EE,InnerBarrel,0.4,7.0,-0.1,10.029,5,
2022EE,InnerBarrel,0.4,7.0,0.0,10.203,5,
2022EE,InnerBarrel,0.4,7.0,0.1,10.353,5,
2022EE,InnerBarrel,0.4,7.0,0.2,10.525,5,
2022EE,InnerBarrel,0.4,7.0,0.3,10.622,5,
2022EE,InnerBarrel,0.4,7.0,0.4,10.696,5,
2022EE,InnerBarrel,0.4,7.0,0.5,10.928,5,
2022EE,InnerBarrel,0.4,7.0,0.6,11.056,5,
2022EE,InnerBarrel,0.4,7.0,0.7,11.363,5,
2022EE,InnerBarrel,0.4,7.0,0.8,12.091,5,
2022EE,InnerBarrel,0.4,8.0,-0.8,9.353,5,
2022EE,InnerBarrel,0.4,8.0,-0.7,9.439,5,
2022EE,InnerBarrel,0.4,8.0,-0.6,9.686,5,
2022EE,InnerBarrel,0.4,8.0,-0.5,9.850,5,
2022EE,InnerBarrel,0.4,8.0,-0.4,9.981,5,
2022EE,InnerBarrel,0.4,8.0,-0.3,10.071,5,
2022EE,InnerBarrel,0.4,8.0,-0.2,10.249,5,
2022EE,InnerBarrel,0.4,8.0,-0.1,10.374,5,
2022EE,InnerBarrel,0.4,8.0,0.0,10.540,5,
2022EE,InnerBarrel,0.4,8.0,0.1,10.689,5,
2022EE,InnerBarrel,0.4,8.0,0.2,10.858,5,
2022EE,InnerBarrel,0.4,8.0,0.3,10.952,5,
2022EE,InnerBarrel,0.4,8.0,0.4,11.028,5,
2022EE,InnerBarrel,0.4,8.0,0.5,11.313,5,
2022EE,InnerBarrel,0.4,8.0,0.6,11.587,5,
2022EE,InnerBarrel,0.4,8.0,0.7,11.923,5,
2022EE,InnerBarrel,0.4,8.0,0.8,12.654,5,
2022EE,InnerBarrel,0.4,9.0,-0.8,9.450,5,
2022EE,InnerBarrel,0.4,9.0,-0.7,9.683,5,
2022EE,InnerBarrel,0.4,9.0,-0.6,9.972,5,
2022EE,InnerBarrel,0.4,9.0,-0.5,10.138,5,
2022EE,InnerBarrel,0.4,9.0,-0.4,10.276,5,
2022EE,InnerBarrel,0.4,9.0,-0.3,10.371,5,
2022EE,InnerBarrel,0.4,9.0,-0.2,10.540,5,
2022EE,InnerBarrel,0.4,9.0,-0.1,10.662,5,
2022EE,InnerBarrel,0.4,9.0,0.0,10.826,5,
2022EE,InnerBarrel,0.4,9.0,0.1,10.991,5,
2022EE,InnerBarrel,0.4,9.0,0.2,11.168,5,
2022EE,InnerBarrel,0.4,9.0,0.3,11.298,5,
2022EE,InnerBarrel,0.4,9.0,0.4,11.434,5,
2022EE,InnerBarrel,0.4,9.0,0.5,11.750,5,
2022EE,InnerBarrel,0.4,9.0,0.6,12.025,5,
2022EE,InnerBarrel,0.4,9.0,0.7,12.356,5,
2022EE,InnerBarrel,0.4,9.0,0.8,13.076,5,
2022EE,InnerBarrel,0.4,10.0,-0.8,9.727,5,
2022EE,InnerBarrel,0.4,10.0,-0.7,9.959,5,
2022EE,InnerBarrel,0.4,10.0,-0.6,10.238,5,
2022EE,InnerBarrel,0.4,10.0,-0.5,10.398,5,
2022EE,InnerBarrel,0.4,10.0,-0.4,10.540,5,
2022EE,InnerBarrel,0.4,10.0,-0.3,10.640,5,
2022EE,InnerBarrel,0.4,10.0,-0.2,10.805,5,
2022EE,InnerBarrel,0.4,10.0,-0.1,10.949,5,
2022EE,InnerBarrel,0.4,10.0,0.0,11.127,5,
2022EE,InnerBarrel,0.4,10.0,0.1,11.293,5,
2022EE,InnerBarrel,0.4,10.0,0.2,11.471,5,
2022EE,InnerBarrel,0.4,10.0,0.3,11.603,5,
2022EE,InnerBarrel,0.4,10.0,0.4,11.790,5,
2022EE,InnerBarrel,0.4,10.0,0.5,12.112,5,
2022EE,InnerBarrel,0.4,10.0,0.6,12.389,5,
2022EE,InnerBarrel,0.4,10.0,0.7,12.724,5,
2022EE,InnerBarrel,0.4,10.0,0.8,13.441,5,
2022EE,OuterBarrel,0.4,6.0,-0.8,6.779,5,BEST
2022EE,OuterBarrel,0.4,6.0,-0.7,6.807,5,
2022EE,OuterBarrel,0.4,6.0,-0.6,6.979,5,
2022EE,OuterBarrel,0.4,6.0,-0.5,7.139,5,
2022EE,OuterBarrel,0.4,6.0,-0.4,7.317,5,
2022EE,OuterBarrel,0.4,6.0,-0.3,7.513,5,
2022EE,OuterBarrel,0.4,6.0,-0.2,7.594,5,
2022EE,OuterBarrel,0.4,6.0,-0.1,7.833,5,
2022EE,OuterBarrel,0.4,6.0,0.0,7.958,5,
2022EE,OuterBarrel,0.4,6.0,0.1,8.164,5,
2022EE,OuterBarrel,0.4,6.0,0.2,8.371,5,
2022EE,OuterBarrel,0.4,6.0,0.3,8.493,5,
2022EE,OuterBarrel,0.4,6.0,0.4,8.736,5,
