Era,Region,miniIso_cut,sip3d_cut,optimization_metric,avg_significance,n_bins_used,recommendation
2022EE,InnerBarrel,0.4,4.0,5.518,0.552,10,BEST
2022EE,InnerBarrel,0.4,5.0,5.242,0.524,10,BEST
2022EE,InnerBarrel,0.4,6.0,4.982,0.498,10,BEST
2022EE,InnerBarrel,0.4,7.0,5.446,0.495,11,
2022EE,InnerBarrel,0.4,8.0,5.823,0.485,12,
2022EE,InnerBarrel,0.4,9.0,5.752,0.479,12,
2022EE,InnerBarrel,0.4,10.0,5.643,0.470,12,
2022EE,InnerBarrel,0.5,4.0,7.368,0.670,11,
2022EE,InnerBarrel,0.5,5.0,7.542,0.628,12,
2022EE,InnerBarrel,0.5,6.0,7.239,0.603,12,
2022EE,InnerBarrel,0.5,7.0,7.435,0.572,13,
2022EE,InnerBarrel,0.5,8.0,7.236,0.557,13,
2022EE,InnerBarrel,0.5,9.0,7.096,0.546,13,
2022EE,InnerBarrel,0.5,10.0,6.977,0.537,13,
2022EE,InnerBarrel,0.55,4.0,8.273,0.689,12,
2022EE,InnerBarrel,0.55,5.0,7.963,0.664,12,
2022EE,InnerBarrel,0.55,6.0,8.195,0.630,13,
2022EE,InnerBarrel,0.55,7.0,7.831,0.602,13,
2022EE,InnerBarrel,0.55,8.0,7.621,0.586,13,
2022EE,InnerBarrel,0.55,9.0,7.390,0.568,13,
2022EE,InnerBarrel,0.55,10.0,7.202,0.554,13,
2022EE,InnerBarrel,0.6,4.0,8.663,0.722,12,
2022EE,InnerBarrel,0.6,5.0,8.893,0.684,13,
2022EE,InnerBarrel,0.6,6.0,8.579,0.660,13,
2022EE,InnerBarrel,0.6,7.0,8.213,0.632,13,
2022EE,InnerBarrel,0.6,8.0,8.011,0.616,13,
2022EE,InnerBarrel,0.6,9.0,7.787,0.599,13,
2022EE,InnerBarrel,0.6,10.0,7.595,0.584,13,
2022EE,InnerBarrel,0.65,4.0,9.461,0.728,13,
2022EE,InnerBarrel,0.65,5.0,9.161,0.705,13,
2022EE,InnerBarrel,0.65,6.0,8.837,0.680,13,
2022EE,InnerBarrel,0.65,7.0,8.460,0.651,13,
2022EE,InnerBarrel,0.65,8.0,8.235,0.633,13,
2022EE,InnerBarrel,0.65,9.0,8.007,0.616,13,
2022EE,InnerBarrel,0.65,10.0,7.827,0.602,13,
2022EE,InnerBarrel,0.7,4.0,9.757,0.751,13,
2022EE,InnerBarrel,0.7,5.0,9.458,0.728,13,
2022EE,InnerBarrel,0.7,6.0,9.121,0.702,13,
2022EE,InnerBarrel,0.7,7.0,8.726,0.671,13,
2022EE,InnerBarrel,0.7,8.0,8.499,0.654,13,
2022EE,InnerBarrel,0.7,9.0,8.278,0.637,13,
2022EE,InnerBarrel,0.7,10.0,8.086,0.622,13,
2022EE,InnerBarrel,0.75,4.0,9.924,0.763,13,
2022EE,InnerBarrel,0.75,5.0,9.604,0.739,13,
2022EE,InnerBarrel,0.75,6.0,9.286,0.714,13,
2022EE,InnerBarrel,0.75,7.0,8.871,0.682,13,
2022EE,InnerBarrel,0.75,8.0,8.645,0.665,13,
2022EE,InnerBarrel,0.75,9.0,8.421,0.648,13,
2022EE,InnerBarrel,0.75,10.0,8.218,0.632,13,
2022EE,InnerBarrel,0.8,4.0,10.049,0.773,13,
2022EE,InnerBarrel,0.8,5.0,9.676,0.744,13,
2022EE,InnerBarrel,0.8,6.0,9.374,0.721,13,
2022EE,InnerBarrel,0.8,7.0,8.982,0.691,13,
2022EE,InnerBarrel,0.8,8.0,8.768,0.674,13,
2022EE,InnerBarrel,0.8,9.0,8.550,0.658,13,
2022EE,InnerBarrel,0.8,10.0,8.359,0.643,13,
2022EE,OuterBarrel,0.4,4.0,3.427,0.490,7,BEST
2022EE,OuterBarrel,0.4,5.0,3.264,0.408,8,BEST
2022EE,OuterBarrel,0.4,6.0,3.329,0.370,9,
2022EE,OuterBarrel,0.4,7.0,3.292,0.366,9,
2022EE,OuterBarrel,0.4,8.0,3.225,0.358,9,BEST
2022EE,OuterBarrel,0.4,9.0,3.191,0.355,9,BEST
2022EE,OuterBarrel,0.4,10.0,3.146,0.350,9,BEST
2022EE,OuterBarrel,0.5,4.0,4.618,0.513,9,
2022EE,OuterBarrel,0.5,5.0,4.158,0.462,9,
2022EE,OuterBarrel,0.5,6.0,3.969,0.441,9,
2022EE,OuterBarrel,0.5,7.0,3.769,0.419,9,
2022EE,OuterBarrel,0.5,8.0,3.552,0.395,9,
2022EE,OuterBarrel,0.5,9.0,3.469,0.347,10,
2022EE,OuterBarrel,0.5,10.0,3.407,0.341,10,
2022EE,OuterBarrel,0.55,4.0,4.950,0.550,9,
2022EE,OuterBarrel,0.55,5.0,4.489,0.499,9,
2022EE,OuterBarrel,0.55,6.0,4.273,0.475,9,
2022EE,OuterBarrel,0.55,7.0,4.073,0.453,9,
2022EE,OuterBarrel,0.55,8.0,3.944,0.394,10,
2022EE,OuterBarrel,0.55,9.0,4.296,0.391,11,
2022EE,OuterBarrel,0.55,10.0,4.145,0.377,11,
2022EE,OuterBarrel,0.6,4.0,5.397,0.600,9,
2022EE,OuterBarrel,0.6,5.0,4.888,0.543,9,
2022EE,OuterBarrel,0.6,6.0,4.647,0.516,9,
2022EE,OuterBarrel,0.6,7.0,4.986,0.453,11,
2022EE,OuterBarrel,0.6,8.0,4.769,0.434,11,
2022EE,OuterBarrel,0.6,9.0,4.719,0.393,12,
2022EE,OuterBarrel,0.6,10.0,4.588,0.382,12,
2022EE,OuterBarrel,0.65,4.0,5.612,0.624,9,
2022EE,OuterBarrel,0.65,5.0,5.120,0.569,9,
2022EE,OuterBarrel,0.65,6.0,5.378,0.489,11,
2022EE,OuterBarrel,0.65,7.0,5.168,0.470,11,
2022EE,OuterBarrel,0.65,8.0,5.074,0.423,12,
2022EE,OuterBarrel,0.65,9.0,4.924,0.410,12,
2022EE,OuterBarrel,0.65,10.0,4.783,0.399,12,
2022EE,OuterBarrel,0.7,4.0,5.896,0.655,9,
2022EE,OuterBarrel,0.7,5.0,5.862,0.533,11,
2022EE,OuterBarrel,0.7,6.0,5.633,0.512,11,
2022EE,OuterBarrel,0.7,7.0,5.502,0.458,12,
2022EE,OuterBarrel,0.7,8.0,5.287,0.441,12,
2022EE,OuterBarrel,0.7,9.0,5.160,0.397,13,
2022EE,OuterBarrel,0.7,10.0,5.011,0.385,13,
2022EE,OuterBarrel,0.75,4.0,6.190,0.619,10,
2022EE,OuterBarrel,0.75,5.0,6.096,0.554,11,
2022EE,OuterBarrel,0.75,6.0,5.864,0.489,12,
2022EE,OuterBarrel,0.75,7.0,5.679,0.473,12,
2022EE,OuterBarrel,0.75,8.0,5.442,0.419,13,
2022EE,OuterBarrel,0.75,9.0,5.242,0.403,13,
2022EE,OuterBarrel,0.75,10.0,5.112,0.393,13,
2022EE,OuterBarrel,0.8,4.0,6.756,0.614,11,
2022EE,OuterBarrel,0.8,5.0,6.289,0.524,12,
2022EE,OuterBarrel,0.8,6.0,6.025,0.502,12,
2022EE,OuterBarrel,0.8,7.0,5.880,0.452,13,
2022EE,OuterBarrel,0.8,8.0,5.622,0.432,13,
2022EE,OuterBarrel,0.8,9.0,5.407,0.416,13,
2022EE,OuterBarrel,0.8,10.0,5.270,0.405,13,
2022EE,Endcap,0.4,4.0,2.092,0.418,5,BEST
2022EE,Endcap,0.4,5.0,1.866,0.373,5,BEST
2022EE,Endcap,0.4,6.0,1.900,0.317,6,
2022EE,Endcap,0.4,7.0,2.100,0.300,7,
2022EE,Endcap,0.4,8.0,2.143,0.306,7,
2022EE,Endcap,0.4,9.0,2.140,0.306,7,
2022EE,Endcap,0.4,10.0,2.218,0.317,7,
2022EE,Endcap,0.5,4.0,2.420,0.484,5,
2022EE,Endcap,0.5,5.0,2.639,0.377,7,
2022EE,Endcap,0.5,6.0,2.515,0.359,7,
2022EE,Endcap,0.5,7.0,2.183,0.312,7,
2022EE,Endcap,0.5,8.0,2.101,0.300,7,
2022EE,Endcap,0.5,9.0,2.051,0.293,7,
2022EE,Endcap,0.5,10.0,2.065,0.295,7,
2022EE,Endcap,0.55,4.0,2.596,0.433,6,
2022EE,Endcap,0.55,5.0,2.703,0.386,7,
2022EE,Endcap,0.55,6.0,2.602,0.372,7,
2022EE,Endcap,0.55,7.0,2.280,0.326,7,
2022EE,Endcap,0.55,8.0,2.182,0.312,7,
2022EE,Endcap,0.55,9.0,2.107,0.301,7,
2022EE,Endcap,0.55,10.0,2.322,0.290,8,
2022EE,Endcap,0.6,4.0,3.252,0.465,7,
2022EE,Endcap,0.6,5.0,2.816,0.402,7,
2022EE,Endcap,0.6,6.0,2.701,0.386,7,
2022EE,Endcap,0.6,7.0,2.504,0.313,8,
2022EE,Endcap,0.6,8.0,2.401,0.300,8,
