Era,Region,miniIso_cut,sip3d_cut,optimization_metric,avg_significance,n_bins_used,recommendation
2022,InnerBarrel,0.4,4.0,1.789,0.447,4,BEST
2022,InnerBarrel,0.4,5.0,1.679,0.420,4,BEST
2022,InnerBarrel,0.4,6.0,1.804,0.361,5,
2022,InnerBarrel,0.4,7.0,1.632,0.326,5,BEST
2022,InnerBarrel,0.4,8.0,1.563,0.260,6,BEST
2022,InnerBarrel,0.4,9.0,1.447,0.241,6,BEST
2022,InnerBarrel,0.4,10.0,1.381,0.230,6,BEST
2022,InnerBarrel,0.5,4.0,2.638,0.528,5,
2022,InnerBarrel,0.5,5.0,2.477,0.413,6,
2022,InnerBarrel,0.5,6.0,2.386,0.398,6,
2022,InnerBarrel,0.5,7.0,2.225,0.318,7,
2022,InnerBarrel,0.5,8.0,2.102,0.300,7,
2022,InnerBarrel,0.5,9.0,2.255,0.282,8,
2022,InnerBarrel,0.5,10.0,2.187,0.273,8,
2022,InnerBarrel,0.55,4.0,3.197,0.533,6,
2022,InnerBarrel,0.55,5.0,2.871,0.478,6,
2022,InnerBarrel,0.55,6.0,2.958,0.370,8,
2022,InnerBarrel,0.55,7.0,2.811,0.351,8,
2022,InnerBarrel,0.55,8.0,2.645,0.331,8,
2022,InnerBarrel,0.55,9.0,2.531,0.316,8,
2022,InnerBarrel,0.55,10.0,2.395,0.299,8,
2022,InnerBarrel,0.6,4.0,3.430,0.572,6,
2022,InnerBarrel,0.6,5.0,3.111,0.518,6,
2022,InnerBarrel,0.6,6.0,3.210,0.401,8,
2022,InnerBarrel,0.6,7.0,3.069,0.384,8,
2022,InnerBarrel,0.6,8.0,2.903,0.363,8,
2022,InnerBarrel,0.6,9.0,2.784,0.348,8,
2022,InnerBarrel,0.6,10.0,2.630,0.329,8,
2022,InnerBarrel,0.65,4.0,3.733,0.622,6,
2022,InnerBarrel,0.65,5.0,3.633,0.454,8,
2022,InnerBarrel,0.65,6.0,3.475,0.434,8,
2022,InnerBarrel,0.65,7.0,3.333,0.417,8,
2022,InnerBarrel,0.65,8.0,3.176,0.397,8,
2022,InnerBarrel,0.65,9.0,3.065,0.383,8,
2022,InnerBarrel,0.65,10.0,2.903,0.363,8,
2022,InnerBarrel,0.7,4.0,4.025,0.575,7,
2022,InnerBarrel,0.7,5.0,3.869,0.484,8,
2022,InnerBarrel,0.7,6.0,3.741,0.468,8,
2022,InnerBarrel,0.7,7.0,3.555,0.444,8,
2022,InnerBarrel,0.7,8.0,3.396,0.425,8,
2022,InnerBarrel,0.7,9.0,3.539,0.393,9,
2022,InnerBarrel,0.7,10.0,3.364,0.374,9,
2022,InnerBarrel,0.75,4.0,4.353,0.622,7,
2022,InnerBarrel,0.75,5.0,4.178,0.522,8,
2022,InnerBarrel,0.75,6.0,4.030,0.504,8,
2022,InnerBarrel,0.75,7.0,3.833,0.479,8,
2022,InnerBarrel,0.75,8.0,3.872,0.430,9,
2022,InnerBarrel,0.75,9.0,3.769,0.419,9,
2022,InnerBarrel,0.75,10.0,3.575,0.397,9,
2022,InnerBarrel,0.8,4.0,4.815,0.602,8,
2022,InnerBarrel,0.8,5.0,4.408,0.551,8,
2022,InnerBarrel,0.8,6.0,4.232,0.529,8,
2022,InnerBarrel,0.8,7.0,4.241,0.471,9,
2022,InnerBarrel,0.8,8.0,4.390,0.439,10,
2022,InnerBarrel,0.8,9.0,4.272,0.427,10,
2022,InnerBarrel,0.8,10.0,4.077,0.408,10,
2022,OuterBarrel,0.4,4.0,1.362,0.681,2,
2022,OuterBarrel,0.4,5.0,1.265,0.632,2,
2022,OuterBarrel,0.4,6.0,1.756,0.585,3,BEST
2022,OuterBarrel,0.4,7.0,1.657,0.552,3,BEST
2022,OuterBarrel,0.4,8.0,1.562,0.521,3,BEST
2022,OuterBarrel,0.4,9.0,1.794,0.448,4,
2022,OuterBarrel,0.4,10.0,1.716,0.429,4,
2022,OuterBarrel,0.5,4.0,2.234,0.745,3,
2022,OuterBarrel,0.5,5.0,2.091,0.523,4,
2022,OuterBarrel,0.5,6.0,2.140,0.535,4,
2022,OuterBarrel,0.5,7.0,2.075,0.519,4,
2022,OuterBarrel,0.5,8.0,2.403,0.481,5,
2022,OuterBarrel,0.5,9.0,2.336,0.467,5,
2022,OuterBarrel,0.5,10.0,2.257,0.451,5,
2022,OuterBarrel,0.55,4.0,2.393,0.598,4,
2022,OuterBarrel,0.55,5.0,2.159,0.540,4,
2022,OuterBarrel,0.55,6.0,2.216,0.554,4,
2022,OuterBarrel,0.55,7.0,2.492,0.498,5,
2022,OuterBarrel,0.55,8.0,2.434,0.487,5,
2022,OuterBarrel,0.55,9.0,2.384,0.477,5,
2022,OuterBarrel,0.55,10.0,2.303,0.461,5,
2022,OuterBarrel,0.6,4.0,2.642,0.660,4,
2022,OuterBarrel,0.6,5.0,2.408,0.602,4,
2022,OuterBarrel,0.6,6.0,2.317,0.579,4,
2022,OuterBarrel,0.6,7.0,2.500,0.500,5,
2022,OuterBarrel,0.6,8.0,2.417,0.483,5,
2022,OuterBarrel,0.6,9.0,2.378,0.476,5,
2022,OuterBarrel,0.6,10.0,2.307,0.461,5,
2022,OuterBarrel,0.65,4.0,2.739,0.685,4,
2022,OuterBarrel,0.65,5.0,2.778,0.556,5,
2022,OuterBarrel,0.65,6.0,2.746,0.549,5,
2022,OuterBarrel,0.65,7.0,2.561,0.512,5,
2022,OuterBarrel,0.65,8.0,2.382,0.476,5,
2022,OuterBarrel,0.65,9.0,2.344,0.469,5,
2022,OuterBarrel,0.65,10.0,2.276,0.455,5,
2022,OuterBarrel,0.7,4.0,2.906,0.726,4,
2022,OuterBarrel,0.7,5.0,2.919,0.584,5,
2022,OuterBarrel,0.7,6.0,2.867,0.573,5,
2022,OuterBarrel,0.7,7.0,2.696,0.539,5,
2022,OuterBarrel,0.7,8.0,2.508,0.502,5,
2022,OuterBarrel,0.7,9.0,2.443,0.489,5,
2022,OuterBarrel,0.7,10.0,2.358,0.472,5,
2022,OuterBarrel,0.75,4.0,3.024,0.756,4,
2022,OuterBarrel,0.75,5.0,3.025,0.605,5,
2022,OuterBarrel,0.75,6.0,2.963,0.593,5,
2022,OuterBarrel,0.75,7.0,2.793,0.559,5,
2022,OuterBarrel,0.75,8.0,2.605,0.521,5,
2022,OuterBarrel,0.75,9.0,2.533,0.507,5,
2022,OuterBarrel,0.75,10.0,2.394,0.479,5,
2022,OuterBarrel,0.8,4.0,3.231,0.646,5,
2022,OuterBarrel,0.8,5.0,3.066,0.613,5,
2022,OuterBarrel,0.8,6.0,2.994,0.599,5,
2022,OuterBarrel,0.8,7.0,2.821,0.564,5,
2022,OuterBarrel,0.8,8.0,2.742,0.457,6,
2022,OuterBarrel,0.8,9.0,2.703,0.386,7,
2022,OuterBarrel,0.8,10.0,2.534,0.362,7,
2022,Endcap,0.4,4.0,0.667,0.667,1,
2022,Endcap,0.4,5.0,0.837,0.419,2,
2022,Endcap,0.4,6.0,0.794,0.397,2,
2022,Endcap,0.4,7.0,0.605,0.302,2,
2022,Endcap,0.4,8.0,0.544,0.272,2,
2022,Endcap,0.4,9.0,0.425,0.213,2,
2022,Endcap,0.4,10.0,0.822,0.274,3,BEST
2022,Endcap,0.5,4.0,0.925,0.462,2,
2022,Endcap,0.5,5.0,0.937,0.469,2,
2022,Endcap,0.5,6.0,0.915,0.458,2,
2022,Endcap,0.5,7.0,0.976,0.325,3,
2022,Endcap,0.5,8.0,0.981,0.327,3,
2022,Endcap,0.5,9.0,0.883,0.294,3,
2022,Endcap,0.5,10.0,0.878,0.293,3,
2022,Endcap,0.55,4.0,1.048,0.524,2,
2022,Endcap,0.55,5.0,1.040,0.520,2,
2022,Endcap,0.55,6.0,1.010,0.505,2,
2022,Endcap,0.55,7.0,1.050,0.350,3,
2022,Endcap,0.55,8.0,1.038,0.346,3,
2022,Endcap,0.55,9.0,0.955,0.318,3,
2022,Endcap,0.55,10.0,0.955,0.318,3,
2022,Endcap,0.6,4.0,1.100,0.550,2,
2022,Endcap,0.6,5.0,1.082,0.541,2,
2022,Endcap,0.6,6.0,1.290,0.430,3,
2022,Endcap,0.6,7.0,1.078,0.359,3,
2022,Endcap,0.6,8.0,1.049,0.350,3,
2022,Endcap,0.6,9.0,0.965,0.322,3,
2022,Endcap,0.6,10.0,0.964,0.321,3,
2022,Endcap,0.65,4.0,1.157,0.579,2,
2022,Endcap,0.65,5.0,1.263,0.421,3,
2022,Endcap,0.65,6.0,1.233,0.411,3,
2022,Endcap,0.65,7.0,1.026,0.342,3,
2022,Endcap,0.65,8.0,1.028,0.343,3,
2022,Endcap,0.65,9.0,0.945,0.315,3,
2022,Endcap,0.65,10.0,0.945,0.315,3,
2022,Endcap,0.7,4.0,1.184,0.592,2,
