Era,Region,miniIso_cut,sip3d_cut,mva_cut,optimization_metric,n_bins_used,recommendation
2023,InnerBarrel,0.4,6.0,-0.8,5.536,5,BEST
2023,InnerBarrel,0.4,6.0,-0.7,5.489,5,BEST
2023,InnerBarrel,0.4,6.0,-0.6,5.323,5,BEST
2023,InnerBarrel,0.4,6.0,-0.5,5.204,5,BEST
2023,InnerBarrel,0.4,6.0,-0.4,4.348,4,BEST
2023,InnerBarrel,0.4,6.0,-0.3,4.320,4,BEST
2023,InnerBarrel,0.4,6.0,-0.2,3.652,3,BEST
2023,InnerBarrel,0.4,6.0,-0.1,3.515,3,BEST
2023,InnerBarrel,0.4,6.0,0.0,3.449,3,BEST
2023,InnerBarrel,0.4,6.0,0.1,3.398,3,BEST
2023,InnerBarrel,0.4,6.0,0.2,3.250,3,BEST
2023,InnerBarrel,0.4,6.0,0.3,3.194,3,BEST
2023,InnerBarrel,0.4,6.0,0.4,3.108,3,BEST
2023,InnerBarrel,0.4,6.0,0.5,2.938,3,BEST
2023,InnerBarrel,0.4,6.0,0.6,2.793,3,BEST
2023,InnerBarrel,0.4,6.0,0.7,2.813,3,
2023,InnerBarrel,0.4,6.0,0.8,2.739,3,BEST
2023,InnerBarrel,0.4,7.0,-0.8,5.389,5,
2023,InnerBarrel,0.4,7.0,-0.7,5.338,5,
2023,InnerBarrel,0.4,7.0,-0.6,5.194,5,
2023,InnerBarrel,0.4,7.0,-0.5,5.103,5,
2023,InnerBarrel,0.4,7.0,-0.4,5.069,5,
2023,InnerBarrel,0.4,7.0,-0.3,5.055,5,
2023,InnerBarrel,0.4,7.0,-0.2,5.059,5,
2023,InnerBarrel,0.4,7.0,-0.1,4.993,5,
2023,InnerBarrel,0.4,7.0,0.0,4.049,4,
2023,InnerBarrel,0.4,7.0,0.1,3.068,3,
2023,InnerBarrel,0.4,7.0,0.2,2.929,3,
2023,InnerBarrel,0.4,7.0,0.3,2.877,3,
2023,InnerBarrel,0.4,7.0,0.4,2.808,3,
2023,InnerBarrel,0.4,7.0,0.5,2.706,3,BEST
2023,InnerBarrel,0.4,7.0,0.6,2.620,3,BEST
2023,InnerBarrel,0.4,7.0,0.7,2.735,3,
2023,InnerBarrel,0.4,7.0,0.8,2.946,3,
2023,InnerBarrel,0.4,8.0,-0.8,5.154,5,
2023,InnerBarrel,0.4,8.0,-0.7,5.116,5,
2023,InnerBarrel,0.4,8.0,-0.6,5.036,5,
2023,InnerBarrel,0.4,8.0,-0.5,4.945,5,
2023,InnerBarrel,0.4,8.0,-0.4,4.911,5,
2023,InnerBarrel,0.4,8.0,-0.3,4.900,5,
2023,InnerBarrel,0.4,8.0,-0.2,4.907,5,
2023,InnerBarrel,0.4,8.0,-0.1,4.861,5,
2023,InnerBarrel,0.4,8.0,0.0,4.905,5,
2023,InnerBarrel,0.4,8.0,0.1,4.966,5,
2023,InnerBarrel,0.4,8.0,0.2,4.930,5,
2023,InnerBarrel,0.4,8.0,0.3,5.002,5,
2023,InnerBarrel,0.4,8.0,0.4,3.843,4,
2023,InnerBarrel,0.4,8.0,0.5,2.628,3,
2023,InnerBarrel,0.4,8.0,0.6,2.573,3,BEST
2023,InnerBarrel,0.4,8.0,0.7,2.773,3,
2023,InnerBarrel,0.4,8.0,0.8,3.087,3,
2023,InnerBarrel,0.4,9.0,-0.8,5.060,5,
2023,InnerBarrel,0.4,9.0,-0.7,5.054,5,
2023,InnerBarrel,0.4,9.0,-0.6,4.982,5,
2023,InnerBarrel,0.4,9.0,-0.5,4.893,5,
2023,InnerBarrel,0.4,9.0,-0.4,4.858,5,
2023,InnerBarrel,0.4,9.0,-0.3,4.864,5,
2023,InnerBarrel,0.4,9.0,-0.2,4.888,5,
2023,InnerBarrel,0.4,9.0,-0.1,4.859,5,
2023,InnerBarrel,0.4,9.0,0.0,4.901,5,
2023,InnerBarrel,0.4,9.0,0.1,5.000,5,
2023,InnerBarrel,0.4,9.0,0.2,5.054,5,
2023,InnerBarrel,0.4,9.0,0.3,5.160,5,
2023,InnerBarrel,0.4,9.0,0.4,5.277,5,
2023,InnerBarrel,0.4,9.0,0.5,3.928,4,
2023,InnerBarrel,0.4,9.0,0.6,2.676,3,
2023,InnerBarrel,0.4,9.0,0.7,2.935,3,
2023,InnerBarrel,0.4,9.0,0.8,3.245,3,
2023,InnerBarrel,0.4,10.0,-0.8,5.010,5,
2023,InnerBarrel,0.4,10.0,-0.7,5.003,5,
2023,InnerBarrel,0.4,10.0,-0.6,4.931,5,
2023,InnerBarrel,0.4,10.0,-0.5,4.847,5,
2023,InnerBarrel,0.4,10.0,-0.4,4.837,5,
2023,InnerBarrel,0.4,10.0,-0.3,4.849,5,
2023,InnerBarrel,0.4,10.0,-0.2,4.873,5,
2023,InnerBarrel,0.4,10.0,-0.1,4.890,5,
2023,InnerBarrel,0.4,10.0,0.0,4.977,5,
2023,InnerBarrel,0.4,10.0,0.1,5.094,5,
2023,InnerBarrel,0.4,10.0,0.2,5.159,5,
2023,InnerBarrel,0.4,10.0,0.3,5.263,5,
2023,InnerBarrel,0.4,10.0,0.4,5.386,5,
2023,InnerBarrel,0.4,10.0,0.5,4.017,4,
2023,InnerBarrel,0.4,10.0,0.6,4.142,4,
2023,InnerBarrel,0.4,10.0,0.7,4.466,4,
2023,InnerBarrel,0.4,10.0,0.8,3.323,3,
2023,OuterBarrel,0.4,6.0,-0.8,2.687,2,
2023,OuterBarrel,0.4,6.0,-0.7,2.341,2,
2023,OuterBarrel,0.4,6.0,-0.6,2.055,2,
2023,OuterBarrel,0.4,6.0,-0.5,1.952,2,
2023,OuterBarrel,0.4,6.0,-0.4,1.927,2,
2023,OuterBarrel,0.4,6.0,-0.3,1.871,2,
2023,OuterBarrel,0.4,6.0,-0.2,1.813,2,
2023,OuterBarrel,0.4,6.0,-0.1,1.761,2,
2023,OuterBarrel,0.4,6.0,0.0,1.721,2,
2023,OuterBarrel,0.4,6.0,0.1,1.636,2,
2023,OuterBarrel,0.4,6.0,0.2,1.631,2,
2023,OuterBarrel,0.4,6.0,0.3,1.587,2,
2023,OuterBarrel,0.4,6.0,0.4,1.581,2,
2023,OuterBarrel,0.4,6.0,0.5,1.540,2,
2023,OuterBarrel,0.4,6.0,0.6,1.577,2,
2023,OuterBarrel,0.4,6.0,0.7,0.658,1,
2023,OuterBarrel,0.4,6.0,0.8,0.593,1,
2023,OuterBarrel,0.4,7.0,-0.8,2.251,2,
2023,OuterBarrel,0.4,7.0,-0.7,2.006,2,
2023,OuterBarrel,0.4,7.0,-0.6,1.915,2,
2023,OuterBarrel,0.4,7.0,-0.5,1.861,2,
2023,OuterBarrel,0.4,7.0,-0.4,1.836,2,
2023,OuterBarrel,0.4,7.0,-0.3,1.799,2,
2023,OuterBarrel,0.4,7.0,-0.2,1.736,2,
2023,OuterBarrel,0.4,7.0,-0.1,1.686,2,
2023,OuterBarrel,0.4,7.0,0.0,1.646,2,
2023,OuterBarrel,0.4,7.0,0.1,1.565,2,
2023,OuterBarrel,0.4,7.0,0.2,1.567,2,
2023,OuterBarrel,0.4,7.0,0.3,1.531,2,
2023,OuterBarrel,0.4,7.0,0.4,1.524,2,
2023,OuterBarrel,0.4,7.0,0.5,1.489,2,
2023,OuterBarrel,0.4,7.0,0.6,1.547,2,
2023,OuterBarrel,0.4,7.0,0.7,1.574,2,
2023,OuterBarrel,0.4,7.0,0.8,1.645,2,
2023,OuterBarrel,0.4,8.0,-0.8,3.294,3,BEST
2023,OuterBarrel,0.4,8.0,-0.7,3.296,3,
2023,OuterBarrel,0.4,8.0,-0.6,1.868,2,
2023,OuterBarrel,0.4,8.0,-0.5,1.818,2,
2023,OuterBarrel,0.4,8.0,-0.4,1.788,2,
2023,OuterBarrel,0.4,8.0,-0.3,1.751,2,
2023,OuterBarrel,0.4,8.0,-0.2,1.690,2,
2023,OuterBarrel,0.4,8.0,-0.1,1.640,2,
2023,OuterBarrel,0.4,8.0,0.0,1.602,2,
2023,OuterBarrel,0.4,8.0,0.1,1.521,2,
2023,OuterBarrel,0.4,8.0,0.2,1.523,2,
2023,OuterBarrel,0.4,8.0,0.3,1.488,2,
2023,OuterBarrel,0.4,8.0,0.4,1.479,2,
2023,OuterBarrel,0.4,8.0,0.5,1.469,2,
2023,OuterBarrel,0.4,8.0,0.6,1.546,2,
2023,OuterBarrel,0.4,8.0,0.7,1.575,2,
2023,OuterBarrel,0.4,8.0,0.8,1.658,2,
2023,OuterBarrel,0.4,9.0,-0.8,3.363,3,
2023,OuterBarrel,0.4,9.0,-0.7,3.362,3,
2023,OuterBarrel,0.4,9.0,-0.6,3.358,3,
2023,OuterBarrel,0.4,9.0,-0.5,3.341,3,
2023,OuterBarrel,0.4,9.0,-0.4,3.367,3,
2023,OuterBarrel,0.4,9.0,-0.3,3.381,3,
2023,OuterBarrel,0.4,9.0,-0.2,1.667,2,
2023,OuterBarrel,0.4,9.0,-0.1,1.618,2,
2023,OuterBarrel,0.4,9.0,0.0,1.580,2,
2023,OuterBarrel,0.4,9.0,0.1,1.502,2,
2023,OuterBarrel,0.4,9.0,0.2,1.501,2,
2023,OuterBarrel,0.4,9.0,0.3,1.468,2,
2023,OuterBarrel,0.4,9.0,0.4,1.460,2,
2023,OuterBarrel,0.4,9.0,0.5,1.460,2,
2023,OuterBarrel,0.4,9.0,0.6,1.541,2,
2023,OuterBarrel,0.4,9.0,0.7,1.569,2,
2023,OuterBarrel,0.4,9.0,0.8,1.713,2,
2023,OuterBarrel,0.4,10.0,-0.8,3.404,3,
2023,OuterBarrel,0.4,10.0,-0.7,3.407,3,
2023,OuterBarrel,0.4,10.0,-0.6,3.403,3,
2023,OuterBarrel,0.4,10.0,-0.5,3.386,3,
2023,OuterBarrel,0.4,10.0,-0.4,3.411,3,
2023,OuterBarrel,0.4,10.0,-0.3,3.424,3,
2023,OuterBarrel,0.4,10.0,-0.2,3.405,3,
2023,OuterBarrel,0.4,10.0,-0.1,3.398,3,
2023,OuterBarrel,0.4,10.0,0.0,3.398,3,
2023,OuterBarrel,0.4,10.0,0.1,3.352,3,
2023,OuterBarrel,0.4,10.0,0.2,1.476,2,
2023,OuterBarrel,0.4,10.0,0.3,1.443,2,
2023,OuterBarrel,0.4,10.0,0.4,1.445,2,
2023,OuterBarrel,0.4,10.0,0.5,1.449,2,
2023,OuterBarrel,0.4,10.0,0.6,1.529,2,
2023,OuterBarrel,0.4,10.0,0.7,1.561,2,
2023,OuterBarrel,0.4,10.0,0.8,1.840,2,
2023,Endcap,0.4,6.0,-0.8,4.873,3,BEST
2023,Endcap,0.4,6.0,-0.7,4.270,3,BEST
2023,Endcap,0.4,6.0,-0.6,3.809,3,BEST
2023,Endcap,0.4,6.0,-0.5,3.374,3,BEST
2023,Endcap,0.4,6.0,-0.4,3.061,3,BEST
