Era,Region,LeptonType,miniIso_cut,sip3d_cut,Efficiency,Efficiency_Error,Pass_Events,Total_Events
2023BPix,InnerBarrel,prompt,0.05,2.0,0.8025619581575603,0.002151193343234295,27480.781857425434,34241.32128130394
2023BPix,InnerBarrel,prompt,0.05,3.0,0.898093524983434,0.0016348820103920412,30751.908929616533,34241.32128130394
2023BPix,InnerBarrel,prompt,0.05,4.0,0.9185929698163321,0.001477805427086473,31453.83700622816,34241.32128130394
2023BPix,InnerBarrel,prompt,0.05,5.0,0.9244189801314654,0.0014284516450804579,31653.327297216834,34241.32128130394
2023BPix,InnerBarrel,prompt,0.05,6.0,0.9269362483085185,0.0014063734528996182,31739.52188561851,34241.32128130394
2023BPix,InnerBarrel,prompt,0.05,7.0,0.9283183079860462,0.0013940467058822187,31786.845435066673,34241.32128130394
2023BPix,InnerBarrel,prompt,0.05,8.0,0.9291835670163976,0.0013862530885744738,31816.473047516483,34241.32128130394
2023BPix,InnerBarrel,prompt,0.08,2.0,0.8313847964133451,0.0020233645999099673,28467.71392238082,34241.32128130394
2023BPix,InnerBarrel,prompt,0.08,3.0,0.930096295897543,0.001377966928763994,31847.726090378506,34241.32128130394
2023BPix,InnerBarrel,prompt,0.08,4.0,0.9512244878612444,0.0011640380394136447,32571.18329950067,34241.32128130394
2023BPix,InnerBarrel,prompt,0.08,5.0,0.9572466670903873,0.0010932554787171803,32777.39067329935,34241.32128130394
2023BPix,InnerBarrel,prompt,0.08,6.0,0.959830320760623,0.001061136265178347,32865.85838870151,34241.32128130394
2023BPix,InnerBarrel,prompt,0.08,7.0,0.9612547769987927,0.0010429250062075303,32914.633652403834,34241.32128130394
2023BPix,InnerBarrel,prompt,0.08,8.0,0.9621439234254003,0.00103136541516056,32945.07920086343,34241.32128130394
2023BPix,InnerBarrel,prompt,0.09,2.0,0.8368205071779243,0.001996979880707358,28653.839841063018,34241.32128130394
2023BPix,InnerBarrel,prompt,0.09,3.0,0.9361394954698221,0.001321329708183136,32054.653228499956,34241.32128130394
2023BPix,InnerBarrel,prompt,0.09,4.0,0.9573755167858048,0.001091680277856046,32781.802657117136,34241.32128130394
2023BPix,InnerBarrel,prompt,0.09,5.0,0.9634308504459251,0.001014360776455196,32989.14528243881,34241.32128130394
2023BPix,InnerBarrel,prompt,0.09,6.0,0.9660313022020849,0.0009789483785660922,33078.18818649801,34241.32128130394
2023BPix,InnerBarrel,prompt,0.09,7.0,0.9674597583333272,0.0009588520132497137,33127.100411824125,34241.32128130394
2023BPix,InnerBarrel,prompt,0.09,8.0,0.9683539954458096,0.0009460220524315861,33157.7202720943,34241.32128130394
2023BPix,InnerBarrel,prompt,0.1,2.0,0.8408304817861887,0.0019770102330573074,28791.14666995447,34241.32128130394
2023BPix,InnerBarrel,prompt,0.1,3.0,0.9405931996109919,0.0012774495011654858,32207.15394288962,34241.32128130394
2023BPix,InnerBarrel,prompt,0.1,4.0,0.961926244793139,0.0010342094132674846,32937.6255968801,34241.32128130394
2023BPix,InnerBarrel,prompt,0.1,5.0,0.9680072827382425,0.0009510199315547956,33145.84837088219,34241.32128130394
2023BPix,InnerBarrel,prompt,0.1,6.0,0.9706191764468179,0.0009126014593241962,33235.283062510134,34241.32128130394
2023BPix,InnerBarrel,prompt,0.1,7.0,0.9720549161208869,0.0008906823616342248,33284.44468596624,34241.32128130394
2023BPix,InnerBarrel,prompt,0.1,8.0,0.9729540338110256,0.000876641759122207,33315.23166366399,34241.32128130394
2023BPix,InnerBarrel,prompt,0.11,2.0,0.8441274290980072,0.001960259639750705,28904.038502105977,34241.32128130394
2023BPix,InnerBarrel,prompt,0.11,3.0,0.9442312726194311,0.0012401074021832748,32331.72636961643,34241.32128130394
2023BPix,InnerBarrel,prompt,0.11,4.0,0.9656360405618767,0.0009844259986544774,33064.65390568547,34241.32128130394
2023BPix,InnerBarrel,prompt,0.11,5.0,0.9717402172411591,0.0008955384576924873,33273.66898051862,34241.32128130394
2023BPix,InnerBarrel,prompt,0.11,6.0,0.9743592529208089,0.0008541804690122278,33363.34822267271,34241.32128130394
2023BPix,InnerBarrel,prompt,0.11,7.0,0.97580038139922,0.0008304423621870506,33412.694365909614,34241.32128130394
2023BPix,InnerBarrel,prompt,0.11,8.0,0.9767011784140975,0.0008152157776851684,33443.53884590528,34241.32128130394
2023BPix,InnerBarrel,prompt,0.12,2.0,0.8466303882807661,0.0019473379524222643,28989.743131636817,34241.32128130394
2023BPix,InnerBarrel,prompt,0.12,3.0,0.9470170126656556,0.0012105196786710852,32427.1137895454,34241.32128130394
2023BPix,InnerBarrel,prompt,0.12,4.0,0.9684639439898634,0.0009444308394724632,33161.48505551566,34241.32128130394
2023BPix,InnerBarrel,prompt,0.12,5.0,0.9745808916424389,0.000850577411162996,33370.93742534841,34241.32128130394
2023BPix,InnerBarrel,prompt,0.12,6.0,0.9772043141886465,0.0008065731520513597,33460.76687960973,34241.32128130394
2023BPix,InnerBarrel,prompt,0.12,7.0,0.9786456392994595,0.0007812333281944862,33510.11975579988,34241.32128130394
2023BPix,InnerBarrel,prompt,0.12,8.0,0.9795465961129108,0.0007649271744870903,33540.96970750985,34241.32128130394
2023BPix,InnerBarrel,prompt,0.13,2.0,0.8486948171560788,0.001936544227738894,29060.4319040188,34241.32128130394
2023BPix,InnerBarrel,prompt,0.13,3.0,0.9493014751828668,0.0011855625766920136,32505.336804552324,34241.32128130394
2023BPix,InnerBarrel,prompt,0.13,4.0,0.9707890970572313,0.0009100383170601477,33241.10136872361,34241.32128130394
2023BPix,InnerBarrel,prompt,0.13,5.0,0.9769108149980394,0.0008116270320946005,33450.717079528345,34241.32128130394
2023BPix,InnerBarrel,prompt,0.13,6.0,0.979536123407827,0.0007651188911755466,33540.61110825039,34241.32128130394
2023BPix,InnerBarrel,prompt,0.13,7.0,0.9809807804224574,0.0007381614118213546,33590.07807322964,34241.32128130394
2023BPix,InnerBarrel,prompt,0.13,8.0,0.9818823732664951,0.0007207839848892433,33620.94980346726,34241.32128130394
2023BPix,InnerBarrel,conv,0.05,2.0,0.48252623677508993,0.12640247091157178,7.540828662109561,15.627810650272295
2023BPix,InnerBarrel,conv,0.05,3.0,0.5950582604982644,0.12417293487407809,9.299457820947282,15.627810650272295
2023BPix,InnerBarrel,conv,0.05,4.0,0.6168513619473531,0.12297726686825146,9.640036283875816,15.627810650272295
2023BPix,InnerBarrel,conv,0.05,5.0,0.6271896714668758,0.12231911958230762,9.801601427490823,15.627810650272295
2023BPix,InnerBarrel,conv,0.05,6.0,0.6290251934363638,0.12219604738170466,9.830286617274396,15.627810650272295
2023BPix,InnerBarrel,conv,0.05,7.0,0.6290251934363638,0.12219604738170466,9.830286617274396,15.627810650272295
2023BPix,InnerBarrel,conv,0.05,8.0,0.6312108421401124,0.12204703327479091,9.864443521364592,15.627810650272295
2023BPix,InnerBarrel,conv,0.08,2.0,0.5458675001642969,0.12594642378003368,8.530713932705112,15.627810650272295
2023BPix,InnerBarrel,conv,0.08,3.0,0.6624444241464854,0.1196184848976836,10.352556026889943,15.627810650272295
2023BPix,InnerBarrel,conv,0.08,4.0,0.6843622282150895,0.1175678104150217,10.695083318743855,15.627810650272295
2023BPix,InnerBarrel,conv,0.08,5.0,0.6947005377346122,0.11649647028313426,10.856648462358862,15.627810650272295
2023BPix,InnerBarrel,conv,0.08,6.0,0.6965360597041002,0.11629907978402591,10.885333652142435,15.627810650272295
2023BPix,InnerBarrel,conv,0.08,7.0,0.6965360597041002,0.11629907978402591,10.885333652142435,15.627810650272295
2023BPix,InnerBarrel,conv,0.08,8.0,0.6987217084078488,0.11606117630852299,10.919490556232631,15.627810650272295
2023BPix,InnerBarrel,conv,0.09,2.0,0.5568940628801128,0.12565825030207736,8.703034966951236,15.627810650272295
2023BPix,InnerBarrel,conv,0.09,3.0,0.6734709868623014,0.118623644579351,10.524877061136067,15.627810650272295
2023BPix,InnerBarrel,conv,0.09,4.0,0.6953887909309054,0.1164227123210268,10.867404352989979,15.627810650272295
2023BPix,InnerBarrel,conv,0.09,5.0,0.7057271004504282,0.11527747664118365,11.028969496604986,15.627810650272295
2023BPix,InnerBarrel,conv,0.09,6.0,0.7075626224199161,0.11506674063824776,11.05765468638856,15.627810650272295
2023BPix,InnerBarrel,conv,0.09,7.0,0.7075626224199161,0.11506674063824776,11.05765468638856,15.627810650272295
