Era,Region,miniIso_cut,sip3d_cut,mva_cut,optimization_metric,n_bins_used,recommendation
2023BPix,InnerBarrel,0.4,8.0,-0.8,4.961,5,
2023BPix,InnerBarrel,0.4,8.0,-0.7,4.893,5,
2023BPix,InnerBarrel,0.4,8.0,-0.6,4.370,4,
2023BPix,InnerBarrel,0.4,8.0,-0.5,4.348,4,
2023BPix,InnerBarrel,0.4,8.0,-0.4,4.317,4,
2023BPix,InnerBarrel,0.4,8.0,-0.3,4.254,4,
2023BPix,InnerBarrel,0.4,8.0,-0.2,4.273,4,
2023BPix,InnerBarrel,0.4,8.0,-0.1,4.329,4,
2023BPix,InnerBarrel,0.4,8.0,0.0,4.373,4,
2023BPix,InnerBarrel,0.4,8.0,0.1,4.389,4,
2023BPix,InnerBarrel,0.4,8.0,0.2,4.434,4,
2023BPix,InnerBarrel,0.4,8.0,0.3,4.390,4,
2023BPix,InnerBarrel,0.4,8.0,0.4,4.382,4,
2023BPix,InnerBarrel,0.4,8.0,0.5,4.413,4,
2023BPix,InnerBarrel,0.4,8.0,0.6,3.151,3,
2023BPix,InnerBarrel,0.4,8.0,0.7,3.151,3,
2023BPix,InnerBarrel,0.4,8.0,0.8,1.389,2,
2023BPix,InnerBarrel,0.4,9.0,-0.8,4.912,5,
2023BPix,InnerBarrel,0.4,9.0,-0.7,4.828,5,
2023BPix,InnerBarrel,0.4,9.0,-0.6,4.219,4,
2023BPix,InnerBarrel,0.4,9.0,-0.5,4.205,4,
2023BPix,InnerBarrel,0.4,9.0,-0.4,4.177,4,
2023BPix,InnerBarrel,0.4,9.0,-0.3,4.163,4,
2023BPix,InnerBarrel,0.4,9.0,-0.2,4.237,4,
2023BPix,InnerBarrel,0.4,9.0,-0.1,4.328,4,
2023BPix,InnerBarrel,0.4,9.0,0.0,4.372,4,
2023BPix,InnerBarrel,0.4,9.0,0.1,4.388,4,
2023BPix,InnerBarrel,0.4,9.0,0.2,4.431,4,
2023BPix,InnerBarrel,0.4,9.0,0.3,4.402,4,
2023BPix,InnerBarrel,0.4,9.0,0.4,4.397,4,
2023BPix,InnerBarrel,0.4,9.0,0.5,4.432,4,
2023BPix,InnerBarrel,0.4,9.0,0.6,4.563,4,
2023BPix,InnerBarrel,0.4,9.0,0.7,4.706,4,
2023BPix,InnerBarrel,0.4,9.0,0.8,1.417,2,
2023BPix,InnerBarrel,0.4,10.0,-0.8,4.943,5,
2023BPix,InnerBarrel,0.4,10.0,-0.7,4.862,5,
2023BPix,InnerBarrel,0.4,10.0,-0.6,4.878,5,
2023BPix,InnerBarrel,0.4,10.0,-0.5,4.190,4,
2023BPix,InnerBarrel,0.4,10.0,-0.4,4.245,4,
2023BPix,InnerBarrel,0.4,10.0,-0.3,4.271,4,
2023BPix,InnerBarrel,0.4,10.0,-0.2,4.345,4,
2023BPix,InnerBarrel,0.4,10.0,-0.1,4.435,4,
2023BPix,InnerBarrel,0.4,10.0,0.0,4.485,4,
2023BPix,InnerBarrel,0.4,10.0,0.1,4.506,4,
2023BPix,InnerBarrel,0.4,10.0,0.2,4.553,4,
2023BPix,InnerBarrel,0.4,10.0,0.3,4.533,4,
2023BPix,InnerBarrel,0.4,10.0,0.4,4.550,4,
2023BPix,InnerBarrel,0.4,10.0,0.5,4.599,4,
2023BPix,InnerBarrel,0.4,10.0,0.6,4.752,4,
2023BPix,InnerBarrel,0.4,10.0,0.7,4.885,4,
2023BPix,InnerBarrel,0.4,10.0,0.8,4.947,4,
2023BPix,OuterBarrel,0.4,6.0,-0.8,4.152,2,
2023BPix,OuterBarrel,0.4,6.0,-0.7,3.949,2,
2023BPix,OuterBarrel,0.4,6.0,-0.6,1.065,1,
2023BPix,OuterBarrel,0.4,6.0,-0.5,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,-0.4,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,-0.3,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,-0.2,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,-0.1,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,0.0,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,0.1,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,0.2,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,0.3,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,0.4,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,0.5,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,0.6,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,0.7,0.000,0,
2023BPix,OuterBarrel,0.4,6.0,0.8,0.000,0,
2023BPix,OuterBarrel,0.4,7.0,-0.8,4.755,3,BEST
2023BPix,OuterBarrel,0.4,7.0,-0.7,4.638,3,BEST
2023BPix,OuterBarrel,0.4,7.0,-0.6,3.365,2,
2023BPix,OuterBarrel,0.4,7.0,-0.5,3.249,2,
2023BPix,OuterBarrel,0.4,7.0,-0.4,3.137,2,
2023BPix,OuterBarrel,0.4,7.0,-0.3,3.024,2,
2023BPix,OuterBarrel,0.4,7.0,-0.2,2.121,1,
2023BPix,OuterBarrel,0.4,7.0,-0.1,2.090,1,
2023BPix,OuterBarrel,0.4,7.0,0.0,2.068,1,
2023BPix,OuterBarrel,0.4,7.0,0.1,0.000,0,
2023BPix,OuterBarrel,0.4,7.0,0.2,0.000,0,
2023BPix,OuterBarrel,0.4,7.0,0.3,0.000,0,
2023BPix,OuterBarrel,0.4,7.0,0.4,0.000,0,
2023BPix,OuterBarrel,0.4,7.0,0.5,0.000,0,
2023BPix,OuterBarrel,0.4,7.0,0.6,0.000,0,
2023BPix,OuterBarrel,0.4,7.0,0.7,0.000,0,
2023BPix,OuterBarrel,0.4,7.0,0.8,0.000,0,
2023BPix,OuterBarrel,0.4,8.0,-0.8,4.555,3,BEST
2023BPix,OuterBarrel,0.4,8.0,-0.7,4.439,3,BEST
2023BPix,OuterBarrel,0.4,8.0,-0.6,4.222,3,BEST
2023BPix,OuterBarrel,0.4,8.0,-0.5,3.037,2,
2023BPix,OuterBarrel,0.4,8.0,-0.4,2.978,2,
2023BPix,OuterBarrel,0.4,8.0,-0.3,2.952,2,
2023BPix,OuterBarrel,0.4,8.0,-0.2,2.977,2,
2023BPix,OuterBarrel,0.4,8.0,-0.1,1.955,1,
2023BPix,OuterBarrel,0.4,8.0,0.0,1.935,1,
2023BPix,OuterBarrel,0.4,8.0,0.1,1.873,1,
2023BPix,OuterBarrel,0.4,8.0,0.2,1.849,1,
2023BPix,OuterBarrel,0.4,8.0,0.3,1.740,1,
2023BPix,OuterBarrel,0.4,8.0,0.4,1.715,1,
2023BPix,OuterBarrel,0.4,8.0,0.5,0.000,0,
2023BPix,OuterBarrel,0.4,8.0,0.6,0.000,0,
2023BPix,OuterBarrel,0.4,8.0,0.7,0.000,0,
2023BPix,OuterBarrel,0.4,8.0,0.8,0.000,0,
2023BPix,OuterBarrel,0.4,9.0,-0.8,4.345,3,
2023BPix,OuterBarrel,0.4,9.0,-0.7,4.230,3,
2023BPix,OuterBarrel,0.4,9.0,-0.6,4.135,3,BEST
2023BPix,OuterBarrel,0.4,9.0,-0.5,2.982,2,
2023BPix,OuterBarrel,0.4,9.0,-0.4,2.966,2,
2023BPix,OuterBarrel,0.4,9.0,-0.3,2.940,2,
2023BPix,OuterBarrel,0.4,9.0,-0.2,2.961,2,
2023BPix,OuterBarrel,0.4,9.0,-0.1,2.966,2,
2023BPix,OuterBarrel,0.4,9.0,0.0,2.979,2,
2023BPix,OuterBarrel,0.4,9.0,0.1,2.927,2,
2023BPix,OuterBarrel,0.4,9.0,0.2,2.922,2,
2023BPix,OuterBarrel,0.4,9.0,0.3,2.842,2,
2023BPix,OuterBarrel,0.4,9.0,0.4,1.682,1,
2023BPix,OuterBarrel,0.4,9.0,0.5,1.610,1,
2023BPix,OuterBarrel,0.4,9.0,0.6,1.495,1,
2023BPix,OuterBarrel,0.4,9.0,0.7,1.454,1,
2023BPix,OuterBarrel,0.4,9.0,0.8,0.000,0,
2023BPix,OuterBarrel,0.4,10.0,-0.8,4.287,3,
2023BPix,OuterBarrel,0.4,10.0,-0.7,4.227,3,
2023BPix,OuterBarrel,0.4,10.0,-0.6,4.239,3,
2023BPix,OuterBarrel,0.4,10.0,-0.5,4.321,3,
2023BPix,OuterBarrel,0.4,10.0,-0.4,3.007,2,
2023BPix,OuterBarrel,0.4,10.0,-0.3,2.983,2,
2023BPix,OuterBarrel,0.4,10.0,-0.2,3.005,2,
2023BPix,OuterBarrel,0.4,10.0,-0.1,3.009,2,
2023BPix,OuterBarrel,0.4,10.0,0.0,3.021,2,
2023BPix,OuterBarrel,0.4,10.0,0.1,2.972,2,
2023BPix,OuterBarrel,0.4,10.0,0.2,2.967,2,
2023BPix,OuterBarrel,0.4,10.0,0.3,2.892,2,
2023BPix,OuterBarrel,0.4,10.0,0.4,2.922,2,
2023BPix,OuterBarrel,0.4,10.0,0.5,1.609,1,
2023BPix,OuterBarrel,0.4,10.0,0.6,1.501,1,
2023BPix,OuterBarrel,0.4,10.0,0.7,1.464,1,
2023BPix,OuterBarrel,0.4,10.0,0.8,1.396,1,
2023BPix,Endcap,0.4,6.0,-0.8,6.437,4,BEST
2023BPix,Endcap,0.4,6.0,-0.7,5.829,4,BEST
2023BPix,Endcap,0.4,6.0,-0.6,5.091,4,BEST
2023BPix,Endcap,0.4,6.0,-0.5,4.903,4,BEST
2023BPix,Endcap,0.4,6.0,-0.4,4.503,4,BEST
2023BPix,Endcap,0.4,6.0,-0.3,4.339,4,BEST
2023BPix,Endcap,0.4,6.0,-0.2,3.220,3,BEST
2023BPix,Endcap,0.4,6.0,-0.1,3.086,3,BEST
2023BPix,Endcap,0.4,6.0,0.0,1.747,2,
2023BPix,Endcap,0.4,6.0,0.1,1.725,2,
2023BPix,Endcap,0.4,6.0,0.2,1.704,2,
2023BPix,Endcap,0.4,6.0,0.3,1.773,2,
2023BPix,Endcap,0.4,6.0,0.4,1.465,2,
2023BPix,Endcap,0.4,6.0,0.5,1.382,2,
2023BPix,Endcap,0.4,6.0,0.6,1.481,2,
2023BPix,Endcap,0.4,6.0,0.7,0.021,1,
2023BPix,Endcap,0.4,6.0,0.8,0.196,1,
2023BPix,Endcap,0.4,7.0,-0.8,5.657,4,
2023BPix,Endcap,0.4,7.0,-0.7,5.108,4,
2023BPix,Endcap,0.4,7.0,-0.6,4.524,4,
2023BPix,Endcap,0.4,7.0,-0.5,4.644,4,
2023BPix,Endcap,0.4,7.0,-0.4,4.383,4,
2023BPix,Endcap,0.4,7.0,-0.3,4.240,4,
2023BPix,Endcap,0.4,7.0,-0.2,4.229,4,
2023BPix,Endcap,0.4,7.0,-0.1,4.229,4,
2023BPix,Endcap,0.4,7.0,0.0,3.052,3,BEST
2023BPix,Endcap,0.4,7.0,0.1,3.058,3,
2023BPix,Endcap,0.4,7.0,0.2,1.713,2,
2023BPix,Endcap,0.4,7.0,0.3,1.785,2,
2023BPix,Endcap,0.4,7.0,0.4,1.505,2,
2023BPix,Endcap,0.4,7.0,0.5,1.371,2,
2023BPix,Endcap,0.4,7.0,0.6,1.481,2,
