Era,Region,miniIso_cut,sip3d_cut,optimization_metric,avg_significance,n_bins_used,recommendation
2023,InnerBarrel,0.4,4.0,2.768,0.554,5,BEST
2023,InnerBarrel,0.4,5.0,2.657,0.443,6,BEST
2023,InnerBarrel,0.4,6.0,2.567,0.428,6,BEST
2023,InnerBarrel,0.4,7.0,2.415,0.402,6,BEST
2023,InnerBarrel,0.4,8.0,2.334,0.389,6,BEST
2023,InnerBarrel,0.4,9.0,2.277,0.379,6,BEST
2023,InnerBarrel,0.4,10.0,2.610,0.373,7,
2023,InnerBarrel,0.5,4.0,3.424,0.571,6,
2023,InnerBarrel,0.5,5.0,3.438,0.491,7,
2023,InnerBarrel,0.5,6.0,3.270,0.467,7,
2023,InnerBarrel,0.5,7.0,3.081,0.440,7,
2023,InnerBarrel,0.5,8.0,3.013,0.430,7,
2023,InnerBarrel,0.5,9.0,2.954,0.422,7,
2023,InnerBarrel,0.5,10.0,2.896,0.414,7,
2023,InnerBarrel,0.55,4.0,3.945,0.564,7,
2023,InnerBarrel,0.55,5.0,3.683,0.526,7,
2023,InnerBarrel,0.55,6.0,3.500,0.500,7,
2023,InnerBarrel,0.55,7.0,3.302,0.472,7,
2023,InnerBarrel,0.55,8.0,3.792,0.421,9,
2023,InnerBarrel,0.55,9.0,3.729,0.414,9,
2023,InnerBarrel,0.55,10.0,3.617,0.402,9,
2023,InnerBarrel,0.6,4.0,4.214,0.602,7,
2023,InnerBarrel,0.6,5.0,3.855,0.551,7,
2023,InnerBarrel,0.6,6.0,3.657,0.522,7,
2023,InnerBarrel,0.6,7.0,4.030,0.448,9,
2023,InnerBarrel,0.6,8.0,3.924,0.436,9,
2023,InnerBarrel,0.6,9.0,3.846,0.427,9,
2023,InnerBarrel,0.6,10.0,3.745,0.416,9,
2023,InnerBarrel,0.65,4.0,4.571,0.653,7,
2023,InnerBarrel,0.65,5.0,4.190,0.599,7,
2023,InnerBarrel,0.65,6.0,4.434,0.493,9,
2023,InnerBarrel,0.65,7.0,4.215,0.468,9,
2023,InnerBarrel,0.65,8.0,4.100,0.456,9,
2023,InnerBarrel,0.65,9.0,4.027,0.447,9,
2023,InnerBarrel,0.65,10.0,3.923,0.436,9,
2023,InnerBarrel,0.7,4.0,4.823,0.689,7,
2023,InnerBarrel,0.7,5.0,4.430,0.633,7,
2023,InnerBarrel,0.7,6.0,4.614,0.513,9,
2023,InnerBarrel,0.7,7.0,4.389,0.488,9,
2023,InnerBarrel,0.7,8.0,4.244,0.472,9,
2023,InnerBarrel,0.7,9.0,4.122,0.458,9,
2023,InnerBarrel,0.7,10.0,4.057,0.406,10,
2023,InnerBarrel,0.75,4.0,5.115,0.731,7,
2023,InnerBarrel,0.75,5.0,5.207,0.579,9,
2023,InnerBarrel,0.75,6.0,4.860,0.540,9,
2023,InnerBarrel,0.75,7.0,4.689,0.469,10,
2023,InnerBarrel,0.75,8.0,4.514,0.451,10,
2023,InnerBarrel,0.75,9.0,4.517,0.411,11,
2023,InnerBarrel,0.75,10.0,4.373,0.398,11,
2023,InnerBarrel,0.8,4.0,5.604,0.701,8,
2023,InnerBarrel,0.8,5.0,5.352,0.595,9,
2023,InnerBarrel,0.8,6.0,5.116,0.512,10,
2023,InnerBarrel,0.8,7.0,4.846,0.485,10,
2023,InnerBarrel,0.8,8.0,4.836,0.440,11,
2023,InnerBarrel,0.8,9.0,4.628,0.421,11,
2023,InnerBarrel,0.8,10.0,4.464,0.406,11,
2023,OuterBarrel,0.4,4.0,1.294,0.431,3,BEST
2023,OuterBarrel,0.4,5.0,1.202,0.301,4,BEST
2023,OuterBarrel,0.4,6.0,1.146,0.286,4,BEST
2023,OuterBarrel,0.4,7.0,1.304,0.261,5,
2023,OuterBarrel,0.4,8.0,1.323,0.265,5,
2023,OuterBarrel,0.4,9.0,1.292,0.258,5,
2023,OuterBarrel,0.4,10.0,1.312,0.262,5,
2023,OuterBarrel,0.5,4.0,1.823,0.456,4,
2023,OuterBarrel,0.5,5.0,1.683,0.337,5,
2023,OuterBarrel,0.5,6.0,1.561,0.312,5,
2023,OuterBarrel,0.5,7.0,1.495,0.299,5,
2023,OuterBarrel,0.5,8.0,1.434,0.287,5,
2023,OuterBarrel,0.5,9.0,1.350,0.270,5,
2023,OuterBarrel,0.5,10.0,1.318,0.264,5,
2023,OuterBarrel,0.55,4.0,2.070,0.517,4,
2023,OuterBarrel,0.55,5.0,1.899,0.380,5,
2023,OuterBarrel,0.55,6.0,1.757,0.351,5,
2023,OuterBarrel,0.55,7.0,1.660,0.332,5,
2023,OuterBarrel,0.55,8.0,1.537,0.307,5,
2023,OuterBarrel,0.55,9.0,1.430,0.286,5,
2023,OuterBarrel,0.55,10.0,1.388,0.278,5,
2023,OuterBarrel,0.6,4.0,2.251,0.450,5,
2023,OuterBarrel,0.6,5.0,2.050,0.410,5,
2023,OuterBarrel,0.6,6.0,1.874,0.375,5,
2023,OuterBarrel,0.6,7.0,1.767,0.353,5,
