Era,Region,LeptonType,miniIso_cut,sip3d_cut,Efficiency,Efficiency_Error,Pass_Events,Total_Events
2022EE,InnerBarrel,prompt,0.05,2.0,0.8076018207985425,0.0014877153758893803,56696.44564339938,70203.46435987344
2022EE,InnerBarrel,prompt,0.05,3.0,0.8521543554656938,0.0013396277323279133,59824.18792304676,70203.46435987344
2022EE,InnerBarrel,prompt,0.05,4.0,0.8729830836692715,0.0012567660045752725,61286.43680114811,70203.46435987344
2022EE,InnerBarrel,prompt,0.05,5.0,0.8792953124054783,0.0012295612708358098,61729.57712626178,70203.46435987344
2022EE,InnerBarrel,prompt,0.05,6.0,0.8822464262161913,0.001216473717614658,61936.7555394941,70203.46435987344
2022EE,InnerBarrel,prompt,0.05,7.0,0.8841823918050837,0.001207755308012765,62072.66703071585,70203.46435987344
2022EE,InnerBarrel,prompt,0.05,8.0,0.8855338890576955,0.0012016051607411887,62167.54681992205,70203.46435987344
2022EE,InnerBarrel,prompt,0.08,2.0,0.8435332486800273,0.001371143355620263,59218.956360076554,70203.46435987344
2022EE,InnerBarrel,prompt,0.08,3.0,0.89020144139713,0.0011799488844910536,62495.22516423138,70203.46435987344
2022EE,InnerBarrel,prompt,0.08,4.0,0.9119802806355682,0.001069309540646963,64024.1751285065,70203.46435987344
2022EE,InnerBarrel,prompt,0.08,5.0,0.9186012131649436,0.0010320320899911994,64488.98752936162,70203.46435987344
2022EE,InnerBarrel,prompt,0.08,6.0,0.9216952707999656,0.0010139310050639259,64706.20109426929,70203.46435987344
2022EE,InnerBarrel,prompt,0.08,7.0,0.9237181389330957,0.001001846312479708,64848.21344515821,70203.46435987344
2022EE,InnerBarrel,prompt,0.08,8.0,0.9251351995358434,0.0009932582165584434,64947.69600867899,70203.46435987344
2022EE,InnerBarrel,prompt,0.09,2.0,0.8510091563214685,0.0013439021048458572,59743.79097574018,70203.46435987344
2022EE,InnerBarrel,prompt,0.09,3.0,0.8981377205741959,0.001141560390838212,63052.37945658853,70203.46435987344
2022EE,InnerBarrel,prompt,0.09,4.0,0.9201034186751593,0.0010233004110542564,64594.44756035926,70203.46435987344
2022EE,InnerBarrel,prompt,0.09,5.0,0.9267994267854793,0.0009830392248536839,65064.53052708553,70203.46435987344
2022EE,InnerBarrel,prompt,0.09,6.0,0.9299243091801235,0.0009634478730517855,65283.90809690673,70203.46435987344
2022EE,InnerBarrel,prompt,0.09,7.0,0.9319653042267061,0.0009503549121337428,65427.193019918166,70203.46435987344
2022EE,InnerBarrel,prompt,0.09,8.0,0.9333910407617227,0.0009410633628198215,65527.28466394078,70203.46435987344
2022EE,InnerBarrel,prompt,0.1,2.0,0.8571324522826934,0.001320722243803781,60173.66756551899,70203.46435987344
2022EE,InnerBarrel,prompt,0.1,3.0,0.9046167471570299,0.0011086363249087354,63507.22956838319,70203.46435987344
2022EE,InnerBarrel,prompt,0.1,4.0,0.9267467576198757,0.0009833648756528885,65060.83296919521,70203.46435987344
2022EE,InnerBarrel,prompt,0.1,5.0,0.933504449263456,0.0009403190135940283,65535.24633365031,70203.46435987344
2022EE,InnerBarrel,prompt,0.1,6.0,0.9366495173002473,0.0009193571309569905,65756.04100548057,70203.46435987344
2022EE,InnerBarrel,prompt,0.1,7.0,0.9387088163671593,0.0009052847001376303,65900.61093413085,70203.46435987344
2022EE,InnerBarrel,prompt,0.1,8.0,0.940146621762275,0.0008952881925106657,66001.54985394329,70203.46435987344
2022EE,InnerBarrel,prompt,0.11,2.0,0.8621098953981048,0.0013012735237516331,60523.10131587507,70203.46435987344
2022EE,InnerBarrel,prompt,0.11,3.0,0.9098894330175448,0.001080694397117961,63877.39038227266,70203.46435987344
2022EE,InnerBarrel,prompt,0.11,4.0,0.9321483427280263,0.0009491688428957832,65440.042956822086,70203.46435987344
2022EE,InnerBarrel,prompt,0.11,5.0,0.9389517791094402,0.0009036055268200938,65917.66776034934,70203.46435987344
2022EE,InnerBarrel,prompt,0.11,6.0,0.9421199459031409,0.0008813294681153205,66140.08404493704,70203.46435987344
