Era,Region,LeptonType,miniIso_cut,sip3d_cut,Efficiency,Efficiency_Error,Pass_Events,Total_Events
2022EE,InnerBarrel,prompt,0.05,2.0,0.8072521906004014,0.0013648230357174035,67430.32104390766,83530.67582728481
2022EE,InnerBarrel,prompt,0.05,3.0,0.8515250726733516,0.001230275238424325,71128.46480428288,83530.67582728481
2022EE,InnerBarrel,prompt,0.05,4.0,0.8723634031627524,0.001154551552187154,72869.10463317484,83530.67582728481
2022EE,InnerBarrel,prompt,0.05,5.0,0.8786938157911018,0.001129632706865238,73397.88827828644,83530.67582728481
2022EE,InnerBarrel,prompt,0.05,6.0,0.8817323944840194,0.0011173218785170782,73651.70281006023,83530.67582728481
2022EE,InnerBarrel,prompt,0.08,2.0,0.8431453166498073,0.0012582790436322894,70428.49812036846,83530.67582728481
2022EE,InnerBarrel,prompt,0.08,3.0,0.8895586851635634,0.0010845013294288968,74305.43815974332,83530.67582728481
2022EE,InnerBarrel,prompt,0.08,4.0,0.9113299594843394,0.0009835654838955717,76124.00741737895,83530.67582728481
2022EE,InnerBarrel,prompt,0.08,5.0,0.9179691602397289,0.0009494664574404156,76678.58434342965,83530.67582728481
2022EE,InnerBarrel,prompt,0.08,6.0,0.9211592325464684,0.0009324376015998277,76945.0532391495,83530.67582728481
2022EE,InnerBarrel,prompt,0.09,2.0,0.8506235500019939,0.0012333512278974355,71053.16000627074,83530.67582728481
2022EE,InnerBarrel,prompt,0.09,3.0,0.8975024340818655,0.001049425459011397,74968.98487549135,83530.67582728481
2022EE,InnerBarrel,prompt,0.09,4.0,0.9194697480942319,0.0009415106861971318,76803.9294610545,83530.67582728481
2022EE,InnerBarrel,prompt,0.09,5.0,0.9261815452277874,0.000904706142459895,77364.57041163603,83530.67582728481
2022EE,InnerBarrel,prompt,0.09,6.0,0.9294011411644905,0.0008862932539495696,77633.50543611962,83530.67582728481
2022EE,InnerBarrel,prompt,0.1,2.0,0.8567394398276557,0.0012121732752644523,71564.02441669349,83530.67582728481
2022EE,InnerBarrel,prompt,0.1,3.0,0.9039753595836273,0.0010194047280199737,75509.67271723319,83530.67582728481
2022EE,InnerBarrel,prompt,0.1,4.0,0.9261097064846914,0.0009051111527211616,77358.56967287464,83530.67582728481
2022EE,InnerBarrel,prompt,0.1,5.0,0.9328791054809011,0.0008658019372135308,77924.02214597259,83530.67582728481
2022EE,InnerBarrel,prompt,0.1,6.0,0.9361193059984012,0.0008461111461778738,78194.67828501528,83530.67582728481
2022EE,InnerBarrel,prompt,0.11,2.0,0.8617149237684278,0.0011943908462886958,71979.62995283399,83530.67582728481
