feature,mean_auc_drop
jet1_btagged,0.07252591892845961
jet2_btagged,0.057807534632384305
lep1_pt,0.03271969327631963
dR_lep1_lep2,0.02228758844812606
lep3_pt,0.019014326559066763
jet1_pt,0.01637939475283301
jet3_btagged,0.012845898769372588
lep2_pt,0.011471570767183858
dR_lep1_lep3,0.010730397863211727
lep3_isMuon,0.006736307878258407
jet2_pt,0.005434958641099552
ptmiss_proxy,0.0048835864721819
lep2_charge,0.004694039805130057
dR_lep1_jet1,0.004303551725627797
dR_lep1_jet2,0.0034970732776451463
lep2_isMuon,0.003244413791194223
dR_lep2_lep3,0.0030654771069119624
lep3_charge,0.0030645558224272618
lep1_charge,0.003039263783406354
dR_lep2_jet1,0.002504340035110131
lep1_isMuon,0.002339735453383174
jet3_pt,0.00220905401044158
jet2_eta,0.001956570070088648
jet1_eta,0.0019069853708083562
jet4_btagged,0.001482997259047103
lep3_isElectron,0.0013226195932429796
mt_lep1_ptmiss,0.0012116708079674687
mt_lep2_ptmiss,0.001097704896109053
dR_lep3_jet1,0.0010487175442475127
dR_lep1_jet3,0.0009779343694633624
era_2022EE,0.0009338685075749309
dR_lep2_jet2,0.0008689884344298404
dR_lep1_jet4,0.0008467903564194357
lep2_isElectron,0.0007879884051966712
dR_lep3_jet2,0.0007190487788134581
lep1_eta,0.00070883925250953
dR_lep2_jet3,0.0006682857902083894
mt_lep3_ptmiss,0.0006570626102399002
era_2022,0.000639620419902176
era_2023,0.0006228199035891446
jet5_btagged,0.0006144357741971751
dR_lep3_jet3,0.0006022945576247274
lep3_eta,0.000527122535225244
lep1_isElectron,0.0004278917255100545
era_2023BPix,0.0003776170344358398
jet4_pt,0.00036003349440183463
dR_lep1_jet5,0.00033734741361146625
dR_lep2_jet5,0.00025379793661217676
era_2018,0.00018826763978274652
dR_lep3_jet4,0.00015981292651923162
jet5_pt,0.0001337304618820312
era_2017,0.00013008689865690037
jet5_phi,0.00011151006057130708
lep2_phi,0.00010501128460704834
jet3_phi,0.00010176570360875825
jet5_eta,7.323866218578168e-05
lep1_phi,6.489484055416384e-05
lep2_eta,4.880774414606215e-05
jet2_phi,4.576428526026355e-05
dR_lep3_jet5,4.5641190659528874e-05
jet6_eta,4.525900116802983e-05
jet6_btagged,3.817786344195717e-05
ptmiss_phi_proxy,3.731634405734763e-05
dR_lep3_jet6,2.4699321026000476e-05
dR_lep1_jet6,1.2758535872570143e-05
dR_lep2_jet4,8.925100021262011e-06
jet1_phi,3.2895497377172234e-06
jet1_charge,0.0
jet2_charge,0.0
jet3_charge,0.0
jet4_charge,0.0
jet5_charge,0.0
jet6_charge,0.0
era_2016preVFP,-9.281491953894161e-07
jet6_phi,-2.6369505211620847e-06
jet4_eta,-2.456597007916006e-05
jet3_eta,-3.342079634083284e-05
jet4_phi,-4.089029236276076e-05
dR_lep2_jet6,-4.9646422677795954e-05
jet6_pt,-7.705592564799524e-05
lep3_phi,-0.00010666549912108358
era_2016postVFP,-0.00012699634086621447
