model,chromosome,fitness
model0,"(256, 'Adam', 0.0002, 0.00013, 'ExponentialLR')",0.6675227718889866
model1,"(128, 'Adam', 0.0002, 1e-05, 'ExponentialLR')",0.728818615379236
model2,"(256, 'RMSprop', 0.0002, 0.00021, 'CyclicLR')",0.7291980948289642
model3,"(192, 'RMSprop', 0.0008, 3e-05, 'CyclicLR')",0.7767059248121803
model4,"(192, 'Adam', 0.007, 7e-05, 'ReduceLROnPlateau')",0.7457424466262388
model5,"(256, 'RMSprop', 0.0004, 0.00021, 'CyclicLR')",0.7470425266743926
model6,"(256, 'RMSprop', 0.0002, 5e-05, 'CyclicLR')",0.7028610346567296
model7,"(256, 'RMSprop', 0.0054, 0.00021, 'ReduceLROnPlateau')",0.8000547599304667
model8,"(256, 'RMSprop', 0.0027, 0.00015, 'ExponentialLR')",0.8200689837755755
model9,"(96, 'Adam', 0.0002, 0.00015, 'ExponentialLR')",0.7291968460278133
model10,"(128, 'RMSprop', 0.0002, 5e-05, 'ReduceLROnPlateau')",0.6994637491757912
model11,"(192, 'RMSprop', 0.0054, 1e-05, 'CyclicLR')",0.8096272890525096
model12,"(192, 'RMSprop', 0.0002, 0.00022, 'ReduceLROnPlateau')",0.6985382314228341
model13,"(128, 'Adadelta', 0.0035, 0.00015, 'CyclicLR')",1.0212455417798914
model14,"(128, 'RMSprop', 0.0002, 0.00028, 'ReduceLROnPlateau')",0.7525071244105659
model15,"(96, 'RMSprop', 0.0012, 4e-05, 'ExponentialLR')",0.8028995289522058
