model,chromosome,fitness
model0,"(192, 'RMSprop', 0.0049, 0.00011, 'CyclicLR')",0.7236885822994609
model1,"(256, 'Adam', 0.0073, 3e-05, 'ExponentialLR')",0.6711304355675066
model2,"(192, 'Adadelta', 0.0005, 1e-05, 'CyclicLR')",0.962675927390515
model3,"(256, 'RMSprop', 0.0002, 0.00016, 'CyclicLR')",0.6614849466673085
model4,"(256, 'Adam', 0.008, 0.001, 'ExponentialLR')",0.7359345127159441
model5,"(96, 'RMSprop', 0.0017, 0.00052, 'ReduceLROnPlateau')",0.6909499369876485
model6,"(256, 'RMSprop', 0.0004, 1e-05, 'ExponentialLR')",0.6386351249587368
model7,"(192, 'Adadelta', 0.0022, 0.00099, 'CyclicLR')",0.9483975692534111
model8,"(128, 'RMSprop', 0.0011, 1e-05, 'CyclicLR')",0.6882152288732394
model9,"(192, 'Adadelta', 0.0006, 0.00067, 'CyclicLR')",0.9949798583984375
model10,"(192, 'Adadelta', 0.0008, 6e-05, 'ExponentialLR')",1.0837041290713028
model11,"(96, 'Adadelta', 0.0004, 0.0001, 'CyclicLR')",0.9542265341315471
model12,"(96, 'Adam', 0.0008, 6e-05, 'CyclicLR')",0.6714915423326089
model13,"(256, 'RMSprop', 0.0003, 5e-05, 'ReduceLROnPlateau')",0.6712877515336158
model14,"(128, 'Adam', 0.002, 0.00061, 'ExponentialLR')",0.6979470051510234
model15,"(192, 'Adadelta', 0.0013, 0.00035, 'CyclicLR')",0.9690698972890075
