ma,model,background,auc
85,baseline,nonprompt,0.8819546576689103
85,parametric,nonprompt,0.8761583223637678
85,baseline,diboson,0.9470418379632918
85,parametric,diboson,0.9455439336465019
85,baseline,ttX,0.9071586970748717
85,parametric,ttX,0.89993081561314
90,baseline,nonprompt,0.8771174726874611
90,parametric,nonprompt,0.8751951563869493
90,baseline,diboson,0.9424889162200412
90,parametric,diboson,0.9423850073362771
90,baseline,ttX,0.9054283826935207
90,parametric,ttX,0.9028942915398743
95,baseline,nonprompt,0.8788787122938003
95,parametric,nonprompt,0.876702980514223
95,baseline,diboson,0.9423603821010801
95,parametric,diboson,0.9418681298941716
95,baseline,ttX,0.9090385918073133
95,parametric,ttX,0.9062320227414951
