model,chromosome,fitness
model0,"(256, 'Adam', 0.0003, 2e-05, 'ReduceLROnPlateau')",0.588484482026436
model1,"(256, 'Adam', 0.0001, 0.00016, 'ReduceLROnPlateau')",0.5937171721122634
model2,"(192, 'Adam', 0.0001, 0.00016, 'CyclicLR')",0.6001795379208846
model3,"(192, 'Adam', 0.0001, 2e-05, 'ReduceLROnPlateau')",0.6033845283615757
model4,"(128, 'Adam', 0.0001, 0.00029, 'ReduceLROnPlateau')",0.6075628576144366
model5,"(192, 'Adam', 0.0003, 0.00016, 'CyclicLR')",0.619108388121699
model6,"(96, 'Adam', 0.0002, 1e-05, 'ExponentialLR')",0.6480015499491087
model7,"(96, 'Adam', 0.0009, 0.00016, 'CyclicLR')",0.6446640659386004
model8,"(256, 'Adam', 0.0003, 1e-05, 'ReduceLROnPlateau')",0.590576064418739
model9,"(256, 'RMSprop', 0.0073, 3e-05, 'ReduceLROnPlateau')",0.765747929962588
model10,"(192, 'Adam', 0.0009, 4e-05, 'ReduceLROnPlateau')",0.6191222499793684
model11,"(192, 'Adam', 0.0001, 1e-05, 'ReduceLROnPlateau')",0.601957939040493
model12,"(128, 'Adam', 0.0001, 0.00026, 'ReduceLROnPlateau')",0.6199235513176716
model13,"(192, 'RMSprop', 0.0002, 4e-05, 'ExponentialLR')",0.6266129184776629
model14,"(128, 'Adam', 0.0021, 1e-05, 'CyclicLR')",0.6261017490440691
model15,"(128, 'Adam', 0.0008, 0.0002, 'ReduceLROnPlateau')",0.623716864787357
