model,chromosome,fitness
model0,"(256, 'Adam', 0.0001, 0.00013, 'ReduceLROnPlateau')",0.5879807270748515
model1,"(192, 'Adam', 0.0008, 1e-05, 'CyclicLR')",0.6142126808703785
model2,"(192, 'Adam', 0.0008, 1e-05, 'CyclicLR')",0.616303672253246
model3,"(192, 'Adam', 0.0003, 0.00018, 'ReduceLROnPlateau')",0.6184635968275474
model4,"(192, 'Adam', 0.0008, 5e-05, 'CyclicLR')",0.624541806503081
model5,"(192, 'Adam', 0.0056, 6e-05, 'CyclicLR')",0.6710569892131107
model6,"(192, 'Adam', 0.0008, 0.00013, 'ReduceLROnPlateau')",0.6306907761264855
model7,"(96, 'Adam', 0.0006, 1e-05, 'CyclicLR')",0.6430857483769806
model8,"(96, 'RMSprop', 0.0047, 1e-05, 'CyclicLR')",0.7036627648581921
model9,"(192, 'Adam', 0.0003, 5e-05, 'CyclicLR')",0.6153982457980304
model10,"(192, 'Adam', 0.0009, 5e-05, 'CyclicLR')",0.6253100650411256
model11,"(256, 'Adadelta', 0.0027, 0.00013, 'ReduceLROnPlateau')",1.0888925471775968
model12,"(256, 'Adam', 0.002, 0.00056, 'ExponentialLR')",0.6843795776367188
model13,"(96, 'Adam', 0.0008, 6e-05, 'CyclicLR')",0.6507086955325704
model14,"(192, 'Adam', 0.0058, 0.00035, 'ReduceLROnPlateau')",0.6923270427005391
model15,"(96, 'Adam', 0.0003, 0.00042, 'ReduceLROnPlateau')",0.662141182053257
