era	method	masspoint	p_value	obs_saturated	n_toys	json_path
Run2	Baseline	MHc160_MA125	0.581	90.5031082185294	1000	templates/Run2/Combined/MHc160_MA125/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA135	0.005	124.94706797849119	1000	templates/Run2/Combined/MHc160_MA135/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA145	0.132	93.09951177036385	1000	templates/Run2/Combined/MHc160_MA145/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA15	0.106	56.01172612649373	1000	templates/Run2/Combined/MHc160_MA15/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA155	0.439	92.84524031558647	1000	templates/Run2/Combined/MHc160_MA155/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA20	0.203	62.85525835115976	1000	templates/Run2/Combined/MHc160_MA20/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA25	0.103	68.52303881592167	1000	templates/Run2/Combined/MHc160_MA25/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA30	0.083	74.94887402403447	1000	templates/Run2/Combined/MHc160_MA30/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA35	0.067	76.45895086552935	1000	templates/Run2/Combined/MHc160_MA35/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA40	0.018	95.26455917451449	1000	templates/Run2/Combined/MHc160_MA40/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA45	0.658	61.3325725788153	1000	templates/Run2/Combined/MHc160_MA45/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA60	0.63	58.294685037651334	1000	templates/Run2/Combined/MHc160_MA60/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA70	0.226	67.47633312441326	1000	templates/Run2/Combined/MHc160_MA70/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc160_MA85	0.716	82.30306194073455	1000	templates/Run2/Combined/MHc160_MA85/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc70_MA15	0.116	56.06517856376689	1000	templates/Run2/Combined/MHc70_MA15/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc70_MA18	0.006	72.18182743289225	1000	templates/Run2/Combined/MHc70_MA18/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc70_MA30	0.153	71.04197284015197	1000	templates/Run2/Combined/MHc70_MA30/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc70_MA40	0.102	84.73453205011356	1000	templates/Run2/Combined/MHc70_MA40/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc70_MA55	0.31	83.89724756633336	1000	templates/Run2/Combined/MHc70_MA55/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc70_MA65	0.598	86.22457527771462	1000	templates/Run2/Combined/MHc70_MA65/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc85_MA30	0.107	74.39898640232252	1000	templates/Run2/Combined/MHc85_MA30/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc85_MA42	0.191	81.28000708305342	1000	templates/Run2/Combined/MHc85_MA42/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	Baseline	MHc85_MA55	0.686	70.01453001972664	1000	templates/Run2/Combined/MHc85_MA55/Baseline/extended_unblind/combine_output/gof/gof.json
Run2	ParticleNet	MHc100_MA95	0.165	72.70372481452432	1000	templates/Run2/Combined/MHc100_MA95/ParticleNet/extended_unblind/combine_output/gof/gof.json
Run2	ParticleNet	MHc130_MA90	0.404	88.94514906672168	1000	templates/Run2/Combined/MHc130_MA90/ParticleNet/extended_unblind/combine_output/gof/gof.json
Run2	ParticleNet	MHc160_MA85	0.157	68.02348498893224	1000	templates/Run2/Combined/MHc160_MA85/ParticleNet/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc100_MA60	0.114	67.67174375878892	1000	templates/Run3/Combined/MHc100_MA60/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc100_MA95	0.397	87.49771867595564	1000	templates/Run3/Combined/MHc100_MA95/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc115_MA57	0.312	66.90108207182868	1000	templates/Run3/Combined/MHc115_MA57/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc115_MA70	0.915	45.78738844115196	1000	templates/Run3/Combined/MHc115_MA70/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc115_MA83	0.063	81.72172286040802	1000	templates/Run3/Combined/MHc115_MA83/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc130_MA55	0.046	80.36468740022246	1000	templates/Run3/Combined/MHc130_MA55/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc130_MA90	0.36	100.50813044272172	1000	templates/Run3/Combined/MHc130_MA90/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc145_MA100	0.604	70.42053654959102	1000	templates/Run3/Combined/MHc145_MA100/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc145_MA120	0.489	69.4588215552319	1000	templates/Run3/Combined/MHc145_MA120/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc145_MA45	0.559	55.053051887144875	1000	templates/Run3/Combined/MHc145_MA45/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc145_MA60	0.16	65.35985615046638	1000	templates/Run3/Combined/MHc145_MA60/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc145_MA80	0.498	62.471321104280946	1000	templates/Run3/Combined/MHc145_MA80/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA115	0.816	54.555287756302505	1000	templates/Run3/Combined/MHc160_MA115/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA120	0.824	59.41364784614183	1000	templates/Run3/Combined/MHc160_MA120/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA125	0.495	67.66598583345649	1000	templates/Run3/Combined/MHc160_MA125/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA135	0.686	57.45631227428788	1000	templates/Run3/Combined/MHc160_MA135/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA145	0.544	59.63888641998142	1000	templates/Run3/Combined/MHc160_MA145/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA15	0.129	39.37599988209206	1000	templates/Run3/Combined/MHc160_MA15/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA155	0.447	58.066459932665	1000	templates/Run3/Combined/MHc160_MA155/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA20	0.035	53.80740168737606	1000	templates/Run3/Combined/MHc160_MA20/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA25	0.67	43.21979108417389	1000	templates/Run3/Combined/MHc160_MA25/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA30	0.049	64.030961453734	1000	templates/Run3/Combined/MHc160_MA30/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA35	0.028	70.95122787510303	1000	templates/Run3/Combined/MHc160_MA35/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA40	0.813	48.83027717001562	1000	templates/Run3/Combined/MHc160_MA40/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA45	0.502	57.05436650687227	1000	templates/Run3/Combined/MHc160_MA45/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA60	0.12	67.59862093673871	1000	templates/Run3/Combined/MHc160_MA60/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA70	0.749	51.42892859781841	1000	templates/Run3/Combined/MHc160_MA70/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc160_MA85	0.417	71.82430071725867	1000	templates/Run3/Combined/MHc160_MA85/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc70_MA15	0.126	39.03349510356338	1000	templates/Run3/Combined/MHc70_MA15/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc70_MA18	0.118	43.59220243075447	1000	templates/Run3/Combined/MHc70_MA18/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc70_MA30	0.094	61.40675569351595	1000	templates/Run3/Combined/MHc70_MA30/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc70_MA40	0.778	50.50642523482293	1000	templates/Run3/Combined/MHc70_MA40/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc70_MA55	0.068	76.64682636493774	1000	templates/Run3/Combined/MHc70_MA55/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc70_MA65	0.002	80.26327523035093	1000	templates/Run3/Combined/MHc70_MA65/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc85_MA30	0.015	69.3736430665524	1000	templates/Run3/Combined/MHc85_MA30/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc85_MA42	0.277	62.470953622460456	1000	templates/Run3/Combined/MHc85_MA42/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	Baseline	MHc85_MA55	0.01	86.9697850064349	1000	templates/Run3/Combined/MHc85_MA55/Baseline/extended_unblind/combine_output/gof/gof.json
Run3	ParticleNet	MHc100_MA95	0.856	34.37310801849651	1000	templates/Run3/Combined/MHc100_MA95/ParticleNet/extended_unblind/combine_output/gof/gof.json
Run3	ParticleNet	MHc130_MA90	0.086	65.20469946790439	1000	templates/Run3/Combined/MHc130_MA90/ParticleNet/extended_unblind/combine_output/gof/gof.json
Run3	ParticleNet	MHc160_MA85	0.192	59.22631699069234	1000	templates/Run3/Combined/MHc160_MA85/ParticleNet/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc100_MA60	0.202	130.85524517934778	1000	templates/All/Combined/MHc100_MA60/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc100_MA95	0.391	221.80937929900938	1000	templates/All/Combined/MHc100_MA95/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc115_MA57	0.141	158.9758061090272	1000	templates/All/Combined/MHc115_MA57/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc115_MA70	0.575	114.5239964358484	1000	templates/All/Combined/MHc115_MA70/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc115_MA83	0.696	132.84227310091364	1000	templates/All/Combined/MHc115_MA83/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc130_MA55	0.14	157.24919184521445	1000	templates/All/Combined/MHc130_MA55/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc130_MA90	0.252	246.1755747740608	1000	templates/All/Combined/MHc130_MA90/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc145_MA100	0.553	187.67179922029027	1000	templates/All/Combined/MHc145_MA100/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc145_MA120	0.838	158.04990954657433	1000	templates/All/Combined/MHc145_MA120/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc145_MA45	0.627	119.34320401945729	1000	templates/All/Combined/MHc145_MA45/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc145_MA60	0.345	127.09897707666369	1000	templates/All/Combined/MHc145_MA60/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc145_MA80	0.696	117.28376629276136	1000	templates/All/Combined/MHc145_MA80/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA115	0.191	185.51509050673008	1000	templates/All/Combined/MHc160_MA115/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA120	0.726	164.15111362078187	1000	templates/All/Combined/MHc160_MA120/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA125	0.572	158.16908236124618	1000	templates/All/Combined/MHc160_MA125/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA135	0.059	182.40312544077574	1000	templates/All/Combined/MHc160_MA135/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA145	0.205	152.73844086679583	1000	templates/All/Combined/MHc160_MA145/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA15	0.072	95.3876106743254	1000	templates/All/Combined/MHc160_MA15/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA155	0.509	150.91172866421857	1000	templates/All/Combined/MHc160_MA155/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA20	0.043	116.66266180829984	1000	templates/All/Combined/MHc160_MA20/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA25	0.259	111.74265059019046	1000	templates/All/Combined/MHc160_MA25/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA30	0.024	138.98051655514791	1000	templates/All/Combined/MHc160_MA30/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA35	0.014	147.41009310021832	1000	templates/All/Combined/MHc160_MA35/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA40	0.104	144.0947943987212	1000	templates/All/Combined/MHc160_MA40/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA45	0.663	118.3868505156654	1000	templates/All/Combined/MHc160_MA45/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA60	0.333	125.89332946613422	1000	templates/All/Combined/MHc160_MA60/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA70	0.492	118.90540856058738	1000	templates/All/Combined/MHc160_MA70/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc160_MA85	0.635	154.1273415659707	1000	templates/All/Combined/MHc160_MA85/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc70_MA15	0.076	95.09880059280613	1000	templates/All/Combined/MHc70_MA15/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc70_MA18	0.005	115.7740077883825	1000	templates/All/Combined/MHc70_MA18/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc70_MA30	0.071	132.44862415536204	1000	templates/All/Combined/MHc70_MA30/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc70_MA40	0.278	135.24085123714008	1000	templates/All/Combined/MHc70_MA40/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc70_MA55	0.111	160.54507601743194	1000	templates/All/Combined/MHc70_MA55/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc70_MA65	0.046	166.48779577173173	1000	templates/All/Combined/MHc70_MA65/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc85_MA30	0.004	143.77249429728067	1000	templates/All/Combined/MHc85_MA30/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc85_MA42	0.154	143.75108680064636	1000	templates/All/Combined/MHc85_MA42/Baseline/extended_unblind/combine_output/gof/gof.json
All	Baseline	MHc85_MA55	0.102	156.9846179487431	1000	templates/All/Combined/MHc85_MA55/Baseline/extended_unblind/combine_output/gof/gof.json
All	ParticleNet	MHc100_MA95	0.408	107.11540259583296	1000	templates/All/Combined/MHc100_MA95/ParticleNet/extended_unblind/combine_output/gof/gof.json
All	ParticleNet	MHc130_MA90	0.185	154.18893764681786	1000	templates/All/Combined/MHc130_MA90/ParticleNet/extended_unblind/combine_output/gof/gof.json
All	ParticleNet	MHc160_MA85	0.124	127.2496719043263	1000	templates/All/Combined/MHc160_MA85/ParticleNet/extended_unblind/combine_output/gof/gof.json
