era,hlt_path,wp,scale
2022,HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30,tight,0.000854
2022,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30,loose,0.000719
2022,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30,tight,0.000672
2022EE,HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30,loose,0.000152
2022EE,HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30,tight,0.000138
2022EE,HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30,loose,0.000857
2022EE,HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30,tight,0.000824
2022EE,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30,loose,0.000725
2022EE,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30,tight,0.000706
2023,HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30,loose,0.000219
2023,HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30,tight,0.000227
2023,HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30,loose,0.001328
2023,HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30,tight,0.001352
2023,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30,loose,0.001131
2023,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30,tight,0.001149
2023BPix,HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30,loose,0.000193
2023BPix,HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30,tight,0.000198
2023BPix,HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30,loose,0.001185
2023BPix,HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30,tight,0.001201
2023BPix,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30,loose,0.001010
2023BPix,HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30,tight,0.001025
2016preVFP,HLT_Mu8_TrkIsoVVL,loose,0.000444
2016preVFP,HLT_Mu8_TrkIsoVVL,tight,0.000443
2016preVFP,HLT_Mu17_TrkIsoVVL,loose,0.009097
2016preVFP,HLT_Mu17_TrkIsoVVL,tight,0.008964
2016postVFP,HLT_Mu8_TrkIsoVVL,loose,0.000075
2016postVFP,HLT_Mu8_TrkIsoVVL,tight,0.000076
2016postVFP,HLT_Mu17_TrkIsoVVL,loose,0.001407
2016postVFP,HLT_Mu17_TrkIsoVVL,tight,0.001397
2017,HLT_Mu8_TrkIsoVVL,loose,0.000086
2017,HLT_Mu8_TrkIsoVVL,tight,0.000085
2017,HLT_Mu17_TrkIsoVVL,loose,0.001501
2017,HLT_Mu17_TrkIsoVVL,tight,0.001509
2018,HLT_Mu8_TrkIsoVVL,loose,0.000144
2018,HLT_Mu8_TrkIsoVVL,tight,0.000140
2018,HLT_Mu17_TrkIsoVVL,loose,0.000683
2018,HLT_Mu17_TrkIsoVVL,tight,0.000660
2022,HLT_Mu8_TrkIsoVVL,loose,0.000209
2022,HLT_Mu8_TrkIsoVVL,tight,0.000212
2022,HLT_Mu17_TrkIsoVVL,loose,0.000776
2022,HLT_Mu17_TrkIsoVVL,tight,0.000815
2022EE,HLT_Mu8_TrkIsoVVL,loose,0.000203
2022EE,HLT_Mu8_TrkIsoVVL,tight,0.000195
2022EE,HLT_Mu17_TrkIsoVVL,loose,0.000742
2022EE,HLT_Mu17_TrkIsoVVL,tight,0.000714
2023,HLT_Mu8_TrkIsoVVL,loose,0.000323
2023,HLT_Mu8_TrkIsoVVL,tight,0.000315
2023,HLT_Mu17_TrkIsoVVL,loose,0.003012
2023,HLT_Mu17_TrkIsoVVL,tight,0.002921
2023BPix,HLT_Mu8_TrkIsoVVL,loose,0.000204
2023BPix,HLT_Mu8_TrkIsoVVL,tight,0.000216
2023BPix,HLT_Mu17_TrkIsoVVL,loose,0.003271
2023BPix,HLT_Mu17_TrkIsoVVL,tight,0.003257
