train_loss,valid_loss,train_acc,valid_acc,epoch,timestamp,train_loss_smooth,valid_loss_smooth
1.0710751269864547,1.3077389456122124,0.29068460315465927,0.28121425211429596,0,1785308252.6654243,,
0.8878242570792448,1.0011218136838635,0.3536417633295059,0.28370693849865347,1,1785308372.4354222,,
0.8425530443419369,0.8707333147678229,0.40383927524089813,0.3746383301913738,2,1785308470.6719491,0.8862906602462404,0.9600726271529332
0.8210108109301675,0.814666669996803,0.43403080850839615,0.45538729429244995,3,1785308565.7612762,0.8322468207557862,0.8575155819163603
0.8089900618933981,0.8061023917039642,0.4488857164978981,0.4662967175245285,4,1785308661.9908977,0.8132760005599403,0.8130415270090714
0.800855929534183,0.7949537194293478,0.4587954729795456,0.4756360352039337,5,1785308791.2392871,0.8022889016838205,0.7927272942974743
0.792970156100016,0.7787515391474185,0.46729931980371475,0.4905650317668915,6,1785308889.2732503,0.7945804114227816,0.7823374872622283
0.7876175499613375,0.7691621512098386,0.47431353479623795,0.4987129271030426,7,1785308987.9298418,0.788246389135159,0.7722702455642583
0.7824683596249733,0.7627176348205722,0.4786630645394325,0.5020183026790619,8,1785309086.3935053,0.7827346020591137,0.7639593178049073
0.7773199504552848,0.7557661832141145,0.48724858462810516,0.508418083190918,9,1785309180.996592,0.7781415190712991,0.7573432473575368
0.7732969941539569,0.7533990806325928,0.4926339313387871,0.5100142508745193,10,1785309274.4582956,0.7738598507825831,0.7517747649756235
0.7700047411609429,0.7456711869105659,0.4941520392894745,0.518782764673233,11,1785309427.1278858,0.7701207183733735,0.7473722726182864
0.7662092085177581,0.7413197393002717,0.4985427260398865,0.5219401866197586,12,1785309526.2220807,0.7665176964457124,0.7431849955292918
0.763772697578925,0.7407051730338875,0.500737227499485,0.5238185375928879,13,1785309629.7211862,0.7635473570319167,0.7390876477331763
0.7593048408169796,0.7348297977691416,0.5052692070603371,0.5296256467700005,14,1785309734.8123612,0.7604981197838898,0.7353292557894422
0.7584452970849777,0.732912341652014,0.5079298242926598,0.5307414084672928,15,1785309829.7963352,0.7577153020344497,0.7322482135899536
0.7547585549208085,0.7268792271918958,0.5101358294487,0.5311040952801704,16,1785309921.9932518,0.7551468260052261,0.7288511466492167
0.7522951197705579,0.7259145283028293,0.512960210442543,0.5337939485907555,17,1785310052.9211984,0.7528172932387213,0.7260562204034127
0.7509303174328071,0.723719838330203,0.5141688138246536,0.5356892719864845,18,1785310150.7974138,0.7501727419908544,0.7231240977411685
0.747657176984455,0.7208551665401215,0.5169932171702385,0.537466935813427,19,1785310247.4985218,0.748071736931394,0.7202372129006155
0.7452225408456431,0.7182517283407929,0.5198004692792892,0.543630987405777,20,1785310345.366456,0.7459605142118174,0.7173371063778773
0.7442535296235068,0.7124448029891305,0.5188109427690506,0.5480485633015633,21,1785310461.1541758,0.7437300750419955,0.7142216128766384
0.741739006172675,0.7114139956891384,0.5241804793477058,0.5469506308436394,22,1785310553.4878945,0.741996468293382,0.7114992888077446
0.7397781215836977,0.708142370824009,0.5253360867500305,0.548822209239006,23,1785310681.9788926,0.7402716626893131,0.7085977149436541
0.7389891432413875,0.7072435461956522,0.5271890833973885,0.5496684014797211,24,1785310781.2825196,0.7384029245213843,0.7071662610144263
0.7365985128252986,0.7037438590203404,0.5295402556657791,0.554372988641262,25,1785310879.2275655,0.7370570576638491,0.7048576803768383
0.7349098387838631,0.7052875333429908,0.5306227058172226,0.5539668202400208,26,1785310978.1602664,0.7357472494600577,0.7031826633931426
0.7350096718849989,0.6998710925011988,0.5304357707500458,0.5579403713345528,27,1785311076.4115636,0.7340556069852548,0.7016903147977941
0.7332290805647398,0.6997672859055307,0.5308929979801178,0.5583336874842644,28,1785311172.1634822,0.7328904500186647,0.7007733357227062
0.7305309308673742,0.6997818032189098,0.5329626202583313,0.5570656508207321,29,1785311266.854351,0.7319118044075299,0.6987872735923514
0.7307727279923475,0.6991589636449009,0.5342821106314659,0.5576007962226868,30,1785311395.1071777,0.7305593132565861,0.697647274241728
0.730016610728189,0.6953572226912165,0.5325186252593994,0.5597411766648293,31,1785311514.8626723,0.7294889482621854,0.6960745652923194
0.7282472161302794,0.6941710957480819,0.536414660513401,0.5632572770118713,32,1785311614.3215694,0.7286050946232402,0.6944887127107977
0.7278772555927367,0.6919037411584879,0.537132240831852,0.5623907521367073,33,1785311713.2421844,0.727662893041409,0.6932322470428389
0.7261116626726483,0.6918525403113012,0.5376754254102707,0.5656536892056465,34,1785311820.0738306,0.7266635517211497,0.6916587107626678
0.7260617200831911,0.6928766353051071,0.5374065339565277,0.5648991987109184,35,1785311919.245536,0.7260665737321352,0.6907326310491928
0.7250199041268931,0.6874895412903612,0.5389152392745018,0.5699726566672325,36,1785312053.6660738,0.7253659609641637,0.6897473893811941
0.7252623261852069,0.6895406971807065,0.5373743027448654,0.5696013495326042,37,1785312156.1497345,0.7247189778923582,0.6889631110384032
0.7243741917528796,0.6869775328184943,0.5381210967898369,0.5717457383871078,38,1785312256.6596148,0.7241532465703658,0.6877018374860134
0.7228767473136198,0.6879311485973465,0.542308010160923,0.5691636279225349,39,1785312354.276881,0.723732676847803,0.687815478390745
0.7232330634732296,0.6865702675431585,0.5414745658636093,0.5687807351350784,40,1785312453.9951308,0.7229598530323432,0.6867109762128357
0.7229170555140785,0.6880577458140186,0.5440326854586601,0.5688603296875954,41,1785312566.9549723,0.7221760303900917,0.6861859177689418
0.7213982071079085,0.6840181862911605,0.5419520512223244,0.5749262347817421,42,1785312700.3370907,0.721467980915369,0.6852204071591272
0.7204550785416223,0.6843522405990249,0.5431463271379471,0.5707992911338806,43,1785312800.5660946,0.7205464958737735,0.6844817724984015
0.7193364999400064,0.6831035955482737,0.54502372443676,0.5737861916422844,44,1785312909.96391,0.7196290312366681,0.6831189089723866
0.7186256382652517,0.68287709423953,0.5456394255161285,0.5739224180579185,45,1785313017.5753205,0.7185857987647986,0.6824839091971707
0.7183297323285516,0.6812434281839435,0.5450479462742805,0.5765553265810013,46,1785313130.568764,0.7177238594549915,0.681747054078085
