feature,mean_auc_drop
jet1_btagged,0.05996124254214508
jet2_btagged,0.05320422121616486
jet1_pt,0.029449724849861414
lep3_pt,0.027453809730649037
lep1_pt,0.01624168390919023
jet3_btagged,0.010874063728938732
lep2_pt,0.008574411074486421
ptmiss_proxy,0.008537041611983653
dR_lep1_lep2,0.008460655231126046
dR_lep1_jet1,0.007853046494330607
dR_lep1_lep3,0.0074595727024101555
jet2_pt,0.00722218243544559
dR_lep1_jet2,0.0070680723903483456
lep1_isMuon,0.0048119383374105595
dR_lep2_jet1,0.004616283592322135
lep2_isMuon,0.004561592663478553
dR_lep2_lep3,0.0043349890869698315
lep2_charge,0.003949332801858829
lep3_isMuon,0.0038958761431552302
jet3_pt,0.0029783364964934833
lep1_charge,0.002275485429533153
dR_lep2_jet2,0.002230716133473254
dR_lep1_jet3,0.00220835869374314
dR_lep3_jet1,0.001718313562956264
jet4_btagged,0.0017072761350508392
mt_lep3_ptmiss,0.001529421367805206
jet1_eta,0.0012502328314161204
mt_lep1_ptmiss,0.0012444803651495695
lep1_eta,0.0011834802329220295
dR_lep3_jet2,0.0011746473435118032
lep3_charge,0.0010621235624029834
lep3_isElectron,0.0009059122556815957
era_2022EE,0.0008699384984419689
mt_lep2_ptmiss,0.0008672806801660604
lep1_isElectron,0.0008589841637814954
lep3_eta,0.0008475697140645222
jet4_pt,0.0008398565793737989
era_2023,0.0008170856544434946
lep2_isElectron,0.00062083444708394
dR_lep2_jet3,0.0005998755815633805
jet2_eta,0.0005916348112715575
lep2_eta,0.0004957322182089774
dR_lep1_jet4,0.0004870432228591959
jet3_eta,0.0003627189124048025
dR_lep3_jet3,0.00032770859849218237
jet3_phi,0.0002999748917509315
jet5_btagged,0.0002579990663340581
lep2_phi,0.00022652398249178862
jet4_phi,0.00019240921943042277
era_2023BPix,0.00018418429685473914
dR_lep3_jet4,0.0001488668834356277
jet2_phi,0.00013756750017257513
dR_lep2_jet4,0.00012999174728400842
era_2022,0.00010737954920914117
era_2016preVFP,9.293006861188502e-05
jet6_phi,7.777583382073683e-05
era_2017,5.707281086875238e-05
jet5_eta,5.469267523683374e-05
ptmiss_phi_proxy,5.160004226334447e-05
jet5_phi,4.9723756279873577e-05
dR_lep2_jet6,4.393257282142571e-05
jet6_pt,2.4376814296456217e-05
era_2018,2.2060123603062642e-05
jet6_eta,1.9544493393142126e-05
dR_lep1_jet5,1.4458010059947846e-05
jet6_btagged,1.266497211993567e-06
jet1_charge,0.0
jet2_charge,0.0
jet3_charge,0.0
jet4_charge,0.0
jet5_charge,0.0
jet6_charge,0.0
dR_lep1_jet6,-5.326940850203243e-06
jet4_eta,-7.81853194242732e-06
dR_lep3_jet6,-1.2776928374980123e-05
jet1_phi,-1.3643383227068817e-05
lep3_phi,-2.250063534636748e-05
lep1_phi,-2.5987671803839874e-05
dR_lep2_jet5,-4.4755002954310896e-05
jet5_pt,-5.114416325602278e-05
era_2016postVFP,-9.597371359204576e-05
dR_lep3_jet5,-0.00012595986192309727
