signal,model,display,split,dcor_psig_mass1,dcor_psig_mass2,dcor_lr_background_mass1,dcor_lr_background_mass2
MHc130_MA90,BDT,BDT,train,0.1859435886144638,0.30707111954689026,0.18862934410572052,0.3363271951675415
MHc130_MA90,BDT,BDT,test,0.19488221406936646,0.3200267553329468,0.1892438530921936,0.31631532311439514
MHc130_MA90,DNN,DNN,train,0.18090102076530457,0.29964950680732727,0.14733077585697174,0.30260276794433594
MHc130_MA90,DNN,DNN,test,0.18394948542118073,0.27167779207229614,0.159024178981781,0.27855515480041504
MHc130_MA90,DNN_MD,DNN MD,train,0.0987761989235878,0.15375973284244537,0.04346325993537903,0.06101417541503906
MHc130_MA90,DNN_MD,DNN MD,test,0.09475085139274597,0.14015746116638184,0.048474300652742386,0.04860371723771095
MHc130_MA90,ParticleNet_best,ParticleNet,train,0.07611687481403351,0.11022276431322098,0.05199462175369263,0.06718434393405914
MHc130_MA90,ParticleNet_best,ParticleNet,test,0.07762549072504044,0.12961331009864807,0.051443155854940414,0.04959315434098244
MHc130_MA90,ParticleNet_best_MD,ParticleNet MD,train,0.07451009750366211,0.0909905731678009,0.05925561487674713,0.04429122433066368
MHc130_MA90,ParticleNet_best_MD,ParticleNet MD,test,0.06522554159164429,0.09851362556219101,0.05512411892414093,0.0767216831445694
